chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note,child_header_hex,child_nbits
fractal,0000000000000000000075ee83d26deb2f74777eb011df6f18d20bba6aefa639,93061,4f6d4fc1f07b35270eed07ceaf0c2d1e943ca62f12135e0b0faf7091e9f9d9ef,1728590402,auxpow_parent_match,,,
fractal,0000000000000000000114d1f1c1ddf51e83d6c0d660b2c1fa9f9a345f36624a,124037,27afa5a58ede5c0596100cfc4e4bdaec33018a74792ec52d8221b3592e9c8d1e,1729520484,auxpow_parent_match,,,
fractal,00000000000000000002829ecf6967a9729412446dd571de06e02007a3cdc451,266429,c0249b9287faef5ce2c44e04ef688d6c6eeba26de610acfc9153199a2ccbbf8b,1733794318,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:6550,000124202f6b0e2fc8ffb6f2ad13a113cfec20cc705b5d0cd5fbf50900000000000000004ebb29088d336f38c0db00994a92145d8a72ea72158402b5f3350413f15a99140e9a576731001d1700000000,171d0031
fractal,00000000000000000000451bdfb9fbd0b836ee62da952e68bbb7c5a3ceb191df,339265,6b1db679f94fd7eb4275d8698cd93a002d0a0150ecc70d4bd30a5d78f51af73f,1735986377,auxpow_parent_match,,,
fractal,00000000000000000002745046f0bb6fab9fd306b5df8afea25e5a4cc80f9282,419956,c6057e102723e3c3b33b2b443e8f8af68a4adc8683f833cd137bc03b9738595d,1738412829,auxpow_parent_match,,,
fractal,00000000000000000002585e763064d66b3f2554ef9dfb8603a2251ae16439e2,446055,2029b940df7cc4f866a02565ea67788b8219a33a924d03aad60ff644f16ccfba,1739196604,auxpow_parent_match,,,
fractal,00000000000000000000d714fe269dd411cbf80b8971dafbd9edfedca401adc6,449387,585450af04a7d0795e6fd2ec0d5a895b1ace6682fe687615aceddd1c1ebdd688,1739298555,auxpow_parent_match,,,
fractal,00000000000000000001509b28e96d4eba8508a8885e78dc83b60cacdeb985ea,499271,3346c4a755c528206d2168e5776c58be8f4fa743ee237bcbcf7cb872077323c1,1740796310,auxpow_parent_match,,,
fractal,00000000000000000002311b7c31f1ffef1261bb53740958ed98c600ae2abd41,674347,f8908cc2a080b74641a08cd9a0a0e7e0f464c3d90c156cae4d9341956b0d378b,1746051998,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:18118,00012420aa3aa8ca1557f77c167e0754e8dd68235ea37cb23df837040000000000000000d5b4ac10d83072504f184aade307847e1250cc4fb2cd7f51deca5de33a78b7ea9ea31268df55161700000000,171655df
fractal,00000000000000000000e14ce7a71f46b4d8238756b9cfda2977a5c4fbf8b759,782071,b5b689028d74ae2f43f6d053e6cae1992401ad504d75aa29ecf8af2a2903ac9c,1749286004,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:22157,0001242022543cf7305cc973af55eb1d836b8a57ce57cc7bd3036be200000000000000009926e89a717502c0b07b23147fb3ee972c2e73d0db0525c45d3dd728047067cb74fc4368338f131700000000,17138f33
fractal,00000000000000000000c543475826e7970ec3d635c1cf03a867f5008fdb9825,800112,07040d204107eb987c35e0db3631287c8eaa68bca5d0b4e10052a3137552b979,1749826827,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:22837,00012420dd2d7d9806726c158c020a06e826a23655dd53592f390afa2f22613718deeefa6fe2bdacdf5d900874cc084f1fe45871d5e317388482af6cc6589890645587780b3d4c68c9c3111700000000,1711c3c9
fractal,000000000000000000019cbab2c3b04f56a5da85e28a55fa8ec5e7d793d4ad19,817937,0f29e340e232814ffbc47aafbdad8cf4ca9a9d61d370f832fa4c17414842a201,1750363340,auxpow_parent_match,,,
fractal,00000000000000000000ec5356968a01c439fcd8e3e3a0a4f24c1e76db2c201b,833212,d03e29246c2cbdefb032bddb4a2684344f9be85d156987745bb5796a9c30a1d1,1750821005,auxpow_parent_match,,,
fractal,0000000000000000000030f07b4fcf25075703864456c652d50fbdb2628585fe,846444,179f08d8aa65425669621017f1333a099f6658d861aa6eff7ebbe672a3877601,1751217779,auxpow_parent_match,,,
fractal,00000000000000000002274bf6db24519f56a7d6b4841f216cb82e7dc345b499,872292,1cc72b135a2c72a2a6ba12726b710918700f0c8a547acb7abfbdb2cdf03aaa49,1751994459,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:25442,00012420766ee29d01e9c270a8ff2122f8fa2c917cb421449a9ceb0f01000000000000008913ffc31ac389d0aa7cb5465a9dfcf517befff4697a11ba92547889fbe23fc45b506d68d7fe131700000000,1713fed7
fractal,00000000000000000001784f10b0ab41d62235f5e383701e2439466ce7c80ae5,905717,3344d0d8e8d194a41020ef4f7dd7d30356da55939371f004623c98fd1ba59f80,1752995835,child-node-rpc+source-row-auxpow-parent-match,child-node-rpc:fractal;source-row-auxpow-parent-match:<chain-archive>/fractal/classified/fractal_canonical_blocks.csv:26683,00012420f3aa70bbd4e69ba3b9ea69194a38122a59e323815cd22fb800000000000000004a0d90786e5d8d59b5d3484a47e5b703a9c107fa14532bc751afdede92cfa3b3fb977c688c4b121700000000,17124b8c
fractal,00000000000000000001aad53cc3e15fcf36766a25b15ac8c6d84fe2c2055e82,919492,855ca73b233cb5e0232581a03b6d482324fdbffb2689e324e6db8e55a5482976,1753413165,auxpow_parent_match,,,
fractal,0000000000000000000176b1c0bb5631744070241315d3f5b630861c51c0e632,976046,a88496e5228df1ca25ef32cc10264f72a8317d8289920121ce275a15b28e0e43,1755108220,auxpow_parent_match,,,
fractal,000000000000000000000cdf5d7f499305261f6fadab837f94a3e5acb28795b8,1030202,2f6dcd0e4221d47791dcdeb2d199ea65f7f52be8fb5ba036e05cc6d2fc896e7a,1756730495,auxpow_parent_match,,,
fractal,00000000000000000001f6d6612ed8d40c023858249952fdee7d7d99c081f0cf,1060044,08c5c1e88c760a61a9a5bda8de3d8594168215f900ea87cc5771371fa660bf2b,1757625463,auxpow_parent_match,,,
fractal,00000000000000000000a4b0e87728228afec5a5333d32c1de4631708be29e5f,1060341,a24b7c9843972f9226ceecc8d4e62bd91ba33b0c48dfee0655c0231329778bb8,1757634863,auxpow_parent_match,,,
fractal,00000000000000000001de4957ebb1c9e08d28fd604f017cb288bed2481455ed,1060913,a54d90a3b22b5983ad0dbc7a136d6994ef007f1ef7e3f779ac53717fe18b7998,1757651782,auxpow_parent_match,,,
fractal,000000000000000000008223e92e8a65a3400761c5307b01f0b87270bd24bafa,1060933,5b4cdd99fa08f012ea85b81852ab60e104d7e2b015dfd47110d5ef19c968547c,1757652398,auxpow_parent_match,,,
fractal,00000000000000000000439817c63926873f46ca396974268b1f9f6eae84b1c1,1061125,66cdfec1369b2f42e674b2f21dfaa1c35c6c846160fc5708324628bfde2adb0b,1757658137,auxpow_parent_match,,,
fractal,0000000000000000000122a9c97762f507cc57df067f07b826ab0a81cb4e787f,1061161,718a365d84e4bd9ed0d0e026bc5aaf67b77b42ac68804093e9ec58db0a6226bb,1757659393,auxpow_parent_match,,,
fractal,0000000000000000000092003874d2b869e8b986339f5bcf8c3a03f5dddd972c,1061239,6eea06b7ebb9e907123f534dd83a011c2de21f74d0855c701f9065acef3c2fd8,1757661818,auxpow_parent_match,,,
fractal,00000000000000000000ba485fa4bbba0416890572ff6b5853cdc24e92d7434f,1061372,49e2f1b05c830fb552dae6f75843c3129858b5e83499d8048ff089b177d3f43e,1757665729,auxpow_parent_match,,,
fractal,0000000000000000000075bdcb14ab9b07e87c6c5a43addb81ff6dd74c14d16e,1061436,7bd5df62a0181f2f33eeff607e8af13024b0c63f68550a7be75b60cc19d530a3,1757667642,auxpow_parent_match,,,
fractal,000000000000000000020806ba231682bab800c757366c169b2e17259a5e3aaf,1061456,3556989fed7599d010bd99ddf189a38f847db6ab1572e41bfa2dc2ad3dc335cb,1757668217,auxpow_parent_match,,,
fractal,00000000000000000001c7664aeb6f4ce7f29e3f799eb3aafb924255d6643573,1061778,6cb223ec41fb7dc182dd367c2f62d76dccb80e04d5de1b34b98774ba342ee392,1757677951,auxpow_parent_match,,,
fractal,0000000000000000000170e712b2da3ba73fb618753fc44d0e4b6b1db3e3fc4b,1061805,1242e2a9e47c350567e910b1fbe510a61927c546bb077afac8cb54172edfe864,1757678732,auxpow_parent_match,,,
fractal,00000000000000000000a4a5644ce7e315feeeb1c586903c077993bb5f7825a2,1062044,5e86088654a450801f36c20efe28f72f8efc8ed4de2b7768f68ed1c436440827,1757685480,auxpow_parent_match,,,
fractal,0000000000000000000080824aaf3e9614116f4c5901b89220e515babed61b69,1284695,8c978ae05e33a5c0b826395a95ad7c9cc5d6544ebb9691d350e80078e9a06cc8,1764361990,auxpow_parent_match,,,
fractal,000000000000000000010a516b693679cbd0f9c07e3d385e8b7033684428c515,1322342,1275e6d81af185da2a96f2f8014aef4641aba41cdeebd348ebe708c324963568,1765491334,auxpow_parent_match,,,
