chain,btc_header_hash,child_height,child_block_hash,child_block_time,verification,note,rsk_miner,merge_mining_hash,is_uncle,uncle_index,uncle_parent_height,rsk_merkle_proof,rsk_coinbase_tail
rsk,00000000000000000025c54fa42d8d92ba7267a90a858451716f89ecae79244c,263443,863002b6ad9a940f191f3ed3289e42e8eee107a769b6ecdfdaaad747f70c981d,1521456575,merged_mining_header_match,,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,f0d9129c65b3b91a89355b9ccf975e55c29229d78d4a66201b83d409ae001f73,0,,,040500000c95bc0f26af97e632cdc2835d0d89174b090bfa8becb2ce6757bca9e7f3665003cee81c3950e13a18232e722474e5e4709434e946f5fced890f237e50e8d8f232b4cd6aff2415e30a1f6bb37ee895c7e2b734541fe70aa80e3ecd56c87d347799425e2dc102054acb7d2b40a20961ef0fb75e50323f4c24970ed93e7a4c4624fb5f6e24b0bc73782a3d84fd264cb697bf2206d69c6c8764d5904243dd98039a4fe2abfb7ae876d1d4855ff147a1de3f4ae158a0716c25a8854b6251283729860d9258bba3baa87f15d238c30a743d0087fc09670155b232d7c2e75f502e4a14156d5c83191650f37b62c4148141fa21d9602b49bb4a15d8a4cb6afb727a38b987769bed2eedb2e95e68dd178e34d0a70d7506c1e8003aef21de58f4349a209a84b2fc68b08de6499c451a08fd09eed9593b57a375c1b6279a59c38da10d89f5dd8b53b52bffbeb21162162c8ab8aadf8460e440295a94295e512e9ba5b44015a7d9c32b35f2f5471650b8ae495633ae7dddb4f324f7d4898a793726fa944ece9603ff0f00,00000000000000803bcb6138310bdec5db4db45716513665f9299b315ef89e56bb3906a15c695d777c154ed1dc59609e3d26abb2df2ea3d587cd8c4188ac00000000000000002c6a4c2952534b424c4f434b3af0d9129c65b3b91a89355b9ccf975e55c29229d78d4a66201b83d409ae001f730000000000000000266a24aa21a9ed1924d5da62b0ea6832c700fe5b3d0db0139e75ab553d98151a985de45a69572600000000
rsk,00000000000000000038dc4e4202ca390cc9b0164f38e757dab05b019e062750,417922,1b07cb9c1e0f5ba33bd22a193cc0bbd8d99b38ffa8c788b85b906d8efa89679c,1526933951,merged_mining_header_match,,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,69c2174bf523264237bfbb502a9b089655cabdf70f2b8f6e45067d89ee7e271e,1,0,417924,b70800000d9270feacaac870776210f6ea7211a9ee42b98b9880b145edb676d0a8e1ee4897a86c01426f089735784d02156815ed4d76a9d39a9d496e192f8bae425399d0d5cadbda83e13b3ee1f056e82c4e2c62bfc89d3162da1c0f2cb399844e53348b5072d714d6f15beb3e5de83e1406ce122bad709c4c00a6117e0c81b41ee0d2c2192b901a9d15aa7877029a51e1856609c3e26a81884b83389715ab1152b7a686a8429921c599ff8454e668de54c3e3580bc6e059148b3d6a17151c236f3e9dd0900337348a001a141cc9eafd4019cfbd88d570a6118f21d346e7b637bd8e6c1f816a68151bd8d935a885e5e9b98d0a499565e8fe08797b144da7b74f430b59e1826bf6279c4945d492aa2608f5e143a453db7e8acbc74351264ca6496ad5ea25714d68991ec69e937a8f1e9214e82a5e1b42a17a8d49cf3746d9bf8dbdb66e7eaf5f8630bba6ea6bbf497129797d16c1f459fcea6e7eb90b22c7ba8ed84cc3e627e9a448f4b6271b9ccf76f89a73c264ffadb4190e10f57970ba77e6d066f2d0d28a5687cd04292030607b57a5cc28583579b8bf60ec276174cbc846038e72802404ff1f0000,000000000000008034eda87b15e2d4b1551b49cd5aa8bd607c09ce9476e1f41e7dac2048b9e9ac237c154ed1dc59609e3d26abb2df2ea3d587cd8c4188ac00000000000000002c6a4c2952534b424c4f434b3a69c2174bf523264237bfbb502a9b089655cabdf70f2b8f6e45067d89ee7e271e0000000000000000266a24aa21a9ed6e41969a83823de8ef18c63b6a6e47b643c24c5204c21fa49d9c2713ee63aca000000000
rsk,000000000000000000180f14805b550bcc1395a5458de8ac4f2405d989d55c1d,550920,0cc246e757991d9fdb709a4559aef34103744469afa5aafd6e7b968a4cee5e53,1530872260,merged_mining_header_match,,12d3178a62ef1f520944534ed04504609f7307a1,1aefed2f381807ae60855c0f750f7fa985b91af0d569343d5996548f34cfda58,1,0,550922,ef0500000ca53dcef59dbe8c7665ab1c53fb34c98f74aa309bf5225dfacb7a3e55f8266175067f8cd4d0c32d66177817cfafd0ef36240b9bb1fd6ec148e7dda0f37877694b15b6882ec68576c2c33f338fd7814e583ef2d25e4fae12219246a9873227b64225ecd5d905a624d3948c6e596a5402ebc2d9837826fd09d3a3c8222ddc593abd5ede738fad735599150e7ceb89b39276e49a7d4ce77106ee261f25aeb346ed45b0275b0d8ef252aee96b87787489ed1f7f8112aaf84e30b70500cb941e413e8ec3c4f20d6ca0d989cf5f1f3d25d46b9152b5d1ef1753eab71b5daea4c468ec4239f423b4a743c5dd6a0f01083cdeb9dd5fcc029b2b6dcf78a75564c9be25f98988467633b15b6bc51a3a5be3f296ede988597407876e2c7f60b5886c6657ccefca99d489a744deb3431a8d89ff2f3ffb0f6739d5f2f60fbd268cb24c639e86773962e0a032dbcfd26ec32cd764872c0468afff6415b14925cb8920cc47eed44f67067b17c0335a134089f5e42d5da9441dde84927e4efd1b8981f541af5af4d803ff0f00,00000000000000c0d77d66e330ae9cdcc290b0e927cce75ca4a6d6bac113323bc155c11fa30ad3ebaa21a9edff992ae92781576443759da20157ef50b2c3291c668631795bd7cfe0d753675508000000000000000000000000000000002c6a4c2952534b424c4f434b3a1aefed2f381807ae60855c0f750f7fa985b91af0d569343d5996548f34cfda588c115c3f
rsk,00000000000000000004ea2972668618586f47b9b237c931a05ac5638ae64ba3,578005,88d42a91cb70d6790f9f7f3b8d7a4fdb772dfacae8bc36c619122cc6b4c53643,1531683956,merged_mining_header_match,,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,8cd024e8ec070305b0d46a41dd76b6b2d305083f36b0ca94137d72c0da052a31,1,0,578006,250b00000dbd86a5dab8fb097559a0fe801b92f478b95c2e59f26ef703065fc4f8405f7d6b468cbd6c3b48c14cd60cf63ac811363aaad330fcd37311fe63084460e25feebe4acd805c816c8656bdcf9df344ccd3ae16b864bba564ed6d015dd14c35b3ef089ea5f7c379c52dd2e931ae261aeb85b50bf7c105d59ae88e53025c7096577759ca1b4bc0e77396e249e2af644c0fc94eb0e75f083286f16166826c54e766c185519d445545fa81e942c47a3667f7e7d3889190e39fd27549bed2301652db41c05e6d0a781c00c1861e3820de2de1f79e888546585b3c82e0363383d6059fd126ea034738118268d40e95ea0dc623569f7b4a2ba0520c6cfa5027e5a3a383b3db8fb4d8ac04fc32270d80127c87bf14846c3e26e70c77c10bf7dd2e7cabd957faf24cbae930fa3dd26f92fddfb854550b7d0675d7f1f35b04e260bb69ca16d0a7220e3cf9186f1edcb8541e839c4cd29dfab42724b805f65691e2675cc7555573454cf2fab055d2bd658e07bc222b05bf125d903bf616c4f2b13f68e4e300de3ddcb8ee92c4af7cfff03c59bd01c3da2c37dc48c8f61b70901321a47be5a5a10c04ff1f0000,0000000000000080de1d0f84e41cb9532e221dd091edee5996e741ce0a9e77c4ff87c6526bf4b92a7c154ed1dc59609e3d26abb2df2ea3d587cd8c4188ac00000000000000002c6a4c2952534b424c4f434b3a8cd024e8ec070305b0d46a41dd76b6b2d305083f36b0ca94137d72c0da052a310000000000000000266a24aa21a9ed8028cd714b4508a99243c8f1f22217b202b532cc6f50b12bf8aee122f6a1f8e500000000
rsk,0000000000000000000d151d626c3c3ee7892a0223ecdb0ecb0b89608557020e,582221,56fdf7dae8d3f2ce13ffb72ace86b1c405efeebc17ed915885fb862dd8799342,1531814731,merged_mining_header_match,,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,15ab6df1ac304e6645ae88371ccb5caa050e4c86c03856feeb05d1e8f5bcca3b,1,0,582223,1c0300000b6f55e43e673e8b3aabeba10c966c88581104c0b514827ce2b9fca58b00161afdc7b3698d80270dcf4268288bdc70be9cd003e656993a5fc552cdd079f606e3e7d18756b97e9329d178a1533a4e63f2c5a18ffc0cdc038278ecfb30bc8dc87f018ccf42912d94b1c0da69e494dc17dcfc63ec10ebaeb782dec856e72be2dbcb08e1b4ceafb69e9e49a733543494b42af2be2ef89c5bf891e709b9974aba636bb29c73020b7fcb4a7607cf90f38603677841429a655c891f2695a1ee99ea31d764249cc92888c3176423b05800197628ffc0980ef55f65185cec7d3b69e0f8f675c9c0aca36340ec34824021e51cbe403be1cd7e87c30181ef41c9df7d89884552237472162ed27b7deff98280321f47c24a9e7919c6eb15cc951cfc26482499ec0c24269e31539c4794c4ffefc3bb3383d20a4f1ddf4d8dba5b44de8ec0bfeaa4461a75af1a94aa27319eacf7d2e1fd54083991be89954db49ca8b18de150856f03ff0700,0000000000000080577d1cb83ac72903aa4f0328186d069d31be4e70ba1a6a4f41c26cf91223faa37c154ed1dc59609e3d26abb2df2ea3d587cd8c4188ac00000000000000002c6a4c2952534b424c4f434b3a15ab6df1ac304e6645ae88371ccb5caa050e4c86c03856feeb05d1e8f5bcca3b0000000000000000266a24aa21a9edc8d170b5e908e727c768c042824045ff97dba1b49d15d8697f72a411e3165eb400000000
rsk,0000000000000000000cb756d90a21fa23ef67d27596d78d8abd5b0554dcbe36,606536,33794eb4376d7fe9eb5e63ba202934cc1a26a8ed8cd85bed6e59ef3761998065,1532545493,merged_mining_header_match,,12d3178a62ef1f520944534ed04504609f7307a1,152ba8dcaf760ca5be7ba86c5fedee79a0d6fc1d0b0607af61b7ad870d6945f5,1,1,606538,150a00000d74ee76c7d7dc56a59839e3f30677d94b7eeb05a886aecb30640d7b930045412d0437b4c11da0771f648bd590ee52ea28182615047ea53d22988333f2bff5b64777a913f4507ad33754096460cdf6b913ccef3a07a9b862dc56e82a0426d2c4ddbab05aff1c14123d2fb60ff43cc6a99da13493a47dd82f89bd5a30ec040823881dd4cf55fcb07788a1c2ece7bd9fe84ab4bda7f68bca618d12e68b9910c8ace645664b349dc8ab2988e3b1caeb351a285f2655f00b4122ad3a17b35262496c5382dca74936357e378d1f18429f599bfc626f9a7dab4fdba87e38a24f8ac04bb7c311124ba06e9bf7f41ff49132fae6017926a13460b75f207e0a7d9b99d7072d733c68d6cbf4199a1a2c25f063bbb1dc70065b3ac5976b22c2edc22423aecfeeb97b427ec4f590b7f47310c414dc96f6149358579a8722180cc47cd49d91b6a5c658541a701dd35fa040a0c19a624bdc5a2a9ec513e79d735167ff02ec812f4da84de7ee07fa9027a105c4b853405179db7c11a1955ed516dc4575e89880eab7b65b3889e77dac8ad4a36bda0e2e17530c907d012ec693d4da7efda55fc856da04ff1f0000,00000000000000c0739ee20c727b6216dd8f80cd3a87128f9df1bf8ae81da2f5b49dc9c241680295aa21a9ed941f1d6e2f2ddc631e148d555b56dd153c3d193c52088e1bcb82475590e152d608000000000000000000000000000000002c6a4c2952534b424c4f434b3a152ba8dcaf760ca5be7ba86c5fedee79a0d6fc1d0b0607af61b7ad870d6945f59596b239
rsk,0000000000000000001b934f570a5a225aa47f7f127ec13456e0871ec10b9a8f,735940,7947d86959f76366dd5f7d99e1c803907ca17c59503262a27885634afe5fe463,1536585780,merged_mining_header_match,,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,9dc9ad79044eef579b9ef9abfee6db206ba358328226ec39ff6688c667f559b2,1,0,735942,e1261b91cb6de4dc870033f4ec137cabb1de96b2e9f0f78b6f75dbe4f37e71e05f16d2372113761b9b1159abe1302752ab3d1563d44859c2655e7bb851ab394bee70ccc13d2b1b32e613ee159d5d04a6d224578ecc41b65580ec966a7a0564ddd05990f2c57f30966eb753a4f43aadde2824df83eb66b9ec3b351e2f485cde919cd48d86568d999ed75b304c46040080022891e8eb9eecc061e5dd5aa48c26da148d29220ad6ce332c84b97f0e2c4ecea543542f76434759613d1177b0d7268daf5c0a18f465eee313e2632918ccd74560bc52a424cc0b0bd0d4c3b36a7dba7490754e8020e34add725f1beb5240d664862954f4e72940dcf7eb3b3fd1f10affc2d666bfd436ce29e3ce42f9a88468caaf97861d371baa72a256684a002474a7411f8051f4811beb24c8f3df329edeb2c2a14a31631672208bf12ca99f051dd481ca8651892504c8270bb7257c1c7e2a8ce37854bcf2411800518c18a483f6090a596d2fe92bc32255511db90ac0f89dae9138afea7b90a787b41b7efc37689b,0000000000000080b857d2c4943d68ed15f4f488afc2d5ad57955aeb766408c8f4522d506dae19077c154ed1dc59609e3d26abb2df2ea3d587cd8c4188ac00000000000000002c6a4c2952534b424c4f434b3a9dc9ad79044eef579b9ef9abfee6db206ba358328226ec39ff6688c667f559b20000000000000000266a24aa21a9ed5ce1145068ffbee9677f77bdb0bca1d447a637fc0e5ae2b97c74fe1e62e5ef6800000000
rsk,000000000000000000082fd7cff6b97ba03405ec723b3649658d270a4ff12a9b,791386,be7dbcd0575e972779b68e9885999c9568215ec147e6fd1a0816f0d7b763cafa,1538382440,merged_mining_header_match,,12d3178a62ef1f520944534ed04504609f7307a1,a3b4688eacc39d994aedf6dfdd0011a3e125b124292d7a8f0e066d7c5a23d89d,1,0,791388,d88b6c75989a8a5d2d6375379b534fa6fc77b09d037377fec88a5f02c5c91ba7a1d2659f15823884ae024939462b324e79950ec14dec1d8c0cea43d23d70f2462054105d4c24a3e9b206b7d0b438c36e0c1b3fa735f26c3789f8c81e31d4bba522d4a182941dacfc336b0af2ee905cce86b2b20cbebae1157074104c71b5220542f0d401ba4b04de1df15e39a877b6f7694f2a26ea97f2230a26706da62d2cfe97e18d8a210960eff6fd321533eac15cc924e77ceaff63d9cc3979275e68e5765a2dc493699537812527f2ed7819ebd811860ac46a9c124811b8534649d03b313e651c2122d8199a13a28c16074cbb2ceddde24493fb9ba233d6d937f700730a5f7ec11cdbddb09ec03d02f8c9d10668b07abd9089a1c9cbc7127ebc49e82992fdf3c0a8b1a4e74a20954ac6375798e995d9dc9ad6c6064c3795215811850acac20f4daaae3f866834699f09ddb877e74cd48a60f9466000b14d859bf18cfe8e,00000000000000c0932e9ae464c3c28ff5665c9dee806ed7a4a66ae0599e630dfc0951678426a5fbaa21a9ed24d8ba69fed6262a8e5a5f31c8bb5f6c5e1b35edc205ec10a1667b594e2211bb08000000000000000000000000000000002c6a4c2952534b424c4f434b3aa3b4688eacc39d994aedf6dfdd0011a3e125b124292d7a8f0e066d7c5a23d89d7954b349
rsk,000000000000000000020180eb022e923f5ed5750a3d235a7c855cc431711326,807286,4d03808aca1bb4df1f5b9c406cd4f33694f59dd0d1e341b97ac9042470f9f1c2,1538914325,merged_mining_header_match,,12d3178a62ef1f520944534ed04504609f7307a1,30c1c0b0045f20a14c8d830ca890e5e1ad418751ae4719aadd5a5c88f3a174da,1,1,807287,dbe9ac17fa3be4d97c33b7eb02b8637c378c739778e5fbfabfcc5ad55fa37cf191fabb8e7ee411e3006e7dee5e098837413d3d511e620e840284cbc2b5f654a35698454ce3ba16efdd7e838436d93d3f4891ec5a22a90753ab655dc92dac6130c412c7f564f4b030ce0451b140704ec96f66a8a40c98d96c8a986730d9a43e6a3bc16619d8682b43c5574d9978e45ed0911bb666ce69f770738029b43ad709aee19548460b6be2f5c843cb28bcbe4d8d54ea113ce7fd5dfb53318fc17602e6cdd25d814f5ab6814e1323d635daab5bc725370f443fb59ac916eb2bdedf8f6d99e24c05735329f3b0a1eb9e3dccbb4f70a73a0a9f4188dc1e9e7ab119e57d82196e71ee12c4086f75deca29ec02aba8f3b9e85e76a9d609570140f0019753e9c3d07fbcf48e8193b30228ce2089d9ab1d6af6fe96232d2244a77a0c7805fee55af5ae61d97777854709633c46298a7897ac80bb58de01edc9cb056bf5f6c16437,00000000000000c0f0af1785d601c34a9c0098410b18aad03456d7800d989c584ad10f0c5c8c1cfcaa21a9ed807b65f275e3f9110710d54bfe40d859ab78afb0d184f750ba130352675e61c208000000000000000000000000000000002c6a4c2952534b424c4f434b3a30c1c0b0045f20a14c8d830ca890e5e1ad418751ae4719aadd5a5c88f3a174dae76fda39
rsk,00000000000000000025f54e8fd24d284ab17aac3e6848d13a8f3c0c8c0df3cb,848118,29302d66fc07c527b376027ebe19c4c4fd4cdb2b937000f6cd6597634ab270f5,1540308325,merged_mining_header_match,,12d3178a62ef1f520944534ed04504609f7307a1,1bc068aa9ef36d8653c1f18eac7734734c57f2b647a6f8f74d7981df5710c06a,0,,,e23d322343263b0dd2ad9c3c40478ff3243ff824858ee769b597dfa1cafb3c32fe37d01d10e6be802bfbd0f92bdcebacc71ae191066fd6f54ff4bb21fd323a70f66cdcf883ca5707dee592ea6de703bd58f29d3a10225a74d491c5bede1dfbedbe6f2366aad5055996cecd7f5b7545a3c0a049710aa9b6d9f927b585ce79d331a491d6762ba5f0b73ea7638e4f8d697cab528dc72f3d51c74cf752a2ab46773d33381f8edc796716f356a3072e884c7ff212bc4253403387ad801f9194d86435d29c4adab023059d981dfa9d5c404945e77e55317c850ea36c9243f329b97b07d861a03fa2072ec72a55d027dce35abb7a3a8058ba4aaba8ed3d1e9fc607d521864fad959b0b676f6b881e1f3c2a7e37ca12673f797d63a3fe3e10f751d21827ee9a5faa7161f1684b5374acbdf69e1245d2ba9f25e8d9c82d633d44066a073d388f7af27966db5887b72cc1722d634a6ffb9cda8cf3361682f098b14ce21561ebe4e67a905bb27b9e2b32bb9fa3c8ec6156a01b1b2c362042ccb5f2a219519d,00000000000000c060141d7132337cad76d80ed5300c92476e3bf621761e8887432a52442fcd213daa21a9ed144abc7cc21d7eacbe65ef94eb2e2f07e61b971d16ec5afdb0b904c4a6ad452b08000000000000000000000000000000002c6a4c2952534b424c4f434b3a1bc068aa9ef36d8653c1f18eac7734734c57f2b647a6f8f74d7981df5710c06a0133fd39
