btc_height,btc_header_hash,chain,child_height,child_block_hash,child_block_hash_order,child_header_hex,child_block_time,child_nbits,source_btc_height,source_kind,source_path,source_row_number,source_sha256,source_classification,btc_height_provenance,child_height_provenance,identity_provenance,catalogue_row_number,provenance
225013,000000000000037f2cc0769d4244cf50f1cace4ab76b0b4adb31010e10150708,namecoin,99370,29a7f082a4ccd618279f1a1cca4d5420a1ee8ed4ec1304533a943945acacae43,internal,,1362842196,,,archive_row,<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv,53555,78814420b8fac775e3fa173cbd3c10261808e1f879f20c246957ea03feee19b6,stale,catalogue-active-parent-placement,node-verified-rpc-height,monitor-production:merge_mining_event:651478,2,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv:53555
225013,000000000000037f2cc0769d4244cf50f1cace4ab76b0b4adb31010e10150708,devcoin,80590,8e4896b4e36563cb4639246d15ad8d7912f235637da5bea2df5f9d8320c3c025,internal,01010400d172e1559fefaf57ec032d6aa0541215fb1749fbf27da89210cdf15e6c4de3280c99b52bbebad9660834f0a73cc954cd38e04e4492bb6dc6f3d84ea824145bcf31543b5191c3071b00000000,1362842673,1b07c391,225013,archive_row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv,59,1779e3b2bc5cedbb6a5b592e551bd7cb99f1e07fa936bf31f70d559e099bb335,stale,catalogue-and-source-row,source-row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:59,2,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:59
225013,000000000000037f2cc0769d4244cf50f1cace4ab76b0b4adb31010e10150708,ixcoin,120330,81ae1b6673bc9ffcefc76aafc83d3b7440318af788052af941814677a0fa1462,internal,01010300ef6f83bfd4c3e1a1d2e47b932bb9c61bfb5795edb602c95c08f19416757179d9e52d09588372602162839a72ae83a9a3d470c0cd676135a95533fa5138702b1830543b51728e021b00000000,1362842672,1b028e72,225013,archive_row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv,60,d2a69b1cb73617231d5a636d3c3ba9014b0c0e5fe6f094496a24e54c98cecc93,stale,catalogue-and-source-row,source-row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:60,2,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:60
225015,000000000000015437122b60d0a1d2ed7e1f98b5b292e886d6ca62042bba2035,namecoin,99371,d4c3ad390f50f5c4e57b4643c6ef5c217130efb5b16d3de8a47c69963a563005,internal,,1362842753,,,archive_row,<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv,53556,78814420b8fac775e3fa173cbd3c10261808e1f879f20c246957ea03feee19b6,stale,catalogue-active-parent-placement,node-verified-rpc-height,monitor-production:merge_mining_event:651479,3,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv:53556
225015,000000000000015437122b60d0a1d2ed7e1f98b5b292e886d6ca62042bba2035,devcoin,80595,8d8fa246ac3229f5977ef8654b8e8157b6abff65cfc22e9f9635f37c2052b84c,internal,01010400cf2a6264a20af2fb0b4d43af8d79115d54ef83980e149f255afad643d0d433202558e4f3bfea7775606c42f65c1e19ccfb4c3489ff7c9b96f9eeb1df43d946891e573b51cba5071b00000000,1362843422,1b07a5cb,225015,archive_row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv,60,1779e3b2bc5cedbb6a5b592e551bd7cb99f1e07fa936bf31f70d559e099bb335,stale,catalogue-and-source-row,source-row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:60,3,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:60
225015,000000000000015437122b60d0a1d2ed7e1f98b5b292e886d6ca62042bba2035,ixcoin,120333,06582d22e0c5567901e2baa2d2628db363557c46a3a0a86a0d3760506a349a5b,internal,01010300f1e2ef20771d69fe2d265356eca3dc7c178b270a940ddb5930992bdb609168c5695d33c7a85439a88244feac2772f8e13c82b6ab85f87294e9bb2bca93657bb81d573b51728e021b00000000,1362843421,1b028e72,225015,archive_row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv,61,d2a69b1cb73617231d5a636d3c3ba9014b0c0e5fe6f094496a24e54c98cecc93,stale,catalogue-and-source-row,source-row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:61,3,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:61
225134,00000000000003abc9b545f105aec0a14cab2b65665f967b2527b61bb25e21bd,namecoin,99462,5ca7fab525f73a980f96f58987ccda014dbe2aeba4e833ceca421b1349c7765e,internal,,1362895571,,,archive_row,<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv,53629,78814420b8fac775e3fa173cbd3c10261808e1f879f20c246957ea03feee19b6,stale,catalogue-active-parent-placement,node-verified-rpc-height,monitor-production:merge_mining_event:651570,4,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv:53629
225134,00000000000003abc9b545f105aec0a14cab2b65665f967b2527b61bb25e21bd,devcoin,80734,8c49b894d5ce4a75278a3bfb0e91d68d40507d759a3351e53a6ca83077fbdd28,internal,01010400204c0bbe2f827b762f384bca89f5fad1efb20d298a26d65e3d45911e2925dc8ff79f0421d2bdab5e4cde7032efe2ac5cf481e343bbb35bdf27d5746fe571ba9994223c51216e021b00000000,1362895508,1b026e21,225134,archive_row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv,61,1779e3b2bc5cedbb6a5b592e551bd7cb99f1e07fa936bf31f70d559e099bb335,stale,catalogue-and-source-row,source-row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:61,4,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:61
225134,00000000000003abc9b545f105aec0a14cab2b65665f967b2527b61bb25e21bd,ixcoin,120574,0545f7f24a84e869560599cb4ba220ee230fe563f694d5de86a40f5cbb05ad17,internal,01010300fda1499bd7d06132f44b4cbeca4aeda85bb9977fcc0510cd7b499c285f5c215f792b856e4cd3c44f34fced7c600512f5c66577834a8253500cc07a3e3f8b69187d233c510303091b00000000,1362895741,1b090303,225134,archive_row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv,62,d2a69b1cb73617231d5a636d3c3ba9014b0c0e5fe6f094496a24e54c98cecc93,stale,catalogue-and-source-row,source-row,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:62,4,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv:62
225145,00000000000001a3aa38003bb99c2bb16dc48dfcf5542ddf86139e639ff51433,namecoin,99474,dd38dab8e047e3fa768d62373966deb03c8bc6558de1173983bf455f92c8d1a1,internal,,1362902081,,,archive_row,<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv,53639,78814420b8fac775e3fa173cbd3c10261808e1f879f20c246957ea03feee19b6,stale,catalogue-active-parent-placement,node-verified-rpc-height,monitor-production:merge_mining_event:651582,5,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv:53639
225145,00000000000001a3aa38003bb99c2bb16dc48dfcf5542ddf86139e639ff51433,devcoin,80749,928e2f2527bbfe8c2c5d41419fee23a92461b276cede530b69c5a5cef668f70b,internal,0101040028616a0105bdbd8190b0db70d3344988767544972a2fad8732750f1c13162a6e46e0c471a8d631b38c9c2f7ad9307e2cdb8848e538eddc6510b444761943b9a42f3c3c51e242021b00000000,1362902063,1b0242e2,225145,archive_row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv,62,1779e3b2bc5cedbb6a5b592e551bd7cb99f1e07fa936bf31f70d559e099bb335,stale,catalogue-and-source-row,source-row,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:62,5,catalogue:full-evidence:ixcoin_evidence.csv|observation:<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv:62
