btc_height,btc_header_hash,chain,child_height,child_block_hash,child_block_hash_order,child_header_hex,child_block_time,child_nbits,source_btc_height,source_kind,source_path,source_row_number,source_sha256,source_classification,btc_height_provenance,child_height_provenance,identity_provenance,parent_row_number,provenance
170061,000000000000031c6ad96098aa06a9ea8ec39b62a63a932aa9f367f6b4d0f186,namecoin,45874,14c31798fa8b7796a91b3972bb818f7af866519152f72df4f3b866191ad9be82,internal,,1331138796,,,full_inventory,data/namecoin_stale_blocks.csv,7244,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,17,catalogue:stale-descendant-observations
170062,00000000000004351dda86c5a6d6fb855d04228988d5a3afa91d6249b6abf77d,namecoin,45994,78254ab32b387169e3d382b8082b27f08be1a73eddfcc49972ab46f030d66813,internal,,1331204767,,,full_inventory,data/namecoin_stale_blocks.csv,7272,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,18,catalogue:stale-descendant-observations
170062,00000000000006a94b1c86cb78dd4308a8ce7310993efe6586a4d89a2ec91328,namecoin,45901,e232bce6d84a42988ddbd355da937c7f020b9490abfcd431e32ad4cb7a38caa7,internal,,1331155748,,,full_inventory,data/namecoin_stale_blocks.csv,7248,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,21,catalogue:stale-descendant-observations
171133,000000000000055e55d335480b808b78df035ec195a439bd5c529888a3746d78,namecoin,46903,32011b91a8318c766241e875ba74a293cbf70e545585b30407cc084618c10835,internal,,1331730981,,,full_inventory,data/namecoin_stale_blocks.csv,7634,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,19,catalogue:stale-descendant-observations
171134,00000000000006670b0d3f3bd5a2edc76317c58868d95a5f8773caabcdfd65a6,namecoin,46905,12daeacb3be1f76980c9c01fb5892ff1d5e627cbedd7b7c6f3c91a93f3a474a4,internal,,1331731899,,,full_inventory,data/namecoin_stale_blocks.csv,7562,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,20,catalogue:stale-descendant-observations
179641,0000000000000894953e2aa6fce46e116a6b7b9775ab0fe61380dcbbc09f4075,namecoin,55474,651ac2b6cdadd47e7528f3f8400f217ba1e917df196f6d10a6a0bd56c0be724d,internal,,1336710806,,,full_inventory,data/namecoin_stale_blocks.csv,11037,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,22,catalogue:stale-descendant-observations
216108,0000000000000237a9928e6c5f65fc44f0fd5b6dd2c8e9e49b92065ea4fdcdd5,namecoin,91171,7666efffc41c00b9f2855da56333cd7db270333b04086888534a0d4b853dd63f,internal,,1357922582,,,full_inventory,data/namecoin_stale_blocks.csv,25013,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,16,catalogue:stale-descendant-observations
234108,0000000000000043bff8b3fd1519a07fa61d40815c7e8734e31e34b948a2df41,namecoin,108809,2818eccec64c56b811e731ad66a28ab362ce65dddf53de8f09a09ed58d849b29,internal,,1367447307,,,full_inventory,data/namecoin_stale_blocks.csv,28806,ce646f1b8f74f7a59e48235af14e6a063ce91cf3b61007a1c54c128ede286819,unknown,ancestry-root-plus-depth,child-identity:auxpow_parent_match,child-identity:auxpow_parent_match,15,catalogue:stale-descendant-observations
256559,000000000000000f9bebd3fdfc86ed47161c711846c11ac33ec8c25612d09415,devcoin,104823,468151d8e66f482e72b6094ccdcfd293f10c2239e59a757bc00f178c84748336,internal,01010400dfe0596dff1601630816e8bf8f547f7e7cafffc28079bc3c6702a0d24e678cd316078eb75719790200681b7300e3870c7332f8bafd9fb58f1bf3ad8bb0cbbc6423462b521496001a00000000,1378567715,1a009614,256559,full_inventory,data/devcoin_stale_blocks.csv,49410,9214ffd337a5dd4b5a05b28ba44405b96d24bc8ba798bc715d6574316d33ebb3,orphan,ancestry-root-plus-depth,source-row,child-identity:source-row-authenticated-child-header,12,catalogue:stale-descendant-observations
256559,000000000000000f9bebd3fdfc86ed47161c711846c11ac33ec8c25612d09415,ixcoin,159230,0ebcfc4747b31c7ad99d396bc4da394a15397d9f57786aa99de6bfba930f51d3,internal,010103000ed86b12875d22a7656258491f387b3219afbc3f132708d9412cb986f7556bcd6494c2d07771ff8de463df42d7c5ab7464f239809e4b1cb9fd1e882325adef2344462b52f9da001a00000000,1378567748,1a00daf9,256559,full_inventory,data/ixcoin_stale_blocks.csv,184106,6482123b82670911fcc353b378c90c1a4360853853cf5d569106ae23df9b5a66,orphan,ancestry-root-plus-depth,source-row,child-identity:source-row-authenticated-child-header,12,catalogue:stale-descendant-observations
