btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,huc_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
285130,000000000000000125976d8cae1224afb0f85b9790257032e1dd0fdc1df1357b,0000000000000000ca938692058d88810a32ba741cac193a60962d48df95a549,1392047307,1901a36e,03ca5904e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d882e95bd43e23e8268dceeaa5a4607bfaa9d011935baec81b3666aef38c2378e080000000000000020d3a31600000d00000001274d696e65642062792068656368616f646138383939,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,0200000049a595df482d96603a19ac1c74ba320a81888d05928693ca000000000000000024e1794d3453c051161ec6ed221f9d301843e6b74ba7f7e1765130a3962d8693cbf4f8526ea301190bd722e6,43156,cd8c6d50afa2cfb5ab93fbcfa5bac4f8c4e5cd6773587e4f4f558c53ff5c66bd,010106000377dc420cec4f7adf4f50221b7a0bdfa681a1f143f5170f8f85cb9abf9b4aaafd27221378e9310e4791e50b28c620a5bfca6da631d7cfc04fe2c90a40e5040eb5f4f852f379581900000000,1392047285,195879f3,stale,VALID,1901a36e
285818,0000000000000000f61d8b36a8642e573a81248e5d72fb479d80e14ff723c77b,0000000000000000f9b2663a59dba9cb162b5c5af9b8e6eff75da99fc5d16c22,1392390538,1901a36e,037a5c04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d69dc09f3759c2f7c5a77e972cbe97b4da4aac38e6f9ecd1691e0cf5a244c299508000000000000003f15fa6600006ab94d696e65642062792062697435636f696e,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,02000000226cd1c59fa95df7efe6b8f95a5c2b16cba9db593a66b2f9000000000000000063c7fbf56b19901e88f1cceb48b2490748922e87cc1a5f4b6fa401399cec5c838a31fe526ea301194439b278,50905,a020fd44be628f278571580818d3d5587f15080cf358ea96eadd935155b45a2b,01010600df86ed4dfd30b32b7035d85642921391ca892d78057730d24ffd8de15d105483b2be25eb226b15f09660391793cd7f7cd3d1fe4f994bf094afd10d6d2a1916d17331fe5219e2281900000000,1392390515,1928e219,stale,VALID,1901a36e
285869,000000000000000132aaee801041431fa3ac66e61a5ffe240b08a25f32b863dd,000000000000000080fda0d11076f87896f31316261f882d13eae6a949845519,1392411945,1901a36e,03ad5c04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6df43f1fa6c771658caa14990e6da1964e50d9474ac295be691cce59098d809153080000000000000017ff4bac000001244d696e65642062792077616e676861696c6f6e67,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,0200000019558449a9e6ea132d881f261613f39678f87610d1a0fd800000000000000000edb4924a898c29ac9e7d57de1cdc4944576ec316f1e6bd4d1c696a12471512fe2985fe526ea30119077ab633,51336,df996e716810215714b8ffe8eb7d943fa9913dd0d74bc8d4ba6f46b447af47a1,010106001bf9c9618adf7d48f25c4fa0abeb804bc0500221dde61b200c36f0c6ddbfbabe7b5c2985f0cc7641fafd7d93bdd988293160997e7dbd3f38e2dbaf76e64491a41a85fe52a62e271900000000,1392411930,19272ea6,stale,VALID,1901a36e
286299,00000000000000000114468c1ca7d0a4fba19ba0f7f9e87e9841374e31d7cfcc,00000000000000015d3d9b5d102155811614b190ccb143cf77873da1d7606f9b,1392610121,19015f53,035b5e04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d42465c4384c0403f8a5fa130693353476d3c1ae16e8df09297a6fcce3e62c2e40800000000000000aa84a34300003bf64d696e65642062792073757065726c7463776f726b6572,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,020000009b6f60d7a13d8777cf43b1cc90b11416815521105d9b3d5d0100000000000000c26b725cf5cdfca6909705fbe08c30f70e21add535e83e36ad7ea1e1a328002d498b0153535f0119c8fb2adf,54861,3763d6f0c429b6a13aba2c50ff8dd6dcd89604c62f60eb16854b13639ae11424,01010600e6128a932ad519d02dfaa9e71f41ca53e018fc8e876655d5e5ed1b391c9df11ce4cf1a57649c0bb783a0d160e4c5b42e4babc13d2ef1591eb8e22148fe16d66d448b01532aa1211900000000,1392610116,1921a12a,stale,VALID,19015f53
287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,00000000000000003128aec80755ff8eac6687f4342fa2b07bd9544188f5b606,1393144007,19015f53,03796204e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d2904d7c3e0a258832b82f77b0d7182c8959acdfead86aadbdb64cec513137efd080000000000000015b07bff700000004d696e6564206279206c616f77756b75616e67676f6e67,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,0200000006b6f5884154d97bb0a22f34f48766ac8eff5507c8ae283100000000000000009a8657b1004ecd30beab74897da3aa22f42f71de7e6121c0b93570bb33359223c7b00953535f01195300a949,63678,343c24f2207fec3ce379d7f0abef6d09fe73b2ae3ddea746a46de2230f32518d,01010600f108096ba5505de435a1f635e14467b295f06c208ce59d11d8742894fe01a1cd98b82645dc07ce10b27e215caa07726484d15327a9c2ccdce3d72b0a42c7c60199b009534a55251900000000,1393143961,1925554a,stale,VALID,19015f53
288064,00000000000000013b382f4dbe4aa4284de70311467860ab31245223856ac159,000000000000000018ec387a7e79fbacdf875382b4ed1574a4630ef357e8509b,1393488320,19015f53,03406504e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d437b4a48724d8a0ec281daa5f0cb33732d47190acac4e44179641bb40304fc2d0800000000000000fde712b900007c184d696e6564206279206632706f6f6c79636a756e,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,020000009b50e857f30e63a47415edb4825387dfacfb797e7a38ec1800000000000000005fe1b87c511b3ef96e6098f3de4637b2473ebf9c30af77e7e21703b0d5030af0c0f10e53535f0119e2a4c2a0,69694,b55fc2d41f5fb8915c0d0f7d2c8ef5b1020d37fdb60cb02cd6e817ce7e35cc01,010106000632c90d44ecd109fe84d988c71809f0bf3d02ced63dc548c5c889910a5be8f89ad0dee26ab5dd31a343434c6a9cbf711fbe8dabd28c877482ec80041109eaddbef10e53f48f1c1900000000,1393488318,191c8ff4,stale,VALID,19015f53
288225,00000000000000003e51e196ad803e5dfd21c2598721ff3e929b9432b3f30cfe,0000000000000000fe1f6d01e645c8796bc21273e4b84454ade90ab404993d2e,1393567239,19015f53,03e165040e00456c6967697573005310260701fabe6d6d714540a0814863561868413ebe3d044afd01fbf455277fa316667b9259f397370400000000000000002f737333362f0010619a0b0000000037380100,18LJzaXdfiRDSHQGqNWAqaywQnfewqHKhX;1FGswvXfcoEMPWpW7kLxzb7G7MigXAVbaK;19A1gdRfuBVUAcBP6XTgRBAzH8GvQLAfJv;1H3RRDVgZbEoDw6n4zfdNF9uoVZtQ4DPxg;14tCDysRADPbY4ocVR5SeMzzcXym8FWn4k;1L2iZERBEVfGs5oDaA56tSMZk3QC3UMLAR;1HgjXSb8kX7DYmTDYA2DmB85eQ73JHCVsb;1A5FY3H4xU1GfjhmyckPcHBCWKWqE13Vsz;12HSRvguZvRyNeYHLg2ixXoAJubK4R1yxN;1GVKJQjT6Ykm6UhSbkBvpMkzmcMT3tYyuo;1DbESu3VXZoKpCJyHSzrjt8ZdZzST3gm8b;1JyCSG9aZNevy5o3Xa8waLRbVi5nBav2ou;1DAZSipjNoodnnt6byVtotGnK5qFqWbNvf;1D4rg4bGntQXS6pf78AEXhwYs98MQQrQAQ;1M56foXGbQ7v9YWH4pxGEV685GZAH9GAR3;1PCuDks9RrjpR1KcvrCbcR63N3mKYrAnmH;142YwgL2s37cjXdX86gW7yoJs5PYB2iGPb;1GEwMjW4UEkhGqvSzCkNokAAm1LELmiXJM;1NZTzfSUzcQ2Rt7wLi5K91NHuoeVKxGdUr;1D7LunVdsEmDc5Roato3QV3YeoaGwUKJKj;1C1UZWfsJu46Lzpbbgmc91SsZomQkoKNeB;1J8SB2iGRfYbpeW3Pfh5WxuzzYhQ23mUNp;1Bpihd4a1vf1uzYp6Pc5Cxj9tLUNCJDfcW;1AddiCt8ghkH8zwPpcv8W8SxcQEoGTSJFS;1CzqqXY4CDAhg9CY9gYzH1kCAHRcY3jrcm;1AGCJWzRrY7JNVzpQ7ZQM3jrA83xo7AssQ;1G7JiLZSob8Whw3SwVDwub7qqCQi3onbYT;15qyyMFMAGtd3SD5uU2KGM9ykCc4PPr3qL;1EgvumFadU7bMk7LvrrYxYKsWuYxNxpvkk;135wh3U3CiR2YrdwDKhdFnCxwzzsA2RyMM;1FQYJcuygvBY4PfEmLwtTieyMZRQTkWRjh;1K173CKs461Mw4XMxqULgovxiHwF5natCH;16rcJHK2KdsWwoxeVfTN4DriMMRektfQ61;1LUexfvEJAu2x6UEPtkKcQmDpKUL7FYuCQ;1N5LLRWM9b5QaNUGSc5xZAPJuDWUeskKAU;1Kxrbfac5iQEcw377LgerYdD5p2u64qtmG;1JDFz4jrsnp7rvmZAU17F4owEjUdAZbDWP;182PKPSURTdb8Aner86prJGKb4FC2k844v;1GCAFTADriUfn4kKFwbjtTSaC7FC7KXJLZ;1MmbdKJ5YVhwzc57Zf8d6adZCiCFC4Zdsh;1HQxpczxb6CpBEZ8UVg8MphHRAfLSAEVzP;17sJC53EuuUVrBuHMoik3hbUt9iX7AjyvP;1JMBHP1p6yXRxMHk3YuVBd6xbvT5YVdLaR;1Kdd4pHSmhM6BhCdN8y2stmuZUe7mjbCXW;1GPV1JN8kJaVJffLbZ2maKbAcw4YLzJAne;1JJD6yWveCqbyQFFBST19DhvhJQbioeuzo;12sR2eyNkTzZnDvo74Z5LHoYVv5i5qtjDp;1EX5KSUyvYxZFmzsgqYvnpthpvD17GxbZM;121dKmVDf9nbLNWAL35JagbQDEtbSsYitA;1N5MDTFUxGMqgBrgj3W7YqJCLKmKH5b7pj;1BAhRiYSaSvbQzzVZhJrUagdFbfuo9De58;1CMepCgEuHoxLxdy3Df5aUE4E9AMpVWPAe;1AF1tVbbA1WohAptsY8Dquf7EywWpjuQx4;16QyMw3a7WsCkAKrARVGmMdbnnYY4faDnV;17a6TJXdXUSQ8M4mx2JAAcGBgNQBmZZhZx;1LhSvmBR2y9j9ukrA28vZTafevwCf97yEt;1EPXHR3RmjHJ2DH7YVohf6BK5EjA3556uF;17bPz98NaLPpupY1mJWL4Ko7sqtVwdPWMj;1EEwSHHKftUhpu7YcjAk8raKkdUgjCtwNb;1FTn6d5qWv4mqFDJA6mYhvq5ZY81x9TGEy;17hhu6ZNzYzpd5QySbxPk7RRr3mPqnZsnc;14Sba7F9DY3gXxGeTF35DNLuTX5pAXsjac;1AjharNJGj9tHMym9iCFjnGKyuuvijhytV;17uzX2Jtpv1afSQ7PrCcKtEDc8RP8LtWUD;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,020000002e3d9904b40ae9ad5444b8e47312c26b79c845e6016d1ffe00000000000000009331730c87ed7d7fa02620498fde12b4b08715baeeb551c072572b1e99ed985107261053535f01196acd004d,71026,1e133987b3689f6a79622499cc3b39f759de0b674781d96e0be5ccdc1a897680,01010600befd6ad631a36b5b204aacc255aa2423fa269de1305c6e5646e142e80f008e23f54b5de87feee8e7a6200b797acc71e5e025007142a16c97e40662020628be52f3251053a6441c1900000000,1393567219,191c44a6,stale,VALID,19015f53
288885,000000000000000027c9f0bdc38ec3acac09db6e4ebb43a93090bdd8960be64a,000000000000000104a4fa6d187e33b24aac41326e382020a35b25caf3ecec85,1393943768,19012026,037568040d00456c6967697573005315e4d8fabe6d6dadd794f6f5f189ead61693f9181bc2e9bae41fa67a23ba40e334cc042819ec420400000000000000002f73733331312f001086110d00000000a2050100,18s59SAtQ3N8w3d79ezB34wnCUZ88yG5NU;1NePCW6XZzix4pLPgskJjTTAGXztaw1rLE;1C2HQfgoJUQ1eEg2ABKrpAn2QeWMRX1c9u;13r1yVmkun4K4Yz7iSaaohmfFbhggYvoDe;1GxLuyRvkzTBgugKeEjVHnYpbFqsdVAdiy;138ZEcmAPvmJTHitmUfxm2okBursyab4yQ;1KS2twn9vdc3KzGDbYJTGqXWffpktk1TtK;1E2j7SaRfvRr8NcMfAwaHSmZsC1Pa9qHVR;18Kb2k9HDfq6XjhQ4ZqFzSJNyUH1a7uA6o;17HQqRjXT6nQANvtLKLfi2tq6doLNbmpxF;1LfXzgwP5PHGzDJ28aUEgVA6moXnj9CEWA;12v4UhvbxozZSZ3nxbdmc9pnDU8DqMUPEU;1J7WTV5zdzQpdQAdUxetYmFEN312qsi5Uj;1HfNSM3jtwuKpvvw7XX23HhpZwC4GiSxxj;1HCbtUru7fRGtyzCDG5LDDNUNbD2hU7zZv;1DCyk5j1aXe9u1N4QtbYSAkYaVdBXvVLK2;1L92YV7gidzTRKcJoxQRFbCdueCGUSnjnv;19DV27Ur6uV8AoHdxsCBnpUqRyN5LknHRA;13WxR1Nf46NxKBnNMmRMZhBdCunM9VS7nE;1DB2ePDMDHxbTiL8LPEB9s299iDwBECPZn;14z6GvL8dE9C8JfRdUfiUqU3Y6dJ5s3Qdw;1Lj5MbRJ4gQ833jNpNuRByuDEpehRCdf1W;1PPxhxUcS26Ne8PakPnpSaEr8uAhkiwnyM;184E8Uk41VWN7MYeLZeJrn4r134hx8xHNL;1DZXqJn8iC5JofwV9H2oikVAKyteCvamXZ;198Q7394hpQoHeSeRYNsPoV98v3jCA9fK2;1JEsqftWjuCgXqwLQZ9pB2vowtQQ6qQ3uW;17jvQ1kXszbAKcbV9LrZVsUtmmavLhFHJW;1LuD9y4i8gjRSXAGG9FhbvPy2vCZFBLFZz;15EwNDjDHzBF62pbATqcYJiVevDeQs2zwV;15oMVree1i5C6Bve3Y8ghg9tJqBaphhqaC;13gJrXUMnAYPZEMydP9pcjCy8yTxYfKQeq;1BWA53KG1PQQfBaswFKNozqfRupmJbf5fn;1P8wmF1KaYwh7pQythPYZg31W9cbhDZ32f;1NiMuvQRzMdDxftegFsEyH8fNPcCQYzRhh;1Gtb5GbCrvgEVivDoreHYjt8JXTe2WSW1Q;1HrqGugizGWdfZgZJy2BehkCdLcCBDhMnV;1knZXAcyHcSHjpNEWFj4JGybBuCZrHK4k;1HTxCqnt9metxBGKcQzFm1GEQvhZwWcDbx;17PHEZaiJqARt7GkBC8MLRijUDSgAgpH9P;126dAQw76XAaKa9XMNjfSuS1QMiaNmv6hd;1Jk4gb3eyUzDDejpuBuv6EkBgyw2x212nq;1BWq4P42GSkUpzAa3wyUtSY1gLrZ2ToxdT;1Eu3YVmLmpZV1SvgfgX3Y7qMVgX5g8BzCh;15bk9kF6nGuaHMxN1qCTapuEaVCPD6kpfp;1Pau9jG2wF9ENZCw1gk7RZSuviuCJFCgox;1MEpKr5PsLWFWPa7spXiMMrbaKjK3Muw1h;15HYujp5uu6aoJ5tntrn4zyxV5Y32iujPg;1CU2HeyaGKwzJeFcufQn69YjpwE6AvjE72;18RoQ62pJMD8xuV9eFo1MtSZAPokDWDGCG;1E9BTxqdrfcc84suuVWz4bu6Ug46gtrXyJ;13qsdQ6izKW42oxvxxvJ2qEjZxg9VCYT4T;1AhE9pjA6HUVXxaZmEGVXGPNdjU13ogWFV;1gGgCGs4bJLvncWSWwPUGG1ubJ3AU2j4G;1DybWJpLthQwJMGUJPBVFbjJWYYfML6y2i;1G7ASycPv7miUR3A4ezjoFKEuuBSusPLzw;1Lb9QSUnSj4axZKfJwfDZMfVoQb25GCguC;1NnFbSFecnv9E98GeesGjJsXV1XonBFDdh;1K5jauP9h3bjPATsqiNTxhfcveQYMLfsjV;1FuzDjviFEnyejuWbfxATc1yr62P7q9XMZ;1E5iDmm7azYqqVXeLpxbJfnZBEqjrMcDCR;16rmWbUMS5okodD37oYkQGbAB4rcC5Z2ct;1AAmGjq4or2jffe9H51XTzyXnHNzPQBMNm;1EWTGBTepmekYthz4yagpK4tNjQSnabNLC;19GoNNVRwoUGH7HUkKNb4LQdqmxWGTaKDU;1FW2sg8QeTBGiwt36M7uCESZ5njDwYHJjm;1EaNGy9QJzuQK1CiGf9DSF3PjfYmyv1iEf;1BQ1JaowZK6X2WTpMKafqeyW1FmdfQeEj1;12CumJF5S24i2h9si5YFoQG3YTUoccUrjB;15wL7eEsWt1iD1D2uQ8FX1roTgA3iBPbyk;1EthosMwGNLXsyJQCubupWhQJgcf6U1J67;1GjC89sRHeiR7AiwAanWhbng6JjsHTxdwg;1DnUzfPoEpcGV9qH2f2pyBfTB26q1HKe1A;1Q3rAJEpr1aBBnXvitpBedCTJ1JxFMihZN;1B3rJa8jAHhCK6nuRQEfYWz4bDiCsbR5P3;1Bjaewgk3bXujiJUqLcrkk7aKSS1f9kUV3;19LSHErBbSp8E8hA22FsNvq4MvVyTSmwGw;1BvqQNQYvug7yppSB7h8Pjgg2txQFqEB28;1GeYaThNjdsdRnREcRwGLAfHHfHN9qmSBd;1C6VDSvCQ1Ckj1WZsPhX9w53ry7Mkof2ZN;19b1jBHr6gbf2NcKyonrjD1xwhkRJwiTda;1NnSKfrnYeHkgCSDze1J8Z8dRvDStF24fW;1FkvMMoyevYcgP6gprnFYudDCUTbWsmsWm;12auzQiXFYonPLydeTvCnQR1SWK2jVg3uc;1GTHqKJC4RawBKJXxDdy6Ff7nC5NNBUKLS;1Kkms2j9wm71t8vjwG3kFPv37E299xNecK;19eAjSkmdPGZb61ARzyzH5XEw6w92uctHK;15hSvAp1SsfHadTBKtY3J7nTQ5qcVMmpgW;1LUroX3YUDDoTmE1k7Pd3mat5NtZUTp3QW;1MattSrDM2qbghfNFnQUW76K58azmLkXgf;1Dazzqi4aHRPsxEoWmscR53nQPF5Zozaef;12HSRvguZvRyNeYHLg2ixXoAJubK4R1yxN;15m8Q3vYbW94SU2ooHo2rCBE1Z8C9W2Aab;1ERieqM7ngSDTY8M2KaTKsKVgRpaVb96Tv;1EPXHR3RmjHJ2DH7YVohf6BK5EjA3556uF;17DFQpfYngTWs6dywLrTWyzaYpwEf2WzMv;1MfmYTSQpnrXr4zEFhbCZ6hqQnbd2dDEAo;1GE7FVkSkBdTvTRR8TjQBj9hbQuxAA7mVX;1hS6XJ1okPNH9KVuPickzbKi2UvizqpRA;14RAMfFQfUKMEoWpjQHcmuPjcDpaFwA7s9;1DoRctPN8aPC7CafH5JUa6WBXftZpdCAJ7;1DorLvup7kEEQev45iR4KuGK8MW2TMmkRY;1AzAUwQ5o1dFkBvp6mfUcp3VYcsKRGHnhG;1PKgC569o87BgvAJqHC4qeJtU5bcQTxUF2;1DnwDntr3BENyjmfRegdfHsYbrcPgwTkcN;1PnfoK8hLsXGhASEQ6uJnS6Nh6ggu73ynW;1D713pbrbNGbrPMgasoDUkAaVZ8A2yejcT;19Zs6mCtm789w8gKq6kim94A358UteayNb;1F5QTvTu6SG7JvrhmFA5erVALSMCdQBXqn;1KwY9i582v8WsHuYRJuT12VBGCeU6AJWf2;1Tucker4JTmDBW6iLpCoAEnd69T3Hpxbs;18uYk66xonTVNTNaBkLNDY1hKpi3bnDmCZ;1CvwCvkn5Tuty4PD9emaYRS95k5k9Cmjqs;1LKgjMyesAqWhzNcyA8AHooNuDywR25X4T;182aBfaHdYtWDT2uEwDG1SDC7y7sfgKGLU;1PUgaMxKPQx5ZczgyWdN2dTN686An5QKiK;1GsMSR86ZV9vTuTtt2zxy5ZKQsWsKRZ7kR;1DY66rDXf3tzqfXtRGS2Z7yszNJSVUMBrJ;1CbLNKNnnnGaPbuECsZ8DZWzgmxcWqymN6;169aGEDiYyQST13J5doPnzSH2N9zQycapV;1AqCvBNNH9CfQ8HyTDrkaddNGXyXWMNQmK;17HTgyRkcTNN6VWwM9mJUE3HnCosgxVeRc;1MWgkSMdEk7ojGURUqTVHc2QmYQgVTdDTA;1NzVpoMQcWEeaQddbY3CvouczWmALCT6Ci;1JmEocxkAsRFsL5c32nyRiuTjDVswERef1;1Ei1cD22EYXkBiAAEsBmhnZ6nNvEMoHbgK;13parEd7TBzb8jPNpGdnfj8i18mx8H3jcK;1CojA5Bc7VV4SDaLLkNBwC1LVyq87hN61c;1GGKXLVgSEZh2nxzQ9FEfVoNPx4DQyJHTG;1DSp9RraGQmjB25nywbRyrZkjHWs5emggB;1KVviQoDmmFz2AyyFELkjZKzVvqGnEXAhj;1Merv5Kb8GfXn1jW1c5LVULakTMdLedtR2;1van5GhXfGsJkSeamgNxngjjCGnKT69Qm;1CoinVZWGRpYBNoSkxEyUAqbfdNcsCq3iK;1AWgEMdEyZ1Yw1nmP9rs8EUq5CpXd3mckV;1JDFz4jrsnp7rvmZAU17F4owEjUdAZbDWP;1AgCeTLzoh1JLg8QsAiBsBxPBV8AxctdDo;17PQa1LPvdqsvRZNDSv1snFKdSTfSi8Gr9;19Zj3P1KostHSFMGrhBa1ciFsdh5Pfy74s;1977PGSdCFCqx7LFQpHNRpQv1RZzae1v6R;1JdrvUEgB1MHBEkdjq2BYEZ5oJd9dFKNto;1JJD6yWveCqbyQFFBST19DhvhJQbioeuzo;1ChANGeATMH8dFnj39wGTjfjudUtLspzXr;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,0200000085ececf3ca255ba32020386e3241ac4ab2337e186dfaa40401000000000000007aa35ce7238a453bb8f290b1bbfdfadf80a5ba8677c69a1593ad0f8730408704d8e4155326200119859fcbd1,77229,dfc20e610cbce8a3c27d0134e1619a75b4db3f900366b1a3f5ce24faa2ce2099,01010600ed452c384a91bbfc6918c58e32b5191912598a02365babebcd56b73103871ac0cff74298ddca4d0535bda88c4ce26a51c30b293049636ac68d81464b57dcba38e1e41553a4161e1900000000,1393943777,191e16a4,stale,VALID,19012026
288887,00000000000000001e619b8262012bc801cec590937e9ae95237940df4520c05,0000000000000000a526792128ebdf08a2e23aeab27a6ea0b32aabb4c7c88947,1393946000,19012026,037768040d00456c6967697573005315ed90fabe6d6d2c7e686fc60d44782e0fc3d0860253f78c6d422c91bd3726bac2b591fb9e5d480400000000000000002f737332372f00108efa02000000000f2d0800,1RCodeej35kS9rGMG7HsbZmB4U8n6mg7D;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,020000004789c8c7b4ab2ab3a06e7ab2ea3ae2a208dfeb28217926a50000000000000000a4859077f502f647627716e96b4a098301afdbccf14133648a86505a4c41ad0690ed15532620011969c492fe,77259,28a6331e2f2e539d2edeaaf8a0e8806a3abb519c98beef961d3779f72b7fbf3e,010106009f7c4c9c3527af451a7bf39ce837df3486683a2d7c2b4c69cad706f260d8d46e00ac7e76af43e7c263120b93ea5f930cdd2999f0e0828b8ff9d367e2ea1fdc54d0ed1553e8131e1900000000,1393946064,191e13e8,stale,VALID,19012026
289235,000000000000000027fe47a3f48bfb6210905e5fc0ccc328592c5905e3f1669f,00000000000000004e3b78bb5bb9bf1eb78f2c538611796e462f12bbfb2315b6,1394132008,19012026,03d369040d00456c6967697573005318c428fabe6d6d7f51899bfc2d97e0882d5fc7910d31e6be198fad19b5c9d5b599a36a6bce904d0400000000000000002f737333322f0090e15a0600000000ba6b0000,1P6JJuzzHxB5dbRRXtw9tN1onDp1PrPoP;1CfvWf96QrHVrgKt8fsghAVzoTzVPQyLBB;1zx9FqGwurBjaQ8JgWwvZkdpvnwKtvnV8;1CK9mxxwncuok4PXPcdnjKBHhhuNMxJPYZ;165P5chG2moDYAVLjeiL8tt5HayBRC6Mzn;1JQNpuj83p534dzMqgofsfHMNpXNiJ9w5R;19D2USVujavrTAeaR5XjtRRr2B19w4Hqe8;19frrXgAtv5aK37135a2Gn4o5bfFzwkwFc;1Nbq2XZaRsKknf5fcT2wTXvBS31PaUWSeX;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,02000000b61523fbbb122f466e791186532c8fb71ebfb95bbb783b4e000000000000000040c243e04ef7bd41885f8e89a7dfd0f20145e99d6933f8fcbaceca48a70a091928c41853262001192c05917d,80346,b09b015ffb165cef7588bc47aaddac96c7df95150f30f5acaf67a69f7eff03d5,0101060088de04fc0aab16be983b0613d0277f3d61441ea47537bcf4ba634ec4fa2aa0e9f65e268ef9fb143fb4429f88a1f69e8574f423edde7e67bc0150c7622ffe104524c418539e4b1f1900000000,1394132004,191f4b9e,stale,VALID,19012026
