btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,child_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
160948,00000000000008cfe36dd6a59385e5f85540025cf5b386cbc73b32f63daa1b77,00000000000002db0b0bfd938bdd1e968270eab5a72f9ed44058a2de09eb061a,1325885242,1a0e76ba,04ba760e1a0137522cfabe6d6deb3bf89ca2eaeb72fb03ef217e0e22afba56fa80069b24b4d7b17eced1f0f9e10100000000000000,4104655fe6ea45eb3daee86aac927f5b7980b326f62ca4df098ec615ed22496b721162093818ce231bb5b935b54b5dbe7c47323e63169e37ccd5cdfdee2f27fb9ae0ac,010000001a06eb09dea25840d49e2fa7b5ea7082961edd8b93fd0b0bdb0200000000000033bfda14acefac57eb26d094dd69e9e46e9f6436bec3602b9d2e28428a12845a3a67074fba760e1ace8da145,,e1f9f0d1ce7eb1d7b4249b0680fa56baaf220e7e21ef03fb72ebeaa29cf83beb,01010200947b17fcf0b81cd1b7bfc1647cd52facd86389dc4fd72b272bbe28a1c19b4a0137422a10beed734e4dd26f5fb8f18d18c3bc59449a3cc60edc520a210248d6ad5a66074fae140d1b00000000,1325885018,1b0d14ae,stale,VALID,1a0e76ba
161761,000000000000060f6e4816a68a5654dfa9e6ed37b214853dea9fbf0b55eaf649,00000000000009c4b8d4140b1c8cb0a2916d70653580c3c08bd8bf9abc0ba246,1326321846,1a0d69d7,07456c69676975730299442cfabe6d6d7c5367132a6070f6b43a06dc4d6e03a38c68eae3a085d15c806391a23ff5e87e0800000000000000,4104537ac9f10c6e783e630e00802657a38287ad044cb4b24ba26a97bbfddd465f355d242b586d59b919d015abd60e581f0689a357ffe47bd3d3730a910a1175f9dcac;1C1QTJmwuP82nZbzjCtAgYwPQmmjqBoRar;1JKddMWhVDQzX5Dg89WKuDg8grV1o1qW42;1AAoDdCJNmf2zARpDAADYBt7y4YaVsdsuE;1AjsBbH9BEJW89vkpYhJYCwq5YDWWSLVw6;1CkJUZJZRDeP2JawffVr11yuv6kTLvbVBb;14RcMAqagEjZVUKiK4UF7KyHSb4whE2eY4;1JKiWMfocn341K3Pz9Mb4suGMvq9Dx5TKe;1N5Wp87yDXwNcdAXTpkfgmCmNjbWAHcSpT;15Zncs3mMC6RApoSMQpjptAhzAtHC8pUxq;1MuyR4bbFqrPoQjrj5n3BK6uNWCWhVU8rN;18xVLmCawGdLLLERi9LEDjoRue9NyTQXrt;1Gp4j6Enq3XCHPAg22pXSxBG2DnnMWDH8B;1C7MJfm7gipTF87sjZYnEGgW5D9fiXv3d8;137JexCo13UW8LQLCNngFuzjSxCBiArfYs;1vXFL3Mq2gbRpknQAQUc5eKHxioF3gq64;14bubpSoVGyykEuQCmMmEgVev6b5aDVeE7;1KV9diiAQaSKuNzjgoCZyGHSZjY9faj7Lw;1NEyKg9dkEYXNQfuEYMCv549XjccjCDjPd;1PzV9kHvB2vU3np2Ei1YxvPAS8HZppJ5UX;13XBpAsn5XyyXs6sjCVst6R3yvM1z5svNA;17jzrD7Rv6UTWo73JMiGMFTFYss5wfnKLJ;14U9Htn4vUcGjTX1tL288AvY8KtTXzrjRR;13ACHdwzV4j8PioGkWBvhWwsZjofYB5AdJ;1FMkxsZQV1n16CbF6m7GktuFpUseoWZqyz;1DHtv3PHRDBnDYyNJ7zZXSds8q3Cmd4ERU;15Lmz2nRbMg3DivuRvRP3g6V4jzXV2sNJy;12yqLsUvrULLvejhJMWnTcEQ7xhHCoSEGC;15BbXba73q6GoVo4uFueSdY2o4AfJSujmg;1KBxbcT4QLeKecfuW5gXDwehVn7kWB5Q2K;1GfFfZfQaZtR3hgNJAWRinYVkKghfsjdSg;19mWx4HQkcNQJXvw2SiKyZFSijfP1ayEBx;1B4RUD9oqiss1DooccdxJqU6Zmdw7PWtWM;1Jpc3jpoNzTjYNo4pcEXahFpXWvPeRpAiR;15ArWpVkBKuVbxA9bswtz97upiQiCfvF39;1FEdYFZvuJM3UmuoHahUZSmzWPysSM7qje;14bgcdB1PAyk24oqQgMrQzyhvb5jC91yGi;1DyMS8sW3xf1gEtaddU9ifPhWstNDPS26g;1Lc45ipAVpUEH7aXYPJCETJ8toKGSd8XxW;19RtTqLgisZyqJWxNJqkUk6nXmYoG2MQXJ;16xhLUBuSWH6U8F395JF1Wrnz3hmd6kB3h;1ATtHdYywwXYsbb4kGc82cZtGhPcch8VGr;1Bqm8t6UvMKWH5q5WuF79gmS8FHWzH3mKp;19yv7vHYqMaaHSz8GFSHruEHV6kNqqBHPi;13Z7fh7jJAfkGdNmW291pVGocUgPVM5bW2;19YnerQtCKwMiLeX5k1z1NhcWo37N6YnQq;1CC6fY7WfAeg5rZyiRaTGce8LYaVaQaePU;1BLFgR7EPG77QkmSaiSm42GohahsWWzPuH;1Me1PjdzwWGHkfdEREBWgRH5iznW3b7XpW;1EXfBqvLTyFbL6Dr5CG1fjxNKEPSezg7yF;1Kd9ypLmdNDaEuH6n334gzurFVtrBKecFo;1FUAybsq5mUnd71BBP3Re5oXPVNueu49vu;1Ee5XNNxiBZv21CzNhVthYkHSmqQwFz7VG,0100000046a20bbc9abfd88bc0c3803565706d91a2b08c1c0b14d4b8c409000000000000a96e4c80539e297bbf7bc3472daa135f73f69ebc94e9360e10bf97f2ec603c73b6100e4fd7690d1a7c4358b5,,6bcc06b56a6ac0aa12ecf99521ae335f8a1f2578fb805fc9e9d2b1819bf10574,01010200fdc91222455fb064688e3e0fd44043f05c1e2f3e53ca07d53fe26ef685722aeab94090866327c1b64317b4955e16795afc5afb90118021c0f6673c5eb87035da89100e4f79010c1b00000000,1326321801,1b0c0179,stale,VALID,1a0d69d7
163226,000000000000004bea0f213d7a35de50c18a865088c48d1b48fb61c5c02ec4fa,00000000000006ce4d139f5019593729287c90f7f609df80dcd1c4c13d659c2b,1327161211,1a0d69d7,07456c6967697573025f272cfabe6d6d2bda981425630396c2844863efca47fc5643db1e94e760813356ec18bd8b827308000000000000000f4e4f5032534800703273682f434856,4104b564da62393ecc445dadce9fe49686e7180db43ef0172a15e6ecc1cf8936cc9f17982db674f7c8497d1dcfe34647783a647360407d091e8c9d61325c053ed0abac;1FsF4ShXCn4K3jGGVz4iV5k6kMUMHSb8Ep;1JKddMWhVDQzX5Dg89WKuDg8grV1o1qW42;1CFBJt7rkvfw1REG9S5wcJguuKfwZsQzdp;17jzrD7Rv6UTWo73JMiGMFTFYss5wfnKLJ;1PaQTXtSRcnpa8pLDBDY9wFb2n1gbVek4y;1L647iNoWnzFmEsyV12YQTxNwtm5Xmu1PY;1AjsBbH9BEJW89vkpYhJYCwq5YDWWSLVw6;1KroVXPgYBrSg9PdMgFsxCDddd2vecmExF;1PfQbTdyDpd1HELMZ6BU7z8etZM9XjAUqn;1CadmpHV4PrkUBCzbYNM5BqyN4pEbqNrud;1GVDfWjd93bhJhSoxCSwn5ui7B7EUAvJCP;1PoGeP9ZgfxdSShH8mbkJ2EXm4qHqiFtF2;1AroV9DWxKtppu6veDyEkRMM578GaRSzGa;1KXRHyM3JRBsYjUrXyTyhQkJXyQFwhmua4;14D3pLQPRNs3XEe2JceDzBDyfXCdK26YuB;1i8HPL4wv6hA5HTb2PQ9tmXgQ4t4Rf5ha;1FKXnAnHq8E2UMBipAmF3q1naSvYyvcceM;144JRBz6tLS6HSwEF2n2BTnM1aKCipZDWs;1Agy8kz6FrgrZvbwvRfQWqAhtbnxV7rccv;1BjYvYo5WLUon832zwY8uDnRbLWrMvkdAk;1LSjCppyfxUES2rGsde37nEyE6jhoRRhia;13VHLqaDUAV5ihKk3gCDRQycWBtRWepGi2;18oh1W4a3WpybAW8CCnBqSVgKBdjgQULr2;15Lmz2nRbMg3DivuRvRP3g6V4jzXV2sNJy;1BmMRaQA9KD4q6S6QDRfhaNGnrFjTPVeXE;16sHTgfG1Cdebut48F8WMLtw37XpNvZmJP;1LR8TC9zSgKTAyAeyayJgNZWFwWKexoFrB;1GfFfZfQaZtR3hgNJAWRinYVkKghfsjdSg;1Q65yFmjVoLbkXAaKmZvuB4L48DJAFQxww;1PckSW8JtBiTv3eEeRbSUxw5uwhvkzGKRu;1N4c8rFC5okV9GVG7by9AgXwyiHBMcfbGS;1KKLND84byHGDC1k8fWJmvR1oSZvKzEBy4;1P34ErrcJnJJGLGiFR7Qgb8EEgbj41pM91;1Jpc3jpoNzTjYNo4pcEXahFpXWvPeRpAiR;17taH7awvEGTWsyFRyqurYZJm6FqfT2K3D;12CtoN1jVdVuk2YyuMyPUPwT9oGs2w7Qji;14bgcdB1PAyk24oqQgMrQzyhvb5jC91yGi;1DyMS8sW3xf1gEtaddU9ifPhWstNDPS26g;1Lc45ipAVpUEH7aXYPJCETJ8toKGSd8XxW;1HHfy4qimMdwe4sTXKYzki7VknM5s8pQdb;17FtKCuCzhcTLpRbNiE9AwwU5itpUy4Sw;1Bqm8t6UvMKWH5q5WuF79gmS8FHWzH3mKp;1FdhCYSi3GvyuDVao8Q7JqqbtqNQWZ6phE;18Hqop9AsuCcAy8sLFcmSsThB3ZxmhbF7P;1CC6fY7WfAeg5rZyiRaTGce8LYaVaQaePU;19H6JsfhJNS465FSo3ws7cyaVPApnk92rK;1N3sBsr2k5Pobm6FKTJz7HRxW1b8qB3c2V;1DDKms8pobe9Kxho1QKeHhFmt9cGHZUTPJ;1Kd9ypLmdNDaEuH6n334gzurFVtrBKecFo,010000002b9c653dc1c4d1dc80df09f6f7907c2829375919509f134dce06000000000000f4d9e6ad46d7ef391b0a4b90f4cc491040060d29043a9c8d5c8a198add5cbed17bdf1a4fd7690d1a3f5aedce,,3a13aa317ae5d19e22b7c31dbf250e04e7ac8040313e46cee0964b7a2f6a8113,010102002bcb34155a7696c0cb09351326ef9353f537e9dc6a869afc61a7c726e9fbdc4955f9ff6e0242c987b10f01c95829350b48e0845cb865af426ade7f6e233c5fbd43df1a4fc9ca241b00000000,1327161155,1b24cac9,stale,VALID,1a0d69d7
164032,000000000000031b86a32d857b1cfa41cfe6e18ede8fc667739a48a33edd9bba,00000000000003681f58b2c595c682e891470897eb0f394f133569792454d66f,1327638446,1a0cd43f,00456c6967697573004f2227ad0a85fabe6d6da02b7212b0ad2c51979653489c335cbed4e8b99da06860f54b4a037085f919540800000000000000004e4f5032534800703273682f43485600,1812czFa9VLxgAmsunypwwtzubzmcJwiLf;1PoGeP9ZgfxdSShH8mbkJ2EXm4qHqiFtF2;138TKT6PXNbYxntww5Vq5EPL3kQma1hGN6;18vWkhMK1yG8HgrEpSrgQPaLEj4cG26ZNG;19roLnBeNX5hb333Tyu5zGsGNZHJuDyNgA;1Cxu25HUERB5T9WoRmBqzzyuiq6RsDctAk;1CsQoPs4yGQsAPMi6NyUdpRM1By14RBppf;1N7BoSWRYgFefFvXBgHTkB743r39uBjqqi;1HxsjUP4DWNx8yqAvVjJ4xkesHgQ7B2J8D;1PN344c2nec1b29kFbTMcyTdMr4TN4igBp;1KpbBQSvyVdPXvxfRMUW3WvkYM1fXN62gz;1N4c8rFC5okV9GVG7by9AgXwyiHBMcfbGS;1PCxJGGS3GZZETLm2UVmPuBm7ZbRKA1GYZ;12cSzikMjytjG7BNU9Zn7wQ4cue2jYEFEw;15DetbcFghEgXaKGAtTkbF6Xu4QGzHKpY2;13nR5PpuAwjMKVGnFr1Rs42bttETCWoeCd;1QKkmGvYfgPJJttXVHLJa2txzXd1moWepD;17CLvxHF6Npex1ow9KyF4y9obNCJZk7Qqe;1Jrdu9ps4kcKjAtQ5FQe5Fd5mHQPEY416q;17tVcHo6eirJUQYeuBmFM5RvARyC8z5gbB;19kWQzUavrn7f3tdYapVsaVsYKQJL18Aei;1KUC6DMmMVLN9g1LfaKAm6Smo5rXGfEhs;1NMrhhYSGtivYhsgKoPfmSUsnp3PA4CD9n;1GSLacgmSXt8avVZC2ZRK1J8qsRuZykjdQ;1DR8DF5CadfjLs9fy6kxUEs4Wkgyt8Zk9F;1HrANT1gY4D8KhaNr9dc4S9thxYJELaPCy;1LA9EvHCnJgYGcUucix8xqbDin7RDLhCjC;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,010000006fd65424796935134f390feb97084791e882c695c5b2581f6803000000000000c01b0ed154840fdfd6b38e571cf764be6b5dcfcdbde2bb3e368530f894d1f2cfae27224f3fd40c1a047e60d6,,46282303dc33504b0b02eaaf4387c8b3ee3106e23d48515e8d28443668d2b0b3,0101020078dfeacba709b705b79636551df46d65f63acfceb55513f3b1a0ee31cf9e55d791f59ee18199f01e88524b24ad0188229b6e39b9d34c2b65ba24524cb8b31f199f27224f17dc1a1b00000000,1327638431,1b1adc17,stale,VALID,1a0cd43f
164147,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,00000000000009a627f5968068b2da7cedbbb1d166cf172cbbb1898a3b78de59,1327709383,1a0cd43f,00456c6967697573004f233cba0336fabe6d6de9d02f4a94065e929db2b8f379c2ef7bf7dd3b9dd9c10c8b49ae0621224526680800000000000000004e4f5032534800703273682f43485600,14ffvzCd6jQqCEMSS2xEaDgCFAX7JvS3WJ;1FsF4ShXCn4K3jGGVz4iV5k6kMUMHSb8Ep;1B2PwAmwqjhfwohGKz67Y6axwnSDCv2stZ;129vtnNNjYjgEhQuxU2JUy8ptE44cPLcwp;1L647iNoWnzFmEsyV12YQTxNwtm5Xmu1PY;1KpiUqC9tT6NUmqzz9jT7cWgrweotNcKe2;1CkJUZJZRDeP2JawffVr11yuv6kTLvbVBb;1N5Wp87yDXwNcdAXTpkfgmCmNjbWAHcSpT;15Zncs3mMC6RApoSMQpjptAhzAtHC8pUxq;14eGCyBqfWoKPCM6te1LTmMdrV1WSyzjfk;1Mvc8sYBCHDJUTdQQAsRnvYiPXg6VNsXNj;16Ht88dWqJ9KZawSborViTLE8nppJnt1at;12yqLsUvrULLvejhJMWnTcEQ7xhHCoSEGC;1CUktjkMzSd7CBS4zy76s4xCUdwqUnkwNz;1Cxu25HUERB5T9WoRmBqzzyuiq6RsDctAk;1KXfQ9vtjNf2qcnFZLADxxsfnw7TgoBfnF;1LSmNKQREEjTR63pCAkdSusGhdfq6hFWKX;18cjKxTYz3QUrELXnHePaSFniU45Vdbbrg;13VHLqaDUAV5ihKk3gCDRQycWBtRWepGi2;1PN344c2nec1b29kFbTMcyTdMr4TN4igBp;15Lmz2nRbMg3DivuRvRP3g6V4jzXV2sNJy;1AMMnSXN2PzpTrPyt7aJXLRiC2dbgTdVYM;1KDQARgCSbhRjVyai6oAjMjWRq6jrmnr22;1HNxULC5E3pPECuiBQVJnWe349rXUCuz69;1FChKAU1GeEghEn3mJ94ibaWp3goVq5eR7;1LR8TC9zSgKTAyAeyayJgNZWFwWKexoFrB;1AeRErDn38iw4tYz4Y5Z9atJa8NdsEpMaq;1KBxbcT4QLeKecfuW5gXDwehVn7kWB5Q2K;1Q65yFmjVoLbkXAaKmZvuB4L48DJAFQxww;1CSQVTLDjjT3RC8BuMgrwqKgWojfmybSGj;1G4Z6YErLXJU6fuYJCWksbpkiX7vSrpKJ3;19kWQzUavrn7f3tdYapVsaVsYKQJL18Aei;1E5WYUruTza4dGUPWqwNejuwkaeXi6XgEE;1Kim32XYXHKcgsqgCCNdZcoMCMEW23L1vv;1AjsBbH9BEJW89vkpYhJYCwq5YDWWSLVw6;1DyMS8sW3xf1gEtaddU9ifPhWstNDPS26g;1Lc45ipAVpUEH7aXYPJCETJ8toKGSd8XxW;1KqrMi6ZQeYN8bRxMMNSxCvMWqna2vY1mu;1HSQQ9E3Kp25AdCnJH4jtLAQyzpoZtMtGJ;17FtKCuCzhcTLpRbNiE9AwwU5itpUy4Sw;1Bqm8t6UvMKWH5q5WuF79gmS8FHWzH3mKp;1FdhCYSi3GvyuDVao8Q7JqqbtqNQWZ6phE;1E1TResdir3ZGxi2uC8qHga9uEpYJ7s15m;18UrcJVZCQQ4CLb48DqNrUba7uHMb8vFkL;19YnerQtCKwMiLeX5k1z1NhcWo37N6YnQq;1JJUZ45gsQnCRLmYeCRGK1wB6FAsL4rDJJ;155P5wgg3MPCzPJTzsFwF7fxaJ3bbGP1eL;1QKkmGvYfgPJJttXVHLJa2txzXd1moWepD;1Kd9ypLmdNDaEuH6n334gzurFVtrBKecFo;1PvzLC3FKEjBiWejWe4BXbnXTJe4pKCpU5;13upHkw3BUabYLTCuNpnUg3BQpHF7t8RdX;1FUAybsq5mUnd71BBP3Re5oXPVNueu49vu;1KUC6DMmMVLN9g1LfaKAm6Smo5rXGfEhs;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,0100000059de783b8a89b1bb2c17cf66d1b1bbed7cdab2688096f527a6090000000000000f862c3fe03463df441d41cca8f881d24a7289c9d017aad090b6a3e5c279849dc73c234f3fd40c1afc39b88d,,d374e804f069b7c81250810d8b6184ffa0a4b92a553548400a7d5983d76cd53f,01010200123336dda6bcf2ecb66c486204108f14d879b3811d75914e193c43b67afdc3b0caab818282f24a376f793331a083e9952d1848fbc0f2a1df0c69c9e9307314b5a33c234fe97a151b00000000,1327709347,1b157ae9,stale,VALID,1a0cd43f
165264,0000000000000b4fc28a511bc34d2cef9f5e72f02560435cae18e8df9e209a83,0000000000000522176e576c081ab2977f548e37bae352807305f59e027cf07a,1328329361,1a0cd43f,043fd40c1a017c522cfabe6d6d2c0fe57b9db196f5ca89702eeeda64e69fff6132741e650912868cc40b70b9770800000000000000,410466b3e93f4b0bc20424c872676a6adc0f1b8fe94e137c638e530f87e9d9230aec248b5275ab58934e3a984ee5caf8371c9c7f54fad8362eae8b3ab385085fb13dac,010000007af07c029ef505738052e3ba378e547f97b21a086c576e172205000000000000e7f639087dc7874339274cad8903e70ca5741981d4a4c3657363ac2df556e2fe91b22c4f3fd40c1a8187e875,,e87bfcccf3b2b1d348b01797bec502f92cdc66c535515b039de01a45016b5b59,010102008e7626a50a4adc729d16213c94b3850e7572abaa3b0c82615d3fad31fcf42746181244db17a470f13cb1933c24e9e5c1161adf73a5ca3bc948ab9cdcfc167c007eb12c4fa404221b00000000,1328329086,1b2204a4,stale,VALID,1a0cd43f
166343,000000000000048bbf1d28adbd2a0b7058444619371afee50e6e9c2a1f9f9200,00000000000004882d60fa31bb49c19dfa882ffbf3e7949a88643afb45c901ad,1328975781,1a0c290b,040b290c1a51522cfabe6d6d2366f0f25ee3f199609e7dc25d78f412650cbd453f941022ce7eac5ce3ee1c6a0800000000000000,4104bc1a0338ef928fb0426ffa071ac865027417d6de13f692a72c74b764df6eb3c036189a964906ee4c6477f642b97f7a1da348f494b6b65f62d0b1e4b782aed698ac,01000000ad01c945fb3a64889a94e7f3fb2f88fa9dc149bb31fa602d880400000000000021e3b1f41c2431a9a5648150d24556b54ba740027557a96e13067d4ed62d74f9a58f364f0b290c1a8fbc9ae2,,e3a1312ed51407234c8499201d01a4531bf499e45e724dcb6840ac810c462848,01010200ffd988d58daf102d648aadc3c3ecb7202734d0e4ab7386355007557ee469488e666d5cd86fde6afd55b6eec61df6b93d409ba3630191e52722ed219f31586f2c8f8e364fc00f4e1b00000000,1328975503,1b4e0fc0,stale,VALID,1a0c290b
167742,0000000000000685275697d11c869d2b71e4cf62cb651763530dc653f79092a1,0000000000000233bd4e90d72cea1efaf6318daf5e3728397d3ce8ada401052c,1329799601,1a0c309c,00456c6967697573004f4321b10e13fabe6d6dd3ab0363883de4100a5a34374b49476168049562779f68e3e51fd08fe75475100800000000000000004e4f5032534800703273682f43485600,14ffvzCd6jQqCEMSS2xEaDgCFAX7JvS3WJ;1FJgRvzhVK17cYytfwrhqALEH8Xxy1L7Z1;12Bs1nkvAvi2aDCqdjyeGKoJd3SpinXZMT;1AjsBbH9BEJW89vkpYhJYCwq5YDWWSLVw6;1N5Wp87yDXwNcdAXTpkfgmCmNjbWAHcSpT;13h5w1eoufX1DB2XTsuApDuPgyHkDduekv;1AeRErDn38iw4tYz4Y5Z9atJa8NdsEpMaq;13P6mjgHqh3QDuXgFbGPRtjrYJJCGfB4hx;1Jdvn4yv6nprm1KUxWREcTqF11jHNBmPLq;1KV9diiAQaSKuNzjgoCZyGHSZjY9faj7Lw;13XBpAsn5XyyXs6sjCVst6R3yvM1z5svNA;1DMg3dqF76DgSSmzqkG6aNVahib2t7hbft;1v5ebonM5ZAgw2GvvNC94r9Ut8UkHeCog;14L9NjAWo1vgQua8gNKNx6rFKZxrv7mqUc;12TJibnH3Fw9b5YU5vzSgGUMSKxXEq5Nj8;1H7cjbU2dT9itwsGfxC2NjN4HatjcBGZiA;1LR8TC9zSgKTAyAeyayJgNZWFwWKexoFrB;1FiS4ckMfSn9GCvoUwqN4iYK9v9h8Zsp98;14gjzgfgLLx4Pkm2nFxMkHaqCUQXafHufX;1N4c8rFC5okV9GVG7by9AgXwyiHBMcfbGS;1G4Z6YErLXJU6fuYJCWksbpkiX7vSrpKJ3;12cSzikMjytjG7BNU9Zn7wQ4cue2jYEFEw;13nR5PpuAwjMKVGnFr1Rs42bttETCWoeCd;1Dy4EbMoXxrEeYg3W3yp6yUGAusEqxMQyn;1CH6MnWRU2pN2BYMMydZYaySNcsegRuazF;1BsQDpBonj14pZ8iGxPA8aK5YJh4DWdt6c;17CLvxHF6Npex1ow9KyF4y9obNCJZk7Qqe;17FtKCuCzhcTLpRbNiE9AwwU5itpUy4Sw;15JVDn2Uz6gf2C1vbeYWwgVP476VdVmoRU;14d9rBnaRLvmPtkXxYGqc9yeGychyr1ufM;1GhqY1SVGHXy9UzwGpqHiMv8b4PtJtandm;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,010000002c0501a4ade83c7d3928375eaf8d31f6fa1eea2cd7904ebd3302000000000000532e858eccff4a431ea7b540dc123ba5f3b5559401ad6956ff795ca1b2ec567eb121434f9c300c1ab3fa4b19,,3f36c0677d0b9c84b759ba925fddcad3f4c21632ce2f21161661a2b3c7bea81e,01010200a24a9f8c261ed1280e23bb16b01093cfa525755d25ef69177f5427899b335a421605d24a34d185829678307f9d5d56ce1acaad4e17ac2a6ea1383f0389fb13e3b021434f7bf0211b00000000,1329799600,1b21f07b,stale,VALID,1a0c309c
171554,0000000000000a801c26db2f242341a67e1c93b43f6d87a0541e6a848cbafdac,000000000000002bfc4579b883102a1fcc786416e8681d1850d9a0aef53026e7,1331988692,1a0b3287,0487320b1a011a522cfabe6d6dadceab6e17767f8217262f9a8264f0e89a21eb39d56ed248b00affb5b4faf14d0800000000000000,4104e539b71143e680ac874d4709a67533506b149e6d60bb351e58265d5296629b5ef8c8370491abf3da68c5621e53692788c0e4882a5a0d2ed9225d09c72e3aa8f8ac,01000000e72630f5aea0d950181d68e8166478cc1f2a1083b87945fc2b000000000000002da1ea049847e7e945f4cf6a65ad5d14f181b805c9ea9b5c39277369e7e5fe35d488644f87320b1ac502c7d3,,17593b19797b22794e743a8ee91446b0e3f73a665b04e10d0a009995a5df7d1a,01010200bad07f9af7e8ce4cd2d04498ebf34d2f0cf340e0870f991b435e7a95246adf5b1d58ec7c0d4eb725975218bd7be72c54e321ac28f18e936705637fcf0ad6b065cb88644f99a70c1b00000000,1331988683,1b0ca799,stale,VALID,1a0b3287
172001,00000000000005967d3415adca0881346c67d26209e687305cf1538aba21c231,0000000000000837e82c3a4ebe35a1d1d943e056234dba7c629922c6d4052d4c,1332234054,1a0b3287,0f00456c6967697573004f6847460fe9fabe6d6d4e31981a087a3f918bdbd0fd2bdaf9a6ad93e9dabeee1a12a5a7c48cea7140e40800000000000000002f503253482f00,1DVBWTWF4CDH78mBrqPviyE5hbyD2hyvwg;1JKddMWhVDQzX5Dg89WKuDg8grV1o1qW42;1Luckyy2PLMDhLvSs2K7i5spMA3ACE4YEt;12rqPRRjfDqxwSu4a41gDpaW6AtzLikVtG;16Vn4iNTEiMZQG3y2TdBLcpUAGpQtmhU6f;1KXRHyM3JRBsYjUrXyTyhQkJXyQFwhmua4;1LeaepjzFzf7SMbiqczVq8sktDpnEAijjw;19roLnBeNX5hb333Tyu5zGsGNZHJuDyNgA;1Jdvn4yv6nprm1KUxWREcTqF11jHNBmPLq;1HrANT1gY4D8KhaNr9dc4S9thxYJELaPCy;1Cxu25HUERB5T9WoRmBqzzyuiq6RsDctAk;1BjYvYo5WLUon832zwY8uDnRbLWrMvkdAk;1EjPpHvbVNc2bTjyT9KrUQJdNN3ik2SPYz;1572j83u7J35gjiBii8SLPwG5RMU6pWyQp;1HWa3wHyHHb1s1KnbGGYWLhHJGc8eSw6M7;1Cmwc2CzbcvLxVVBjoE8iRGa7amUBUktA1;14seLUF7J2M62K18GtHbNeWRYifTfrk37X;1M95QgsXrE2VqFeyZEXHthtbaKQcrfXUiA;135E5FHzWehEzP63xbG7aQXbdcEGLLJzCm;1Jpc3jpoNzTjYNo4pcEXahFpXWvPeRpAiR;1CxcPP8FVktppy4PHTYJKnZFqQeyZ3jArb;14bgcdB1PAyk24oqQgMrQzyhvb5jC91yGi;1NKTS2WVvZcHdX3323TFvx9YJUA2rKDrrK;1Lc45ipAVpUEH7aXYPJCETJ8toKGSd8XxW;18c6X4puTqWTF6PfXgi32FnLps9otwnrPj;1vyxXG9S58bsfTe7uPq9XSxjUYws1EX86;15EGQermwrDiC1qHGJErevXAnpq5ktMFBC;1DLQVvgC7atk7BzHbawGkvQoKeFo9uTN7C;1EXfBqvLTyFbL6Dr5CG1fjxNKEPSezg7yF;1D4pWLkZzi3pBTHGNdkDX8KtwMtXK8YvK4;19RtTqLgisZyqJWxNJqkUk6nXmYoG2MQXJ;18d3HV2bm94UyY4a9DrPfoZ17sXuiDQq2B,010000004c2d05d4c62299627cba4d2356e043d9d1a135be4e3a2ce83708000000000000b32188e4a1b40beb59f24562096ea5eee2b57a1baaf2b646f1591c0f7594de0a4647684f87320b1a2353da87,,5803ae117ac4ada481687ef9ea15b7db57f4c91b9de5280ac82b7140969822f6,01010200f0d9153ad46f74452ea6a8ff0724881b82eebadd93281fc61383311c17ec46294e7a85882cb30eddb67b1847ffbb810d7ca46fb6ce4a805351100d44f5568aba4247684f055f0d1b00000000,1332234050,1b0d5f05,stale,VALID,1a0b3287
