btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,xmy_height,classification,validation_status,expected_nbits
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,0000000000000000010a744d59689d9e49628b86ca4d4fc99d34c8e892bb8a49,1495232042,1801f6a7,03f220072cfabe6d6d7da3d9a5bd733a3016c3d1355c94f185bfdc03965f1daece80b862e39da4db268000000000000000,76a91416ae11e7b47ba05a3e495ce47f16b9ab95c3551488ac;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2848ad727b149194d82f528233e3eb1dc49481ea27d89f80e88d681c2ed4ded44d06000000e70c1185,02000020498abb92e8c8349dc94f4dca868b62499e9d68594d740a010000000000000000b921a36ee3304d5623a333f7ba992aa76e817ea7fbf0c1d6721f429bab653fc12a6e1f59a7f601180634ef6c,2060939,stale,VALID,1801f6a7
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,00000000000000000133740b831ddbd4f604a85981d664f58e5df89cc5b77c5f,1498489560,18018b7e,038f37072cfabe6d6d9d0ee0285647bd696f02837bcad0144374a50fa5fe370a6ecd5573b50b1f857e8000000000000000,76a91416ae11e7b47ba05a3e495ce47f16b9ab95c3551488ac;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2878a537202e3e1feb7bb1a183c353a712b495deb95ba4f3434e0495c2dfb17c610200000072360702,020000205f7cb7c59cf85d8ef564d68159a804f6d4db1d830b7433010000000000000000ed501cc6f948e3d8fa9e46d297f0091e7f4a65eadd76ce8b73173e8c8a54c239d82251597e8b01180516cd41,2097645,stale,VALID,18018b7e
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,000000000000000000169d07d42816770802c5bc151237e63b893f05bfdba947,1504423106,18013ce9,03bd5f0741d66aeb31dff57541d66aeb30fceb7a2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dac33994f36359b196e8a41492775957adf2a12ad058c6d5db5776c63b5849a048000000000000000972153094ad1010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed028534375afe17d878e8af13fce72e6b9ff775a7b4dc2a7aa16d25fb3485d2ec,0000002047a9dbbf053f893be6371215bcc50208771628d4079d16000000000000000000f8296efc0a06b198e8937caf7bf3d8eb3473142f9be78eb289036d80793653efc2acab59e93c01181ee64fb5,2167902,stale,VALID,18013ce9
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,000000000000000000cd5609e77ee84cee00964f9f33708c5253b462ee2fdf79,1504732346,1801310b,0339620741d66c192efdc0d841d66c192eeeb9302f4254432e544f502f4e59412f4542312f4144362ffabe6d6daad93d26771dce91d55df5f441468287f6036d452ab7f8f86a33b3794486362c80000000000000000515dca71e55010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed9d33530097548974c7087fe630bbfefa4127d06138160381e30decf13053f2cc,0000002079df2fee62b453528c70339f4f9600ee4ce87ee70956cd000000000000000000e5e5ba5302aa551d67e944b65bfa727e9a2fe63c6b781f2b73598e3b85a82044ba64b0590b3101181a231661,2171666,stale,VALID,1801310b
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,0000000000000000007a363d793466c78672c56df72a54632ab303588a765d08,1504896495,1801310b,037a630741d66cb97d455bb541d66cb97c16bab22f4254432e544f502f4e59412f4542312f4144362ffabe6d6d6be52aa142f57c7b44bea17040dd626bcf1e5aebaf917abb157d8ef47041bb0a800000000000000004355f1191ae010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edb67f80562c01ea584ea16a089e4573321d746ff572496f69691b57866a431800,00000020085d768a5803b32a63542af76dc57286c76634793d367a000000000000000000a3b5e49cc258be72bdadfe1b5be97385207b891139cb1a7a77135e57784927ecefe5b2590b310118c225baca,2173887,stale,VALID,1801310b
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,0000000000000000009986c055b2ba9c942ad099ae1731fdd50ab965e39c942a,1505303987,1801310b,0398660741d66e476334543341d66e47620387ea2f4254432e544f502f4e59412f4542312f4144362ffabe6d6d42b746e86574b761878cd1fa66bc88a136567a7827ce5e938178c02c10515a1c80000000000000009753e72ea5da4be800000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed0ff343c21e3c5fc1d8e269735bb49a94221cce16c77fcbba2dfc5795fac59212,000000202a949ce365b90ad5fd3117ae99d02a949cbab255c08699000000000000000000217891cff110be23126da38bf7a4e169da1b6a3c610fe247df0a6114e320a3f3b31db9590b31011814cad3ac,2178647,stale,VALID,1801310b
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,000000000000000000666ba7a3feb41fd453909399411362b36cc3118c4d546c,1506047005,1800ff18,030b6c0741d6711d07c9e8eb41d6711d078c08212f4254432e544f502f4e59412f4542312f4144362ffabe6d6d0536d4cfc26e1934385ff98582beb4aa09f493bc49e445e6cf6e20afe85a31a98000000000000000994f47f30000a755b1620000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edf47689c5c57c95f8fb51ce9ab2603a1d9b1bc903f04c6d593f1f35b1e23d7f83,000000206c544d8c11c36cb362134199939053d41fb4fea3a76b660000000000000000009bcf3f245a91cf23e185b43951eb52d08dfe71e3d1e98bee65b9ff7ff1601c291d74c45918ff0018e1089726,2187786,stale,VALID,1800ff18
495139,000000000000000000c4aacfe36721d1f10358cfb42e69e732ffa2543ba1662f,0000000000000000006933728fdbedabb64cee0c9335f4a0e28fbd5b97fe0577,1511126778,1800ce4b,03238e0741d6847dbcd148d441d6847dbca262b92f4254432e544f502ffabe6d6deeea24753878b278979c7d993ba8d8d91b92aa2ec36eb2f5b38698079dba7ea18000000000000000f400fc780f1449a200000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed8bc975e4c9b5c7b5330f312a07f839ca1d9b0a8e5cf0a8617cfd50d7a3c8dca0,000000207705fe975bbd8fe2a0f435930cee4cb6abeddb8f7233690000000000000000003c31161d22b436a9873e59a11dab45a1e4de237d962f8f027279ec81470bd315faf6115a4bce00187b0f7886,2250589,stale,VALID,1800ce4b
495171,000000000000000000808eb41dd47d57aef25374b3c248b2b91ca9b5d97ff51f,00000000000000000083612f773b381a8b0ecbeef5d9c55e97737b2b4069291a,1511148095,1800ce4b,03438e0741d684929042613841d684929015aed62f4254432e544f502ffabe6d6db85755b9dbbbaff150b39de1ff3ba49dc4054f6437d588f214ba6824ee79959e8000000000000000fc0025755c50000000000000,76a9142b9db958ed02331e9fe78eff8c33cc9b276e40f188ac;6a24aa21a9edd1abbd626ada754eaccb244ba0f42400ab68e2f1669660278814a6ea24f4c3b4,000000201a2969402b7b73975ec5d9f5eecb0e8b1a383b772f6183000000000000000000635a6de69ca79abc8836afaff838005504d27fd63b67a4ae4dda75b2952237e63f4a125a4bce0018932d4b99,2250877,stale,VALID,1800ce4b
504461,0000000000000000001705879f3be92385abd12b026e3b12cafb326a90fb261c,00000000000000000052c97dae69546a9485539511a0a795db413a3e3341b656,1516099137,177e578c,038db20741d69775917eaf0a41d69775905a53322f4254432e544f502ffabe6d6d3b979586b48ba53c589a09dfd1e0ee0f180ca75e98d53f574d3ebc7a2836daae8000000000000000cf007f6fde1e010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed1d0313779263ec877a42cfff3ffe86ec39ca2001b7b44014b9a2c52af18ea25c,0000002056b641333e3a41db95a7a011955385946a5469ae7dc952000000000000000000eff4d88eb1ebea2a0b2f68c404e4022420ef759ecb99736225645b7257091ec241d65d5a8c577e17d2c1cc2e,2308940,stale,VALID,177e578c
