btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,rsk_height,classification,validation_status,expected_nbits,rsk_timestamp,rsk_miner,pool_label,merge_mining_hash,coinbase_op_return,coinbase_ascii_strings,is_uncle,uncle_index,uncle_parent_height
514235,00000000000000000025c54fa42d8d92ba7267a90a858451716f89ecae79244c,0000000000000000000faa5f786357a24ab1fdaf2538f12b0ebc4cd11565306f,1521456595,17514a49,,,000000206f306515d14cbc0e2bf13825affdb14aa25763785faa0f000000000000000000781ed21b07c5fc05a9c46c0153372364af031f13882d9cd4f5aaf13e304951b0d395af5a494a511756bb7252,263443,stale,VALID,17514a49,1521456575,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,Braiins Pool,f0d9129c65b3b91a89355b9ccf975e55c29229d78d4a66201b83d409ae001f73,52534b424c4f434b3af0d9129c65b3b91a89355b9ccf975e55c29229d78d4a66201b83d409ae001f73;aa21a9ed1924d5da62b0ea6832c700fe5b3d0db0139e75ab553d98151a985de45a695726,"\i]w|;,jL)RSKBLOCK:;ZiW&",0,,
523738,00000000000000000038dc4e4202ca390cc9b0164f38e757dab05b019e062750,00000000000000000028ba2318243af3f32d54f50b25d42befe127aa6c3d6427,1526933953,1743eca9,,,0000002027643d6caa27e1ef2bd4250bf5542df3f33a241823ba280000000000000000004d209213717184dac8c62aa615b84fb38724af04017e5fa63c6635bdbd681e34c129035ba9ec4317a5ec0626,417922,stale,VALID,1743eca9,1526933951,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,Braiins Pool,69c2174bf523264237bfbb502a9b089655cabdf70f2b8f6e45067d89ee7e271e,52534b424c4f434b3a69c2174bf523264237bfbb502a9b089655cabdf70f2b8f6e45067d89ee7e271e;aa21a9ed6e41969a83823de8ef18c63b6a6e47b643c24c5204c21fa49d9c2713ee63aca0,",jL)RSKBLOCK:i;#&B7;;jnG",1,0,417924
530707,000000000000000000180f14805b550bcc1395a5458de8ac4f2405d989d55c1d,000000000000000000116bfb5a0a75771230626107b915b38fe716209c4d94e3,1530872300,17347a28,,,00000020e3944d9c2016e78fb315b9076162301277750a5afb6b11000000000000000000a1828b8e34e952947d3b2f3d18b4c7c13cba2a73695c859663685d34a1c42908ec413f5b287a341766d3f0aa,550920,stale,VALID,17347a28,1530872260,12d3178a62ef1f520944534ed04504609f7307a1,F2Pool,1aefed2f381807ae60855c0f750f7fa985b91af0d569343d5996548f34cfda58,52534b424c4f434b3a1aefed2f381807ae60855c0f750f7fa985b91af0d569343d5996548f34cfda58,"WdCu;,jL)RSKBLOCK:;i4=Y",1,0,550922
532060,00000000000000000004ea2972668618586f47b9b237c931a05ac5638ae64ba3,0000000000000000001332efcba77e8633d43b2b596b4fef0807a4f0c6267cf3,1531684000,17347a28,,,00000020f37c26c6f0a40708ef4f6b592b3bd433867ea7cbef32130000000000000000004843e50377cb47ca394a7ad08ed1a36b5d2da3770678fa651d869904aa4b6038a0a44b5b287a34177cf4833b,578005,stale,VALID,17347a28,1531683956,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,Braiins Pool,8cd024e8ec070305b0d46a41dd76b6b2d305083f36b0ca94137d72c0da052a31,52534b424c4f434b3a8cd024e8ec070305b0d46a41dd76b6b2d305083f36b0ca94137d72c0da052a31;aa21a9ed8028cd714b4508a99243c8f1f22217b202b532cc6f50b12bf8aee122f6a1f8e5,",jL)RSKBLOCK:",1,0,578006
532257,0000000000000000000d151d626c3c3ee7892a0223ecdb0ecb0b89608557020e,00000000000000000021fac4295c4415fbee1dcf36c812be5481cf55b6178cdc,1531814741,17365a17,,,00000020dc8c17b655cf8154be12c836cf1deefb15445c29c4fa21000000000000000000d3b682ae60ea7d74e524455434d48c65ca6445a916edb3ce9d0f93bdacfd715d55a34d5b175a36170608ae24,582221,stale,VALID,17365a17,1531814731,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,Braiins Pool,15ab6df1ac304e6645ae88371ccb5caa050e4c86c03856feeb05d1e8f5bcca3b,52534b424c4f434b3a15ab6df1ac304e6645ae88371ccb5caa050e4c86c03856feeb05d1e8f5bcca3b;aa21a9edc8d170b5e908e727c768c042824045ff97dba1b49d15d8697f72a411e3165eb4,",jL)RSKBLOCK:;0NfE",1,0,582223
533648,0000000000000000000cb756d90a21fa23ef67d27596d78d8abd5b0554dcbe36,0000000000000000000a205ff8afd212bc9a840c43aec5a58b613b3b6c53c5da,1532545515,17365a17,,,00000020dac5536c3b3b618ba5c5ae430c849abc12d2aff85f200a000000000000000000aa981c7ada5cb35f5a5e1ca02075b95db74134b0e797505316cb34642bb70790ebc9585b175a36174dca3e32,606536,stale,VALID,17365a17,1532545493,12d3178a62ef1f520944534ed04504609f7307a1,F2Pool,152ba8dcaf760ca5be7ba86c5fedee79a0d6fc1d0b0607af61b7ad870d6945f5,52534b424c4f434b3a152ba8dcaf760ca5be7ba86c5fedee79a0d6fc1d0b0607af61b7ad870d6945f5,",jL)RSKBLOCK:",1,1,606538
540801,0000000000000000001b934f570a5a225aa47f7f127ec13456e0871ec10b9a8f,00000000000000000007e8c8592700b2d473edcc707969b616b7ccfd85ba4bb3,1536585805,172819a1,,,00e00020b34bba85fdccb716b6697970cced73d4b2002759c8e807000000000000000000cb4bdbc5a23a69edcba9e42de4d3b64076d6abb5b3e67902cf573558fddd84ab4d70965ba119281749870fb8,735940,stale,VALID,172819a1,1536585780,32dfc7a84f24b10a5dded1d8b24f48b96ab77373,Braiins Pool,9dc9ad79044eef579b9ef9abfee6db206ba358328226ec39ff6688c667f559b2,52534b424c4f434b3a9dc9ad79044eef579b9ef9abfee6db206ba358328226ec39ff6688c667f559b2;aa21a9ed5ce1145068ffbee9677f77bdb0bca1d447a637fc0e5ae2b97c74fe1e62e5ef68,"R-Pm;,jL)RSKBLOCK:",1,0,735942
543892,000000000000000000082fd7cff6b97ba03405ec723b3649658d270a4ff12a9b,000000000000000000155d265a245ccda4d3f544d34cd0d1474976a2a6856c93,1538382476,17275a1f,,,00e0ff3f936c85a6a2764947d1d04cd344f5d3a4cd5c245a265d15000000000000000000ca05b37f0e74eee1b215bb4e79064a41398459be7b8ad98ad3c12bc5acadc0848cdab15b1f5a271735ce5458,791386,stale,VALID,17275a1f,1538382440,12d3178a62ef1f520944534ed04504609f7307a1,F2Pool,a3b4688eacc39d994aedf6dfdd0011a3e125b124292d7a8f0e066d7c5a23d89d,52534b424c4f434b3aa3b4688eacc39d994aedf6dfdd0011a3e125b124292d7a8f0e066d7c5a23d89d,"f{YN"";,jL)RSKBLOCK:;$)-z;m|Z#",1,0,791388
544765,000000000000000000020180eb022e923f5ed5750a3d235a7c855cc431711326,000000000000000000198f82cc3eea075d66c7d7f78e310b8eb3738beeac079c,1538914331,1725c191,,,000000209c07acee8b73b38e0b318ef7d7c7665d07ea3ecc828f190000000000000000001dc4f1d312027a48ae5a3455906348a82ce073f450256938984761a4b9c608d41bf8b95b91c1251721c3f36c,807286,stale,VALID,1725c191,1538914325,12d3178a62ef1f520944534ed04504609f7307a1,F2Pool,30c1c0b0045f20a14c8d830ca890e5e1ad418751ae4719aadd5a5c88f3a174da,52534b424c4f434b3a30c1c0b0045f20a14c8d830ca890e5e1ad418751ae4719aadd5a5c88f3a174da,"Rg^a;,jL)RSKBLOCK:0",1,1,807287
547031,00000000000000000025f54e8fd24d284ab17aac3e6848d13a8f3c0c8c0df3cb,0000000000000000000f836c7d799395d7d3b14ef5c12a8b1114b0c56edf8089,1540308331,17272fbd,,,000000208980df6ec5b014118b2ac1f54eb1d3d79593797d6c830f0000000000000000009c2a1d9652729f78b8781f6fa8c842f8df04df638c710b262d340762a2ff16716b3dcf5bbd2f271745d8379d,848118,stale,VALID,17272fbd,1540308325,12d3178a62ef1f520944534ed04504609f7307a1,F2Pool,1bc068aa9ef36d8653c1f18eac7734734c57f2b647a6f8f74d7981df5710c06a,52534b424c4f434b3a1bc068aa9ef36d8653c1f18eac7734734c57f2b647a6f8f74d7981df5710c06a,"q23|;C*RD/;,jL)RSKBLOCK:;w4sLW",0,,
