btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,trc_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,0000000000000000010a744d59689d9e49628b86ca4d4fc99d34c8e892bb8a49,1495232042,1801f6a7,03f220072cfabe6d6d7da3d9a5bd733a3016c3d1355c94f185bfdc03965f1daece80b862e39da4db268000000000000000,pkh(16ae11e7b47ba05a3e495ce47f16b9ab95c35514):1570929643;pkh(d03da6fca390166d020be0e7c28ac8cc70f58403):1;OP_RETURN:0,02000020498abb92e8c8349dc94f4dca868b62499e9d68594d740a010000000000000000b921a36ee3304d5623a333f7ba992aa76e817ea7fbf0c1d6721f429bab653fc12a6e1f59a7f601180634ef6c,995584,931cef1c5fc7324def593b1e081e68c66d4f6b92fa40e39ad9a1b3f278d5b6b8,0401320023f7e9fde0892f3aba19eda3fe313d28e1eb93e1b24568cfa64d61cf5ce31c0730ff1c5bf7beb7e32edf03956f4f531423334dbe17f3e52fef0297e5939b6631046e1f5959df0c1900000000,1495232004,190cdf59,stale,VALID,1801f6a7
470447,0000000000000000018b2dbe2f0a2531eabfe41721f452fffa2052775e6e30e3,00000000000000000039017fa066ad6d65c01dad71d9f0e8964fd1e6dcd342b9,1496974613,18019eaf,03af2d070415053a5908810003f4fc5f0d007969696d7000fabe6d6da73cbd4ba087e412a8113001a6df9af579fdcf09ccd99fc2ed43b890d07eee992000000000000000,pkh(a02baedfab83554fe897ed17dea69bbba62c206a):1625843075,02000020b942d3dce6d14f96e8f0d971ad1dc0656dad66a07f01390000000000000000004cc23ddd37293756fc3c3e12d5b2b12d5e5c3fb4af381c6dd8b9aa9e3f0897d615053a59af9e011840024d80,1009379,c8575ab058ffb7b290d4511b459b14615733b4b592bfadadd379759a1f1b5b77,04013200076cafbd8de9461c0cfc5f0012e7b2839c186a2cb792a8cd49dc8b8ed30d0660acb9e6e3d852e79e3f2ba968cda2fbe17f7a42b27d24ea4b148365e6c4d53d92ae043a59db03071900000000,1496974510,190703db,stale,VALID,18019eaf
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,00000000000000000133740b831ddbd4f604a85981d664f58e5df89cc5b77c5f,1498489560,18018b7e,038f37072cfabe6d6d9d0ee0285647bd696f02837bcad0144374a50fa5fe370a6ecd5573b50b1f857e8000000000000000,pkh(16ae11e7b47ba05a3e495ce47f16b9ab95c35514):1589631778;pkh(d03da6fca390166d020be0e7c28ac8cc70f58403):1;OP_RETURN:0,020000205f7cb7c59cf85d8ef564d68159a804f6d4db1d830b7433010000000000000000ed501cc6f948e3d8fa9e46d297f0091e7f4a65eadd76ce8b73173e8c8a54c239d82251597e8b01180516cd41,1021386,3021cbe5753edb040f84e6a2c8482102f1315631005345d72a879a10990d4c81,040132004506cf386e9e4c0f0fd2a6bd9e786bd5ea1d284a444153cc83a8bb5e9f81697b689ad4eb745e4b274210245e21abe6cef88eab91679172b4f5c03336aea9e752d4225159c3bd051900000000,1498489556,1905bdc3,stale,VALID,18018b7e
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,000000000000000000972190f34a25bad47d4c8b6eb232704634bb5719fbeece,1503105623,180130e0,039c570741d665e496a8673f41d665e4962c515e2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dbc442a66f26e9ff761bcd313154b38595918edac225aa7a49ec345f81989d2eb800000000000000009197b1e114d000000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1419981419;OP_RETURN:0,02000020ceeefb1957bb34467032b26e8b4c7dd4ba254af390219700000000000000000090ff091f7998e8c837c70e7a1df725be39df48787ba139f40ba648d5c6d6d23c57929759e03001181b162aaf,1058020,b70e7d65e730a7d36fb622f48bc6003094cebe90e35dc763602bc0a921fc72a4,04013200bf5d54f7850282268379f8488edf2db3ed28cdd0088263cfcfd201ff9fafa979f7b5d16325efe4dc92e6f284f7ca2aa521d27eefedd08d83ec83a4540873e3789e9197592a002d1800000000,1503105438,182d002a,stale,VALID,180130e0
482910,000000000000000000ccafc5477e199fb98ebf501a258cfc246a989160b52a5f,00000000000000000054451b1d0d386911d1a8167a5cb79d6b6f5bdb08da8ba6,1504234537,18013ce9,035e5e0741d66a330ae7be3541d66a330a4d297c2f4254432e544f502f4e59412f4542312f4144362ffabe6d6def54da3b157e98e6dcc226bc463f2c32f183559ed4e17415953963b4c5e50ec58000000000000000098a469642dc6db400000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1271158791;OP_RETURN:0,00000020a68bda08db5b6f6b9db75c7a16a8d11169380d1d1b45540000000000000000007976e2ed7c4d8c87b04f11014cc981c0b6a3d04ba457db011a120f90a8aa2cf429cca859e93c0118382282f2,1066985,ac72dabffa732df8e10307cf3aeba87a3d1512147f8d9ff381d456a57d044836,04013200882175f71edfce03943881187651f21c50a42d5a47d7f1267c6d3b53c9871f0542a8c3a24d6f870e9baf1ed453dc2cb44ddca264fe1e0c73bb81f05869d9456f21cba859739c201800000000,1504234273,18209c73,stale,VALID,18013ce9
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,000000000000000000169d07d42816770802c5bc151237e63b893f05bfdba947,1504423106,18013ce9,03bd5f0741d66aeb31dff57541d66aeb30fceb7a2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dac33994f36359b196e8a41492775957adf2a12ad058c6d5db5776c63b5849a048000000000000000972153094ad1010000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1343026797;OP_RETURN:0,0000002047a9dbbf053f893be6371215bcc50208771628d4079d16000000000000000000f8296efc0a06b198e8937caf7bf3d8eb3473142f9be78eb289036d80793653efc2acab59e93c01181ee64fb5,1068477,131b83ee297fec2b9df5b6f54485adeef978956772954b0a18805784d8caaff7,04013200f9993281ea097cc5a31f53d15316bb08032a7d2c124408423974a824866f1d2ac001168d73fa80eb96e0319f0121552545a5abd4a396f96311add210dd0b03a996acab5904272c1800000000,1504423062,182c2704,stale,VALID,18013ce9
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,000000000000000000cd5609e77ee84cee00964f9f33708c5253b462ee2fdf79,1504732346,1801310b,0339620741d66c192efdc0d841d66c192eeeb9302f4254432e544f502f4e59412f4542312f4144362ffabe6d6daad93d26771dce91d55df5f441468287f6036d452ab7f8f86a33b3794486362c80000000000000000515dca71e55010000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1411447715;OP_RETURN:0,0000002079df2fee62b453528c70339f4f9600ee4ce87ee70956cd000000000000000000e5e5ba5302aa551d67e944b65bfa727e9a2fe63c6b781f2b73598e3b85a82044ba64b0590b3101181a231661,1070934,e5cce94dd259364335261db13cf778f20e27830bcf48c62f115cb22f8fb5dfe4,040132001e9cf9d0f670002f93de5260fccb26674e0ec71e397768826318d15122174d75ed63652098d625adfcdb11bfed34edd61e16fb6a61be34df3e64054a7b5c2485bb64b05946562a1800000000,1504732347,182a5646,stale,VALID,1801310b
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,0000000000000000007a363d793466c78672c56df72a54632ab303588a765d08,1504896495,1801310b,037a630741d66cb97d455bb541d66cb97c16bab22f4254432e544f502f4e59412f4542312f4144362ffabe6d6d6be52aa142f57c7b44bea17040dd626bcf1e5aebaf917abb157d8ef47041bb0a800000000000000004355f1191ae010000000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1562475794;OP_RETURN:0,00000020085d768a5803b32a63542af76dc57286c76634793d367a000000000000000000a3b5e49cc258be72bdadfe1b5be97385207b891139cb1a7a77135e57784927ecefe5b2590b310118c225baca,1072238,85b77cc0f24036cf73dd9db0b88d924885303ad136be4b4e7d848c7d55a39125,04013200e14c20f368abff44f587344be077bacddf3d8fe40a270985cc4817d40ce0cc1a4d3a3d876b5bd2892ff4843e2d50d9f606994684844459ccf1ea5b0db1eac692c0e5b2598b9d2d1800000000,1504896448,182d9d8b,stale,VALID,1801310b
484431,000000000000000000ecb95232f1b6c3c4fb8569b2559f7d37936343e069895f,00000000000000000011a4588b066bfc41c6d893be7caebe4bcfc918892dbfe0,1505001803,1801310b,034f64072cfabe6d6d87e3ec555672cc2cc8abcd7f16555175df222c7daf22bd50a603f7f90fb1e23b20000000000000002f4e59412f,pkh(99c02ebccad91945bcb469e5a66240b3c7ee614e):1300568203;OP_RETURN:0;OP_RETURN:0,00000020e0bf2d8918c9cf4bbeae7cbe93d8c641fc6b068b58a411000000000000000000bef3a6ba76ae87b1f8efed284e0ea6ea022a3af75ec73e3c857c03b547c9b6b14b81b4590b3101186097a132,1073077,baab6e85402b8878cd6e6c96303f2d7f251a183de8aba738b653942cc23dc6be,04013200e89a38c6355b7e83da8661fb5b28851235543581c58447c8f30a735ea118710580c242f5a642c0cce87c560b1a6f6157e936bfe6ec270549ef6ceb8686ff042bae80b45963fa211800000000,1505001646,1821fa63,stale,VALID,1801310b
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,0000000000000000009986c055b2ba9c942ad099ae1731fdd50ab965e39c942a,1505303987,1801310b,0398660741d66e476334543341d66e47620387ea2f4254432e544f502f4e59412f4542312f4144362ffabe6d6d42b746e86574b761878cd1fa66bc88a136567a7827ce5e938178c02c10515a1c80000000000000009753e72ea5da4be800000000,pkh(ba507bae8f1643d2556000ca26b9301b9069dc6b):1265631488;OP_RETURN:0,000000202a949ce365b90ad5fd3117ae99d02a949cbab255c08699000000000000000000217891cff110be23126da38bf7a4e169da1b6a3c610fe247df0a6114e320a3f3b31db9590b31011814cad3ac,1075476,79dc452853bf2f7d9cf4d2de2760fafca815119152ab19daf23ab3c48208fc55,040132004eae474f8a295d34401b6bf0818a0689e2e909b57d9b19daa02afc5b6c455b1193f04aebec955fe9da6d91f55574549ce797a1c76bd5242af6093b9d0ea3e5204e1db959f01f271800000000,1505303886,18271ff0,stale,VALID,1801310b
