btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,coinbase_scriptsig_hex,coinbase_outputs,btc_header_hex,uno_height,child_block_hash,child_header_hex,child_block_time,child_nbits,classification,validation_status,expected_nbits
374611,000000000000000008373c8cd8caf49c31ace7162f3387df65e488118fbba986,00000000000000000c17bc292748ace6fd6861002a706a2a80586fba57b01690,1442304179,18134dc1,0353b70504b3d0f75508f801e2b13e29cd04392f7374726174756d506f6f6c2ffabe6d6d23e54d0ecf92d41dd515db62fa7aa9e7fe5722635a7b4dd9aea3368dd671378d0800000000000000,1MeffGLauEj2CZ18hRQqUauTXb9JAuLbGw,070000209016b057ba6f58802a6a702a006168fde6ac482729bc170c0000000000000000eecf681ca36d96bf90d4aa0156752b841ed8b6c645958243218f06f42432984fb3d0f755c14d1318692688dd,662179,f66afd3885f832985898dde4d4908d9966d90c9c458243eaa442459467ad0985,030175000f709a42ba351b22a1d3b0b4f3ac5b1597e0d2ef6f5cfbc4f4767de586a02d186144822601919003f11f634b4d283b4574c07b409ff2192a75fc98079fcf7093a8d0f7554e63701900000000,1442304168,1970634e,stale,VALID,18134dc1
376531,0000000000000000053a2646bba33979619bc37a22be86b26a88d85e16305546,000000000000000006db39f06f2f626ccf2f2dafd2410847bed49522c6983f5f,1443455941,181287ba,03d3be0505560963b802fabe6d6dd769eda3ea31de30f343cb59681aaa0e0493d01a687e5ed7da54151e496bfd37080000000000000000454d433a20555331000a04000095450000,18M9o2mXNjNR96yKe7eyY6pfP6Nx4Nso3d,030000005f3f98c62295d4be470841d2af2d2fcf6c622f6ff039db060000000000000000468724b0c4349c25b218c3de8345b6f2016163c45ec2a3749215c6fb8eb30752c5630956ba871218b5c4d1b1,668542,e77c926f84a55071fc457f86eb4aa9d1b553f10082d9808d3b42ebdb3862cd02,03017500173641ae116966f0a05ec4089ea4ffe766571149425361507a23358a04c97f758a7bb9fc9c8a56b2c17216236bfdf47315c83f0de325c778c2f6ac8681b2b876876309568b2b6f1900000000,1443455879,196f2b8b,stale,VALID,181287ba
377993,00000000000000000088986ef8224a37d5448b27224e9634a35e1e14af81c2f2,00000000000000001120a9cbe865716a5038311c0102eb2687f27f9ac49a6879,1444305924,18121472,0389c40504045c165608f80040d2661cf000392f7374726174756d506f6f6c2ffabe6d6d716834258f8a2f316117c34f0a5048a4c43c2fe49edd3624007c3432940012960400000000000000,1MeffGLauEj2CZ18hRQqUauTXb9JAuLbGw,0700002079689ac49a7ff28726eb02011c3138506a7165e8cba920110000000000000000b8aac8e524f7fba0bc452516b5fecb69549e8ca9b8606a6601406447315d2ff5045c16567214121879f64c26,673228,6529a7dbf687d1b776798da730e0b1edbb06f7ea590be6cdab202beacb3656b2,030175002ab570fc2edf57d1491061b104dfb8f3e6e690d7969cd0797dfe9d92d5b3f1ffb76796a1fc7ed0b37cd9d1bfba6c4b59cf14a88cbf9348075bb330c8b1bfd884a0581656d95e6d1900000000,1444305056,196d5ed9,stale,VALID,18121472
379454,000000000000000010e2e74380cf4a4874437ed2fb35f8a11b233c1ab09b6713,0000000000000000094cbbf5d91185a6c8e26de9a266fe530898199370b8207b,1445179603,18120f14,033eca05045623b0d3fabe6d6dda096a0b6c0c3be650009befad7516ed44bf9653d77a93f6754ca1b44e6b9906080000000000000000454d433a20555332000c080000f7550400,1B55K4WuR1AQKCmF8WznDmhZNw6G1x8uEc,030000007b20b8709319980853fe66a2e96de2c8a68511d9f5bb4c090000000000000000d1f951550eb7c15fca41d46eff11a153e2dfe9bb24056a466aeb86ca046d86e1d3b02356140f1218432f3b05,678030,006857a7703cb2323d2817eae897cfe8bd6a3ef89221e9d5666531a55b8db594,03017500ee6cb897b3529ef6b7d345fd0442eae23134f6fc44ec1018211914b8b63bd80e9241f47ee1675a45823607eed8cd07fd2711aed00dc8a9fbe0c0f41e80588892c2b02356ff83001a00000000,1445179586,1a0083ff,stale,VALID,18120f14
379924,0000000000000000011bf0d411f64a5c4d9c1abad8c5d1c9b1b974af7fc79b7a,00000000000000000017ace2127883e3960cf4df725a0583a00d3bbf17d24144,1445908539,18120f14,0314cc0505562ed03b37fabe6d6da81a2053e8924226a7e299eee694912284b03253458a3fa1b22d02151c54fb83080000000000000000454d433a2055533100ea01000091137302,18M9o2mXNjNR96yKe7eyY6pfP6Nx4Nso3d,030000004441d217bf3b0da083055a72dff40c96e3837812e2ac17000000000000000000ca6c9ee65b47419821c57da2662c0ad5ca433f28fa4f141b84d0b086c9ff64923bd02e56140f1218593f5c9c,682073,48e419c394b4432df36eebe04bd79b7d68119ed5b8f5d8f15463459cf99a5afb,0301750089df2768e2c0e9ae40ef3a114d12650dd6ff29585b85b442ff3747a6439f7ed17ef47980d59661db05e1dda40465058cafeb360e2adb361e8fd4b4cc75b5a9fca3cf2e56273e751900000000,1445908387,19753e27,stale,VALID,18120f14
388181,000000000000000006c6918b4a143bf43c866737facd5ce5b9f294c6c888db85,0000000000000000051e8fa8a632e835e43fe86fc1b2f8ebca94216e13659b13,1450011826,180de64f,0355ec0504566d6cb2fabe6d6d7673c012224df48c9d83dd80a57d6b7eb0701b143df3bdbc75c71634a6e668cc080000000000000000454d43204555004f02000001050700,1QEg4nd7UyRaFuQ9e8pqEqJAbNDsE11FAg,04000000139b65136e2194caebf8b2c16fe83fe435e832a6a88f1e050000000000000000e0e8b2e730a648f45a160bac54d9041b3570ac8ac95860c354d09d2d5b5bb538b26c6d564fe60d1833554eb6,704748,36c23a8f86af743465074e94d2ea8c25aaab41eba0c8241c49ba33048e9753a5,03017500b78e81b83d3a9fb653c80cb8ad615c73053304e6ccaa8ff9ebfa9afc018b867939ecc04fe20f8d6784737bfba8e0143ebb35f65429037b595f4f99b18b3fb9f3686c6d5615eb5b1900000000,1450011752,195beb15,stale,VALID,180de64f
388953,00000000000000000b7fb66b80f7a02517b50327a56a4ad0d6357d88d348dec4,000000000000000000d98bb2716eb52e0ecf10e308d9d40d37db7874b7a17458,1450402186,180de64f,0359ef05045673618afabe6d6dd70f8b4009f826f75ac361a84a2592bc183cf76d1d918b0ef4f73e182f8c2a83080000000000000000454d43204555001f020000c6980600,1QEg4nd7UyRaFuQ9e8pqEqJAbNDsE11FAg,040000005874a1b77478db370dd4d908e310cf0e2eb56e71b28bd90000000000000000004961db387d0604016b865301f7887d6e3d9a811a6686afa2870a782d84d893078a6173564fe60d18ea2df194,706912,8d9ef4bb59622ab8d9ac30df501ad3eb65b5e45ccef29d34a50371a7766ee629,030175000ec1253a17267e639a3dfca5c55b8472f99f613a5f148f965832568178d5925c18c66a89333fa2966d771dd784fb1dce93a5db0c886bde6ef7af3fea316c160c3e6173569f8f521900000000,1450402110,19528f9f,stale,VALID,180de64f
393636,0000000000000000013dd087c1a4636a393dcd09f132a5dd380dbe803d10853e,000000000000000008f89e38f4f3c66c269f6b84e462a9d36ac2bbf0673fef64,1453005113,1809b31b,03a4010605569b193901fabe6d6d2b551954abacac4c74862ee021ad6dbb2b3d4baa7b80557c90d5c77a035f6ecb080000000000000000454d433a20555332009c00000038820000,1B55K4WuR1AQKCmF8WznDmhZNw6G1x8uEc,0400000064ef3f67f0bbc26ad3a962e4846b9f266cc6f3f4389ef80800000000000000006b92f80ff9bccc90e68544ca0966feaf40089909111146187331bee9096b35a539199b561bb30918e51502cb,721274,724e0c1484a5c664efdf2ceeec47da5bcae39a765838f2991a42fe32daf8e833,030175007a432fcc1965af69475870175aad4b9586bd752068d6f1b60ad831a38fd9a6ba31e93c6119663e3a60c0b53872684c598f0487708669fe19988974b9ac4a6daeeb189b568cd9571900000000,1453005035,1957d98c,stale,VALID,1809b31b
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,0000000000000000010a744d59689d9e49628b86ca4d4fc99d34c8e892bb8a49,1495232042,1801f6a7,03f220072cfabe6d6d7da3d9a5bd733a3016c3d1355c94f185bfdc03965f1daece80b862e39da4db268000000000000000,134vPp664VcocqouZeuSMZaXfquFyRLfQG;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2848ad727b149194d82f528233e3eb1dc49481ea27d89f80e88d681c2ed4ded44d06000000e70c1185,02000020498abb92e8c8349dc94f4dca868b62499e9d68594d740a010000000000000000b921a36ee3304d5623a333f7ba992aa76e817ea7fbf0c1d6721f429bab653fc12a6e1f59a7f601180634ef6c,951751,bc4e7d6bbeda165eaa0f8f59df04db2a54207e8a44d09fb5ab05053376488f67,03017500794ef667c1fd225406ea7259bbfcdf06c0a48a7245d9d5b1daeb7e83937f7c6b4cb967c55e51dd31ef88eb4b7af09ae5b59f7babd740c94d2866738472e8c028d56d1f592b6d081900000000,1495231957,19086d2b,stale,VALID,1801f6a7
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,00000000000000000133740b831ddbd4f604a85981d664f58e5df89cc5b77c5f,1498489560,18018b7e,038f37072cfabe6d6d9d0ee0285647bd696f02837bcad0144374a50fa5fe370a6ecd5573b50b1f857e8000000000000000,134vPp664VcocqouZeuSMZaXfquFyRLfQG;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2878a537202e3e1feb7bb1a183c353a712b495deb95ba4f3434e0495c2dfb17c610200000072360702,020000205f7cb7c59cf85d8ef564d68159a804f6d4db1d830b7433010000000000000000ed501cc6f948e3d8fa9e46d297f0091e7f4a65eadd76ce8b73173e8c8a54c239d82251597e8b01180516cd41,969601,01d502f53262b17a3eb9665e1892c1eb2cb448e15333c6b7c07e06589c199560,030175006af81dd82cf4629c54d4ef74b9b8243f5d20222a7d829f5de8db46d2ef6dd56d52a25ae15e5578be3df762c0ec0a36aa9bfd50c17c1debca4d18270a666c08d25c2251594b5c061900000000,1498489436,19065c4b,stale,VALID,18018b7e
