chain,artifact_status,artifact_path,total_rows,hydrated_rows,unrecoverable_rows,unrecoverable_reasons,stale_descendant_observations,hydrated_stale_descendant_observations,unrecoverable_stale_descendant_observations,stale_descendant_unrecoverable_reasons,min_child_time,max_child_time,child_parent_delta_status,child_parent_delta_coverage,min_child_parent_delta,max_child_parent_delta
devcoin,present,devcoin_evidence.csv,129709,129709,0,{},3,3,0,{},1326025327,1776414901,non_degenerate,129709/129709,-56445,73298
ixcoin,present,ixcoin_evidence.csv,301247,301247,0,{},3,3,0,{},1325312571,1776429796,non_degenerate,301247/301247,-436049,73298
i0coin,present,i0coin_evidence.csv,103382,103382,0,{},0,0,0,{},1324381989,1516504030,non_degenerate,103382/103382,-8267,66917
groupcoin,present,groupcoin_evidence.csv,4867,4867,0,{},0,0,0,{},1331543058,1532158963,non_degenerate,4867/4867,-176535,6545
coiledcoin,present,coiledcoin_evidence.csv,13943,13943,0,{},0,0,0,{},1325846074,1463147178,non_degenerate,13943/13943,-16975,307
geistgeld,present,geistgeld_evidence.csv,2291,2291,0,{},0,0,0,{},1322614098,1385023768,non_degenerate,2291/2291,-121,9
huntercoin,present,huntercoin_evidence.csv,899,899,0,{},0,0,0,{},1391420503,1395313251,non_degenerate,899/899,-600,111
bitmark,present,bitmark_evidence.csv,82819,82819,0,{},0,0,0,{},1528642668,1778654595,non_degenerate,82819/82819,-401211,535
terracoin,present,terracoin_evidence.csv,534607,534607,0,{},0,0,0,{},1474633708,1777021567,non_degenerate,534607/534607,-9303,137759
emercoin,present,emercoin_evidence.csv,62237,62237,0,{},0,0,0,{},1490110393,1778885088,non_degenerate,62237/62237,-6124,137361
myriadcoin,present,myriadcoin_evidence.csv,181589,181589,0,{},0,0,0,{},1443362866,1778856431,non_degenerate,181589/181589,-409452,137778
unobtanium,present,unobtanium_evidence.csv,445932,445932,0,{},0,0,0,{},1431096024,1777047013,non_degenerate,445932/445932,-406731,235602
argentum,present,argentum_evidence.csv,634306,634306,0,{},0,0,0,{},1470997929,1778880565,non_degenerate,634306/634306,-363813,41416
crown,present,crown_evidence.csv,389128,389128,0,{},0,0,0,{},1440558550,1555092658,non_degenerate,389128/389128,-8065,1544645238
elcash,present,elcash_evidence.csv,5140,5140,0,{},0,0,0,{},1611240398,1782340511,non_degenerate,5140/5140,-6392,6
xaya,present,xaya_evidence.csv,38483,38483,0,{},0,0,0,{},1531504538,1731429483,non_degenerate,38483/38483,-521,91
bitcoin-vault,present,bitcoin-vault_evidence.csv,2575,2575,0,{},0,0,0,{},1605724860,1709777800,non_degenerate,2575/2575,-78746,28172
