chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,2,stale_only_publication,repo-data,360062,,572333,0000000000000000000528b13b09f842b428401ca02f44be163868a8e719bb69,0000000000000000001beb26940418fb628fa28c60da912746861ffbc6d7ea0e,1555689045,172c071d,86489308,0000c0200eead7c6fb1f86462791da608ca28f62fb18049426eb1b00000000000000000014d66b00502bdb9d30f9abe950a33040a852dbc125246bbcba145e905fb6e36455eeb95c1d072c17dcb82705,03adbb082cfabe6d6d6a257c2884908d70a105d4ee3d4022a9dc309ce4236dde1d52ccbde00ce00f3010000000f09f909f00104d696e6564206279206d79726f6f6d310000000000000000000000000000000000000000000000000000000500b3040000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9edad2319f257d5eb8d9d87cd37f06a5d7bff6604b79453f3ed231e0851ee7ca94d080000000000000000;6a4c2952534b424c4f434b3a6be2f1d8860d06a4098957e970767d02354434bce2dae92d709aca66d8f0d4d3,,stale,VALID,172c071d,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,3,stale_only_publication,repo-data,387997,,578123,00000000000000000010fe8e49ae527e56b127f60b9e3135fd4499adb900025a,00000000000000000025451d7bbdf956a44ee9809e2563f88128992d807a19e1,1559012187,1729fb45,119670314,00000020e1197a802d992881f863259e80e94ea456f9bd7b1d452500000000000000000016c808a2a8b5883ca1e6838a6adcd6bb7d82c71bfe8cfe66d1e36a3760a9dbb05ba3ec5c45fb29172a062207,034bd208045da3ec5c642f4254432e434f4d2ffabe6d6d05a6a078cbcec03c1685e22cd7a1567e9f76d2c9cced45c80bd84f939c56fde4080000000ca3d3af472b14f7753873587b830100,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9ede48dbe976f8f8ebd73ff53c7b1cdc207d6892eaa83e6dbbc90841d7801424eae;52534b424c4f434b3a9941c8a2c2d0d78b144036ddae42ce4c00cb6885cfbb2e1d3418ac703823d93f,,stale,VALID,1729fb45,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,4,stale_only_publication,repo-data,388081,,578141,0000000000000000001253a5f37d3763dbe928d21f7d72a708f05268c044179c,00000000000000000005819c1a3342dde3774952849d1bda1e5ee6cd5839f27c,1559022857,1729fb45,1615532724,000040207cf23958cde65e1eda1b9d84524977e3dd42331a9c81050000000000000000009b68bd568626d11d2d603967b4a91c01a7df9b7af46a904b9543c4c4873432b609cdec5c45fb2917b4124b60,035dd208172f5669614254432f4d696e656420627920743231346c2f2cfabe6d6d91d092946a5603c4f603e3a4d6c5dea5be76383b22c906771321584dbdb25ac8100000000000000010c172691031e082b742f05080fe400000,76a914536ffa992491508dca0354e52f32a3a7a679a53a88ac;6a24aa21a9ed554059c98bcd6a375fde4a03ee5439c395c4662aefef5a2ecc34bf3ba381ee56,,stale,VALID,1729fb45,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,5,stale_only_publication,repo-data,393224,,579169,0000000000000000000705b5fb5ffadd8bb33bb8e7b0cfd6c9c295fe9267e992,0000000000000000001189cebc9f85d3e7535f283a56a211930ffc9cea3a3923,1559638683,1725bb76,1436700712,0000002023393aea9cfc0f9311a2563a285f53e7d3859fbcce891100000000000000000051c0e247fc48ed3dd5089799108c48f3d6d2a9da67244a8aa3d466bb5ffec1269b32f65c76bb25172850a255,0361d60841d73d8ca7054c8f41d73d8ca6ae653d2f4254432e544f502ffabe6d6d56780691a9ea2ea09ba467d1c9201d13ce451f38775c243f4957f49895f5e7ff8000000000000000d3002cb1fec5def400000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed3c2cd3cbafe6e723b83de8936ac74cd81ed69129e66575b70d43c928cace2b9a,,stale,VALID,1725bb76,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,6,stale_only_publication,repo-data,395691,,579715,00000000000000000012074f5c5506ca0fe5fd10f6b0e67533b2d62c143e7823,0000000000000000001867e90f1eadcd83152b07a5439d223e4bf943487781c5,1559938273,1725bb76,970678446,0000c020c581774843f94b3e229d43a5072b1583cdad1e0fe96718000000000000000000f45420e16b18ff24b1d51cf60a6a1bbef315923c5d8a13b8100ec128d8903b14e1c4fa5c76bb2517ae60db39,0383d8081b4d696e656420627920416e74506f6f6c343523012d032024aa0010fabe6d6dc773c106e63f7c95db06dfc7fcb620a3a2fd6e85dd8ba8509197f29f98e783e30400000000000000dd130000b2720400,76a914edf10a7fac6b32e24daa5305c723f3de58db1bc888ac;6a24aa21a9ed3b22829e2bf0b1ecd16327fc44706d076288ede1800a8e9f2852a3dd65f8b329,,stale,VALID,1725bb76,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,7,stale_only_publication,repo-data,406172,,581839,00000000000000000015f55314db07fbebd61747a8f6534d32b2ea765cbb4342,00000000000000000006a2009a8992dbfba634bcc9e1649ec569e31918e367c7,1561188661,1725fd03,2582912413,00000020c767e31819e369c59e64e1c9bc34a6fbdb92899a00a206000000000000000000e4aaaef920100dedd713bf8f038887df1479135fa0c5305e2692f20c0c25ad8535d90d5d03fd25179d1df499,03cfe0081b4d696e656420627920416e74506f6f6c3631e300e70120418f56eefabe6d6d3061f0bf92b508f431f3770a3ea0862f38a61ef8a6d218c14bb3e701a6f7a11604000000000000009d030000c2460200,76a914edf10a7fac6b32e24daa5305c723f3de58db1bc888ac;6a24aa21a9ed173401f4b7a19070f7a6dd23aa6dc04954515fecc775971ccd835045c930bf8f,,stale,VALID,1725fd03,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,8,stale_only_publication,repo-data,417255,,584327,000000000000000000160d6c64bba17309eab4221b959cf188452d458b69b7e3,0000000000000000000fc13c528c1b207b3639ee6a6151bca0c1d155746b93a5,1562506868,1723792c,2282183468,00000020a5936b7455d1c1a0bc51616aee39367b201b8c523cc10f0000000000000000007a5f1b8a47a903cfa5d21d8f890629cd23e58cd46ef845969474c1f1734d827774f6215d2c7923172c5b0788,0387ea080475f6215d652f4254432e434f4d2ffabe6d6d6c3bab058c93e35b637978b69f3c37deb218d0cca9c0618fc9dfc20a48296201080000000ca3d3af138589209187010000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9edfb62dbc91d1556f9409e80ccb7795b46c817ee27fe9f97e4df7d6a4010d91e68;6a2952534b424c4f434b3a54af8100512e321a26040f6bc32d3ebb1d4846daed1da2cb0ff87a14e46e5e02;6a24b9e11b6df7771c64e96762828ff45d54f73613ef22fcd14c95302028512830f144fd15d5,,stale,VALID,1723792c,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,9,stale_only_publication,repo-data,418004,,584501,0000000000000000000cec2040cd2a8b80ec7d4434a9aa5ac0fbb7ab57d24037,0000000000000000001b34dc6a1e86083f95500b096231436e9b25cbdd0075c4,1562598044,1723792c,3272002416,00000020c47500ddcb259b6e433162090b50953f08861e6adc341b000000000000000000dca2fe533f00e8e35ac917d1da360041ec542453e25084af5da093458154a0f79c5a235d2c79231770cb06c3,0335eb081b4d696e656420627920416e74506f6f6c393313018701201223b9eefabe6d6d419e18366fa08cac133d714637202ee693c374f0a96e4a130b6afc36c7abd3d40400000000000000597d0000fb830000,76a914edf10a7fac6b32e24daa5305c723f3de58db1bc888ac;6a24aa21a9ed496e1d7fed96762cd64b0c48c1242baae84162fdfc60ee0b4a770848cd8264d3,,stale,VALID,1723792c,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,10,stale_only_publication,repo-data,418382,,584596,00000000000000000022fafd684ddaa824619a8ba09fad39771662133ba9fdae,0000000000000000000421f955ed711f22a05ad7c6de02aa7d38935b19f734e2,1562643072,1723792c,1747727903,00000020e234f7195b93387daa02dec6d75aa0221f71ed55f92104000000000000000000201cf406a831a6872d0ef3579ebd8d06f4f28c9b821f06cce13c1d03724bc70b800a245d2c7923171f362c68,0394eb0804690a245d424a2f48756f42692ffabe6d6d096c59e1c632115c33859cc5be28ae8dc2dac4d0d16f4a9bdd4a491a443033840800000016ed744804002f141e0000ff00000000,76a914e582933875bedfdc448473c00b474f8f053a467588ac;6a24aa21a9ed46245c72af350678c709bd543044a71b3888dc14649284eb614415c6c511030f;6a24b9e11b6d6db7abcc9675ca276d549671e95e2dcddafb956af7fca4e6203828a8ef3640f3,,stale,VALID,1723792c,,,valid_direct_stale
elastos,validated_stales,data/validated-stales/elastos_validated_stales.csv,11,stale_only_publication,repo-data,418962,,584719,00000000000000000013f5cbd74ef44673d13f424fe96ef65ce21b6fb9b09d2d,00000000000000000008489b642745d61e5e8b19d5d13de96eebb898fcf7101b,1562709154,171f0d9b,3751994136,000000201b10f7fc98b8eb6ee93dd1d5198b5e1ed64527649b4808000000000000000000e424fe8a8117125819d3e0fe19c31994659338ce45156d314712f5210032ac1fa20c255d9b0d1f1718e3a2df,030fec0804a10c255d626a30332f4254432e434f4d2ffabe6d6d58c5efe7b9daa9710d171fc50d93890d9cf210874feb60cd154a9b94c4947907080000000ca3d3af6820f1edec22c77100000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9edb8e3d13b652f65552a0ac128365c7d2731ec97b7f26d80fcecfdaa28fdb46da9;6a2952534b424c4f434b3a4579a6b1375204947082fb567aa90e04bbb12854738202d4e0118e42d0286400;6a24b9e11b6dc7486cb183bbc02de57143f838edcecd7bf12e314e78115de57ce414edc31c84,,stale,VALID,171f0d9b,,,valid_direct_stale
