chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,child_block_time,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,2,stale_only_publication,repo-data,231992,,,467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,0000000000000000010a744d59689d9e49628b86ca4d4fc99d34c8e892bb8a49,1495232042,1801f6a7,1827615750,02000020498abb92e8c8349dc94f4dca868b62499e9d68594d740a010000000000000000b921a36ee3304d5623a333f7ba992aa76e817ea7fbf0c1d6721f429bab653fc12a6e1f59a7f601180634ef6c,03f220072cfabe6d6d7da3d9a5bd733a3016c3d1355c94f185bfdc03965f1daece80b862e39da4db268000000000000000,76a91416ae11e7b47ba05a3e495ce47f16b9ab95c3551488ac;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2848ad727b149194d82f528233e3eb1dc49481ea27d89f80e88d681c2ed4ded44d06000000e70c1185,,stale,VALID,1801f6a7,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,3,stale_only_publication,repo-data,234083,,,469190,00000000000000000052b9bb3bc30c6975e66b8aa43573273d314db861b52b08,0000000000000000018309ba27e6822c0ee67bc847f8d452d9468d8fdf399b09,1496308954,1801d854,2149848758,02000020099b39df8f8d46d952d4f847c87be60e2c82e627ba09830100000000000000002e230f7bf2d2d71e7779d4c4005917bf252dbe3f1b8ebfb6442772d400b8fb82dadc2f5954d80118b6162480,03c62807082f455854424c4b2f2cfabe6d6d3a30df471af574ec292bf679a4acf7f8cd56e521b1b757995deb843adbfff75504000000f09f909f114d696e656420627920736a733939353135000000000000000000000000000000000000000000000000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9edf91db46ba49d3a24dcf38d1ddcb07ef22aa8de53b88699e55d174743aab3bb13080000000000000000,,stale,VALID,1801d854,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,4,stale_only_publication,repo-data,238301,,,472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,00000000000000000133740b831ddbd4f604a85981d664f58e5df89cc5b77c5f,1498489560,18018b7e,1103959557,020000205f7cb7c59cf85d8ef564d68159a804f6d4db1d830b7433010000000000000000ed501cc6f948e3d8fa9e46d297f0091e7f4a65eadd76ce8b73173e8c8a54c239d82251597e8b01180516cd41,038f37072cfabe6d6d9d0ee0285647bd696f02837bcad0144374a50fa5fe370a6ecd5573b50b1f857e8000000000000000,76a91416ae11e7b47ba05a3e495ce47f16b9ab95c3551488ac;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;6a2878a537202e3e1feb7bb1a183c353a712b495deb95ba4f3434e0495c2dfb17c610200000072360702,,stale,VALID,18018b7e,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,5,stale_only_publication,repo-data,239028,,,473586,0000000000000000013b4569d28866fd10dbd45ed43725b9785bd8749c1f6c7f,0000000000000000013bda490ae4c632253662b9829d2c2dd4c06dc92d9dfb22,1498865315,18018b7e,1244631977,0200002022fb9d2dc96dc0d42d2c9d82b962362532c6e40a49da3b010000000000000000739d7502b00671f125df65ffd26daafd6bc1bbbe98636e072b1cee72848823dea3de56597e8b0118a9932f4a,03f23907052f4e59412f2cfabe6d6de06e00fe6aba32363ab1c103c324647440b47f28f7343caf130ad603d2473a1704000000f09f909f0f4d696e6564206279206464663838380000000000000000000000000000000000000000000000000000000000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9edbe4197571594004643eddddbbda9d2fb15d58344b4a47d974047f99fddcc0c86080000000000000000,,stale,VALID,18018b7e,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,6,stale_only_publication,repo-data,244645,,,478785,000000000000000000e561aa2044185e63b046c718c8894a8a8dbba77b4fb9c3,0000000000000000004b242579a85888ed729078d885e9cf9dc4859ca78378d4,1501724667,18014735,2363597768,12000020d47883a79c85c49dcfe985d8789072ed8858a87925244b000000000000000000c933f6ea19f72f2c9ae0d4141e51577133938e97e034d47b6d750c3b08f7c940fb7f825935470118c8a3e18c,03414e07052f4e59412f2cfabe6d6d0713346629fdf6435da092d4683993a9f807d7cd318a6cae8f5a23b9f0c989b404000000f09f909f0e4d696e656420627920626a783033000000000000000000000000000000000000000000000000000000000000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9ed6d3ad9f15cf3705982bc0b53ae34cb2aa02929b45bd982777d652536f90734c1080000000000000000,,stale,VALID,18014735,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,7,stale_only_publication,repo-data,244874,,,478964,0000000000000000008148a70446c0a8de95380de581260d071a64fee21fc347,0000000000000000000f1eb7fbb6fa642ca55bdd0c86e0857b3cb8d435f40252,1501830037,18014735,1685750576,120000205202f435d4b83c7b85e0860cdd5ba52c64fab6fbb71e0f0000000000000000000ff36816129e17fe87f94048427c4a6d854ab174d2abc869ebbc6ecc5dd12c55951b84593547011830837a64,03f44e07052f4e59412f2cfabe6d6dc9495ffa4a3fe2c09f023aee22a8bd42d7f49d40762d4b6b7c89278eaaf14a8c04000000f09f909f104d696e6564206279207765693136383800000000000000000000000000000000000000000000000000000000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9ed9aa33a1660956ded4730ede6015b1b924f22dc93f398dda425f33807080f60aa080000000000000000,,stale,VALID,18014735,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,8,stale_only_publication,repo-data,247465,,,481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,000000000000000000972190f34a25bad47d4c8b6eb232704634bb5719fbeece,1503105623,180130e0,2938770971,02000020ceeefb1957bb34467032b26e8b4c7dd4ba254af390219700000000000000000090ff091f7998e8c837c70e7a1df725be39df48787ba139f40ba648d5c6d6d23c57929759e03001181b162aaf,039c570741d665e496a8673f41d665e4962c515e2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dbc442a66f26e9ff761bcd313154b38595918edac225aa7a49ec345f81989d2eb800000000000000009197b1e114d000000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed23c759e65d08f4e69de9b223f28faee7d2f58b9f716343e69fdfc024bce82c76,,stale,VALID,180130e0,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,9,stale_only_publication,repo-data,250000,,,483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,000000000000000000169d07d42816770802c5bc151237e63b893f05bfdba947,1504423106,18013ce9,3041912350,0000002047a9dbbf053f893be6371215bcc50208771628d4079d16000000000000000000f8296efc0a06b198e8937caf7bf3d8eb3473142f9be78eb289036d80793653efc2acab59e93c01181ee64fb5,03bd5f0741d66aeb31dff57541d66aeb30fceb7a2f4254432e544f502f4e59412f4542312f4144362ffabe6d6dac33994f36359b196e8a41492775957adf2a12ad058c6d5db5776c63b5849a048000000000000000972153094ad1010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed028534375afe17d878e8af13fce72e6b9ff775a7b4dc2a7aa16d25fb3485d2ec,,stale,VALID,18013ce9,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,10,stale_only_publication,repo-data,250731,,,483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,000000000000000000cd5609e77ee84cee00964f9f33708c5253b462ee2fdf79,1504732346,1801310b,1628840730,0000002079df2fee62b453528c70339f4f9600ee4ce87ee70956cd000000000000000000e5e5ba5302aa551d67e944b65bfa727e9a2fe63c6b781f2b73598e3b85a82044ba64b0590b3101181a231661,0339620741d66c192efdc0d841d66c192eeeb9302f4254432e544f502f4e59412f4542312f4144362ffabe6d6daad93d26771dce91d55df5f441468287f6036d452ab7f8f86a33b3794486362c80000000000000000515dca71e55010000000000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9ed9d33530097548974c7087fe630bbfefa4127d06138160381e30decf13053f2cc,,stale,VALID,1801310b,,,valid_direct_stale
emercoin,validated_stales,data/validated-stales/emercoin_validated_stales.csv,11,stale_only_publication,repo-data,253055,,,486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,000000000000000000666ba7a3feb41fd453909399411362b36cc3118c4d546c,1506047005,1800ff18,647432417,000000206c544d8c11c36cb362134199939053d41fb4fea3a76b660000000000000000009bcf3f245a91cf23e185b43951eb52d08dfe71e3d1e98bee65b9ff7ff1601c291d74c45918ff0018e1089726,030b6c0741d6711d07c9e8eb41d6711d078c08212f4254432e544f502f4e59412f4542312f4144362ffabe6d6d0536d4cfc26e1934385ff98582beb4aa09f493bc49e445e6cf6e20afe85a31a98000000000000000994f47f30000a755b1620000,76a914ba507bae8f1643d2556000ca26b9301b9069dc6b88ac;6a24aa21a9edf47689c5c57c95f8fb51ce9ab2603a1d9b1bc903f04c6d593f1f35b1e23d7f83,,stale,VALID,1800ff18,,,valid_direct_stale
