chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,child_block_time,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,2,stale_only_publication,repo-data,31261,,,181492,00000000000001a8ef912df01104fbaf49a658405c1203aaba9670e1e5e43fe6,0000000000000127e1279723ea03806489a99f6cf39ea3e773bda314d96e8772,1337921278,1a0a8b5f,2838702734,0100000072876ed914a3bd73e7a39ef36c9fa989648003ea239727e127010000000000002202d399662eed598cf2f859fa95c4a06489375594bce9331efa27057f66d591fe0ebf4f5f8b0a1a8e2a33a9,fabe6d6d93832f8e464e1175aa27ae9a73c818055f4de21fce829a0b55a8615533e4b9a40800000000000000062f503253482f,76a914e75c0a4d431629abd09a64ef76739510e560c75288ac;76a914b028b1d35cb47a221649bd0e669610ef8b7e3d7588ac;76a914e20bc3eb3c536a951d87bac0989e32118a8da56188ac;76a9143474072c16eecd7aa5c86f883704624f7a8b849388ac;76a914b8d0f0c0b1bdbd617f22dbdf519e08755715356388ac;76a914cce7ddb26bce4ce24375692844b825f7476bd8d688ac;76a914eb24b0a111784ae67d465509cd852140ba66eb2888ac;76a914482abbed049cf6fac24de223002510ffc38413e388ac;76a91494ed80858686f1d55fecd89ed012a260464e931388ac;76a914f9b0775ffb55b91b46b95e2f0bf14b1c66756a5e88ac;76a914e349addc2e673c575e1a517e3ee68ef95a5dc04588ac;76a91419f940ea118a0cca01f01613f616ce2336c5bbd588ac;76a9142d20dcc9899f0a670ea464b55a48f89627bbefd588ac;76a9142de7bee833f90bd22f4d0d887fedcc430b34755588ac;76a914f7e0a3b6889f3ae6991a6fc97c0f4284b8b8d6d488ac;76a914fa42bfd7489a301ecd6ba9974bdad44e69091b3388ac;76a9149d1f7e94a069768d1a400cd008eb9bfef87eace688ac;76a9140e270d5b535ee7267520bc582f07892bf0e10bcc88ac;76a91444882069227c82ae027ae2456ae63d7347ef6f9788ac;76a914f952df526125e8073ce3d53bc918d6d10a10b52b88ac;76a914a6ce7ec277bd124269255d133c6009d37b07141188ac;76a9141df72181150cbf54e0a7a496975e9f7c64e3841788ac;76a9146685f0c9c4d9b89f56997d028c5b0fc9788f8ccb88ac;76a914336d7d0d979311d9e9a3030cacb096d1a3845a0988ac;76a9140e58050741897e1b5814df534c4d3a609341243f88ac;76a914f5be4d5ec4957f26ee629b9a768598874a36ef1a88ac;76a91400addb85fd3939406c00d495deedf5a5a868f06b88ac;76a91458a08ccf0fb238718d3904714000b17a81f0060d88ac;76a914884364dc2c276009214ac869d60a2f7ca562b0df88ac;76a9141dc79b2c61ba9e2381fedb4a63f54ea8cf950fc888ac;76a91406346c4a74b9ba1526b92d50d016205e985fdab088ac;76a9144d050fa8ad63ffbe59fe12bd5620fda906f031fc88ac;76a91448d3724b97f74205c878508186afc1d34547bbdd88ac;76a914c3a2f3551409af20a481ecfdb03fd2e3848343d588ac;76a9145119ed947c850766e6cf4460aa03511c0f56546088ac;76a914cf70f86013e29f133fdcc3c602e034338a19a90d88ac;76a914e5f0fa63fec79a66f3c4f326cd748d91b1e2a94888ac;76a9141a918ef908a426179fcb266220e5dcefb81c264088ac;76a914e8b915b82ece7ad4dca24bf1524507b04e0e95c388ac;76a91481c45dab01cd09e538486762704eac376c2a407588ac;76a91446e5ef2b0da687a32da9b7df77903e4da2dfb78388ac;76a914fe8548ba52272233428c51268aca61f8b7046e8688ac;76a914096095ff8e5e7979d0c8fab3f56bcffe37aed93188ac;76a91467384fb32cb473d7e1c969b7fcd673633430d57788ac;76a91470975478759bf39d5f50cff56a7eebe7c918468588ac;76a91407f021706161902974f6d62eec4612a77ceed20a88ac;76a914044ce4661a426460ee298a4fc0be56d9531cab3688ac;76a91426bad6b6f1079452cd954471d58a641dcd20abb888ac;76a914b5254e0b21b87301dde18f99a216815a555ca82a88ac;76a914654a6c1d1615ff3dd9832e37f55ebbf29f165b1d88ac;76a914a7eeccb58287bdb1612abb137d6a1629607e97a388ac;76a91436c1b0cfc8081d98e0ec1682af913757ef71679588ac;76a914adfc4367b204d75386c83775e97164b987d9297d88ac;76a914d1c5b01f87a57d71da5b2660891d2a9919131c4388ac;76a914ce686e8435a4f90896eb42fed5d0de483b21ee3b88ac;76a9149e7c992cfc45cc45fd1319a2693bb1c87613173988ac;76a914c2ca379f8b2f25bdefe5670fb46ef604fb313fc888ac;76a9142b1d993b40652df56df573eb1ede526a23d8ecad88ac;76a914f2fddd5a35349d78648b0d88053b3b08fed74e2e88ac;76a914ff85800ad6297e8ce459a04f6746477dd01f570b88ac;76a914f9c2d17ffa9ba5cfc5ca3fcc90cdc76c479ac5c888ac;76a9142912db83f350e3f3be2aeda741a4c66bfeeb1a2e88ac;76a914f1a28ae056ffc7c3d67f3e6db0c30a073cfa7ffe88ac;76a9140100f63bc3f4c363c157e183da71f235ac4305ca88ac;76a914c913c10219281f83568788149c2407a20c843bd388ac;76a9144ff8472b4bf4482dd19dd530e8f6bae3c337241b88ac;76a91498359a095f346b19347a29b3ae7d467512b1a96788ac;76a914553a6dabacb3c25d711bf3cdeaa3891ec481227688ac;76a914c29ad49c434362cb2482968fbf00a4ac7abfb61088ac;76a91458aa99f298e42f7b68b01b964ae992e06360203a88ac;76a914093064e56638d7d2b7f122d073f36f2adbddae3988ac;76a9146deac45b7f3c9c1a44a6c159286b74fc67cc0ecc88ac;76a9145479d3a0114c8cddf9db7a9968c2080310099b5188ac;76a914161199f7bbed0222b94d03dcdd24b15a705f5f1188ac;76a914f61574714a2ddd0bd44601e7a5be3df2ffe0f05688ac;76a91451f7cbd735794a92c676aa9f4acf354f1693338688ac;76a914e05469fa2c0252b260b6b933ff0bee040a26e29688ac;76a9147fcc2253397dcf99e698167d18904a06e57e0dd588ac;76a9144975703dc910107e2cc1321e632d136803e218e888ac;76a914775e5a64eb13041a3b1191ceac7cd192a61fc9fc88ac;76a914ced2d24d8f9a12afac41ab4ac2aa3dccc5c2412588ac;76a91404a64323ddc9c0385aaeebe53eea5c8f2eed6cf588ac;76a914b9cd78ee6d1331f37a6fcf1bcebbc46b5995d5a888ac;76a914f19595088875fe2c80a118e4c7e24a82370cfd8e88ac;76a91421bd2c39039c8d2fbee1bd069105de8599d9c26f88ac;76a9147b78fdbdb59180d031ced94791e07db1f57b6f0d88ac;76a914cf2013b84b2fdae45d89554268635a76a4f0e8b988ac;76a9140a57e95b1bf862cf3c03b1c12e602f0442ba71fb88ac;76a914e1fe17adaba3338ec693468fc797662b005deb6088ac;76a914f7d53874ddb77124f74742d949a23d9ec5f31c3988ac;76a914d090e2629917fce83d517b22f65b1df732a7317088ac;76a914827b7b5bc4b1e48fe51e1c451c361470ae4318b688ac;76a9149543b150b7f9d1efb27761b72d027701f4f22e6388ac;76a9143e9e24b602b382961357ed807eda5445d080678488ac;76a9148c9360e25a76046c63816a38476253821850035588ac;76a91444ee365dc5924fdb46b8db0db9f8965f1528390e88ac;76a9140aca7ad87e8ed090e2d8823028ea1b2253f2db9788ac;76a9147f76ed0f250d98df17ddcb127a6f68e62e9e626e88ac;76a914dbc2a971488cd942f46f4b852cc165b2d87fa03288ac;76a9140eee34af8a80daad711b52520a960eceb8127aed88ac;76a9147f92bc474f4d80ac06c8f02d57915bf550c8447b88ac;76a914aa19c3daf361b17205f46fbe0ccb526c5a9d84e888ac;76a914754f36491050c2cc39925b15182e0af97c9f724c88ac;76a9140676d03b8b826effc748a062241fd861f4fab58388ac;76a914c008f4c184c98d0647002af1bd47511a4017dbd488ac;76a91464eb5bbd8ab5393cc2e22e07ed63d6ebef5a8e3888ac;76a914e295305eb7e0a8e86f79fd0c5125a1b5c44c6aa588ac;76a9142c650982e58823724e11517306e8de65b0bb67d788ac;76a914c52c18005c5773e5b513aadc31c8a1fed3fe7ad588ac;76a914f770bd8837733b0e33eb0817ccc087ced11901ca88ac;76a914b59e43784f4d3d2e2535396d11ce80db7cc561ec88ac;76a914ac29d7fa0bdb2a63c7f1a28dae32895607f45a2e88ac;76a9148c696cde3168a956d7cb9bdeff6d17b3c534eba988ac;76a9140cb6f1c0e7e968a543379bb5ce61d388c127a94488ac;76a9147c5bb43936e3cf534581664fde3aa9c7ad38a28088ac;76a9142262fdce435f8eff2d28069516eab69ef440fa9a88ac;76a914719ce3de262bee3331ec56068bf9e4f334c1f66e88ac;76a914763f533bd3572d668fb259b65a185813750ced8f88ac;76a9141cf73ca7f2075df1984e91a57983aa75444de0be88ac;76a914309467cf0306dd5a9d782132ae020215cc6a3e7e88ac;76a9144b00b8e49ec20c14f753426e8f0e3e42a5104b6e88ac;76a914af321ff46aa4a569b7902bf92a66ca0f1c5446b688ac;76a9140dc1bdf0a24afe3830579cefd8f42edeb8ee3f1e88ac;76a914ee3b1fd4dcea91460a2c55ae8193d6e4836717b688ac;76a914d1b47911a42a2d1c4d26c42a1b94ba626780e86288ac;76a9147c755030e4fe6386a9cb7aff8d6b3a5ed632d7ea88ac;76a914e205b664ff00fd8be0a78cbee242d60f83af69e188ac;76a9145ef13b4a9f078b7b807d414fc3544196b567ac7088ac;76a9145d79c60441d02be3fe14028982be5ded8b8f283f88ac;76a914c0bf4808134fa30badc06457c3065ded42494fb688ac;76a91414735795fc29fe3fb0983be8218fed6eba84c5bf88ac;76a914444d9c6f323cce2424513849b85f1549ab1f789088ac;76a9143a7ab2cefaeb6345aef29bae00530548f65bc3fe88ac;76a914dd7a879a2330eaddbff7ca726c4f35442e9ba3fd88ac;76a914d28e1e827c4f2ce5af3a57adae0eaf99b73acd3888ac;76a91475491129d19751d0c0e984b510feb14467523c4388ac;76a91411a8919854547989c7338b01634c77fc4b3c8a1e88ac;76a914a460150efc3818e11f28d96e4ae69b1c60d77b1a88ac;76a91404947ccb0400df80b82d52026cd3e6ea6a47412988ac;76a914f8f522d48137b10b0db4b4b702ec0e8936f69b6688ac;76a91480207c9f445b47ec5e2a4607861ea2d8fd87718188ac;76a914e2561b22f7f00045e6dbdfc58cf26d15397511ba88ac;76a9147eb1aff02a2b79c7ec436371c97e40dacfa2191888ac;76a91488985e1db043de28fbfd10eb347f3b070882b8ce88ac;76a914a5aef750d2240b740172e349e7a4eb6ad2b608f088ac;76a9148788d4489e1a43578a6c0968b0d8f280be6ff16c88ac;76a914dc8b7bfa664a3f1e6fbf1912387021607500224688ac;76a914d20646b53e3fe6e2dd53451c60920e920e6ef5de88ac;76a91461e02dd998e188193288e7744f9775f57314a2d388ac;76a914b9b9635221759445acf9724e3fa42a10623c815e88ac;76a914d2236f9f3440b372ff6b82adf163497207544a6d88ac;76a914e8c1fe2df2ffb21bf2109a335ced56836985f76688ac;76a914eabe80ff2219adf238cee601eb86296760534d7a88ac;76a9144a54a287afa5d094f233846407fba86b19dd84e988ac;76a914afaa77471e0dcec3f4fedd39e667737bf7863d8988ac;76a914b5256af108d3004009075175d0ffc1d3afbd807c88ac;76a91410519f2852d61880aa241691187df0a2fab8631388ac;76a914a2555d2d1a9702a9c550c09e61d6573c510cbd4d88ac;76a9144a2c6899eb4b1993bd348241abdcebf93dd0e25d88ac;76a91468212a9bc5becbc88fb79c69e72a55ef80049d1188ac;76a914bcf82a713a320942ce47e073787b48e73ed21bc388ac;76a914596c979cc90c686cbae454d1da79af87e724ebc288ac;76a914013695d813960149bec8bfe754bfeb48c562a96688ac;76a91495ab2e374619aad24375d0e374ee697e9075cb5488ac;76a914d9f4097a319c5c7d7ca9024776e84ac482fa127988ac;76a914d60a86e3722e05fc1edde4b3f18bf37c133169ec88ac;76a914ae84e741f3242a9e211bc36ceebcecff23aaea8c88ac;76a914838151b12bbba4e843aa878ad4cabea5ddae016488ac;76a914730f40ca59fa6c61a140ca07db33f33c143a649488ac;76a914647484ab81427b30333eeaae714ba08a0980a83288ac;76a914015dbc353e51ced0794cd834666e715ff649ee6988ac;76a91458624438e431f9f2c842fbbe6aaf63e3825f4ab388ac;76a91418a99959bce205725051f5ead31c4b88379a4fcb88ac;76a914f6e0922bba9e98e0fbc08543c606bf9a9753afa788ac;76a9147390fb662532f6a46f049fa246e23db8edd8cf6b88ac;76a91488dd4ea28568d6b1de9381acdf81320f960c84c788ac;76a9148171f439c65048b53b286b58f442f988ab0ac3ba88ac;76a9145ddc2e5fcb7ee2ca87a4c87716cf856aea60073588ac;76a914c168323170c52e9a28c4b069da735bffe8d651ab88ac;76a914580d858c05806ce0a0c4d5c725fe70f95aeeee0688ac;76a91489ee15a0ef1f1ad8828e9d5db115e8019a82ed6e88ac;76a914107ed75084c97e366c588ca6fd73c7b0f23b49c688ac;76a9140af27cf6a67f19572ab58189994866937284e13f88ac;76a914f025c7c67f6b5abbfd852906b6abea1f557ff75088ac;76a9149e964bfd4d25ad4e168b50f86ed2a2f32b5203fe88ac;76a91474e9c92f9f1460a1d12c97b26c96dd2d7000f12388ac;76a9148fad8749ef8651f3d87f6a5625798d677bf06a4188ac;76a91401f3baf2ce3015e7861903bc20ac9956acc6176788ac;76a914160767ea477550a19b9fbb7d91cc3047e8adac3588ac;76a914f6cb30d2bbb02fdd0f622337fc66f623add6652c88ac;76a914f2938370bf588930a231c5def93ab4cf3154575588ac;76a9140ff716e46090abb52d53a62a38a27fd0b17d45df88ac;76a91466d60d45b8aa75b88fd1bb4d8b8a7950950dc6e588ac;76a914188ae4c5c9f09bd7deb65dd113ac5ebf50207bb088ac;76a914538790f005572bc8666fa3c80e3cb07211d4ea4a88ac;76a914848777c55f2caf1e5576c563eaf7a4f14e29814d88ac;76a914b9da86dbd68e9b9d7297de2b706c65a0cb41cfad88ac;76a9149b0551defdcbf45fd256b40557bcfb90d39ba73688ac;76a9149ef0d190d4e5ebb2f153ba2035cdb65b6ad3a62c88ac;76a914da9d212e5e9b73b9cde342793aa21f806cd8ac4488ac;76a9141af88a1841569c94c6fb277cab26d635cfd6b0b788ac;76a914ba0b189cd808746a1efc9921665dfcfe301222e288ac;76a914faeb176dd2321e0c73e4276fbda3370507750ebb88ac;76a9147db536ce753378064c58ccc9cffdc222626fd0f788ac;76a914c03ad4624c47049467745c095d17f29b95db8fef88ac;76a914a82afdf9e665b3354ecc63d6b6a21b5073b1d6c188ac;76a9140e395d4568e071968db0e8e775f891021d4c82f088ac;76a91422232ab8c430f4bd1c2520f6a46b4d7fa0a90d9988ac;76a914fa183499bcf8cc1bae1763cf50fd61f9601ec83088ac;76a91427cc7e0def9fb434d51d98ee523bcc1e7514390688ac;4104ffd03de44a6e11b9917f3a29f9443283d9871c9d743ef30d5eddcd37094b64d1b3d8090496b53256786bf5c82932ec23c3b74d9f05a6f95a8b5529352656664bac;2000434f5805c40851f63b6e1097efdedac639c56186622390de4571ac68b3bdd8,,stale,VALID,1a0a8b5f,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,3,stale_only_publication,repo-data,90428,,,251268,000000000000004c4218e72fd5f74b37ea974c9c390a67bc1fa5076dea62c757,00000000000000007eba80d06b2c83753946866b1ddab48e7810ffef8c4c2192,1376115919,1972dbf2,3603656239,0200000092214c8cefff10788eb4da1d6b86463975832c6bd080ba7e000000000000000068682c7294ebfe1cbbc41b5a0b085fbc867abfe60dc6a645e8380ecb670dcfeacfdc0552f2db72192f6ecbd6,0384d503534f434b0000339654b5374f522cfabe6d6db2e83f49045ec3f6f9d2cd2c421e73bb906beebffc7ade653b90e67d7748e29208000000000000002f6269747061726b696e67,76a914537c7ebc5d636725b67b1fd3cc30b4958beb124a88ac;76a914680091efae7c38da3595963511ce660bb5497b5188ac,,stale,VALID,1972dbf2,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,4,stale_only_publication,repo-data,93896,,,255882,000000000000002b4597ebd23e8ddcd97f3d730ade26148e65c390e55408eaae,0000000000000015fb78a0767cb0e0e8fe44a86b9ba892c89f5d5ccb04b73dc1,1378205108,19415257,2190359576,02000000c13db704cb5c5d9fc892a89b6ba844fee8e0b07c76a078fb15000000000000008eccb6da87ca6c48a29dafcf68a941178015ca2dc93ddebf8c21730c351c4ad6b4bd255257524119183c8e82,038ae703534f434b00002b39e97455f5522cfabe6d6d8af9f954f13064888427f043886740b985261e1d0a82ed14d0e31249e4f3a60f08000000000000002f6269747061726b696e67,76a914537c7ebc5d636725b67b1fd3cc30b4958beb124a88ac;76a9144961d42c1b826200712ee20846abe9c1ded8bf8c88ac,,stale,VALID,19415257,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,5,stale_only_publication,repo-data,96634,,,259422,000000000000002586bafdd0588f69684ea95df931f15571e6944bfa406e5ecd,000000000000001aadd1c58e799c417046b0b4c3abcd1614bac49ffe8a2fe4f1,1379860971,19262222,3413412008,02000000f1e42f8afe9fc4ba1416cdabc3b4b04670419c798ec5d1ad1a00000000000000e1250841f05cebf32bdc7bef735fe854d7c788ac2c9ce2789150d4ff420f3791eb013f5222222619a88874cb,035ef503534f434b0000233f306b8552522cfabe6d6dbafe9ad6755e6b41693d118f4132b9e87ea1f18ef01a0ac7b336621a294680c408000000000000002f6269747061726b696e67,76a914537c7ebc5d636725b67b1fd3cc30b4958beb124a88ac;76a9144961d42c1b826200712ee20846abe9c1ded8bf8c88ac,,stale,VALID,19262222,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,6,stale_only_publication,repo-data,104291,,,269699,0000000000000000297d4b57222904867a480b967aea07677aac23a5f124df6d,0000000000000000db1d1860145ccb72cf082a6423c62cf88cd106a8ff81b84a,1384496963,190867f3,4287791303,020000004ab881ffa806d18cf82cc623642a08cf72cb5c1460181ddb00000000000000006ffa4e4e2922003bdf987ffa6cde08c17804c9961d2d03ff4c07e162c2e1645a43bf8552f3670819c78092ff,03831d04534f434b142700001df04ae5522cfabe6d6df16db2c3d3aee015998a1f0b3ed1f14bcf50541492461c727a82de05f87e503108000000000000002f6269747061726b696e67,76a914537c7ebc5d636725b67b1fd3cc30b4958beb124a88ac;76a9144961d42c1b826200712ee20846abe9c1ded8bf8c88ac,,stale,VALID,190867f3,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,7,stale_only_publication,repo-data,111794,,,280012,00000000000000002299e21538b221248f62cc3565b6616043241dca752d127c,00000000000000006de6aa76607e970b0e846b57d49a456de7fb99ce82622905,1389494897,1903071f,1580025349,0200000005296282ce99fbe76d459ad4576b840e0b977e6076aae66d0000000000000000611697d1e78afa2b15295ee41944dd6782c9da688146466c96af622f34e3fcb37102d2521f07031905462d5e,03cc4504534f434b26c6020008f0b638522cfabe6d6d89151517f91d26e94c75e4c51c96d9e37622f6d8d9c32f4bbb2f109c6652760608000000000000002f6269747061726b696e67,76a914005b907e0ac5fa2c1b4cd45c7f3dfcf8628cbd4488ac;76a914bfcc2363bec1873cafe0d2666272df246d2177e988ac;76a914d17fa0b65692028892d676e6c71946b038496cd988ac,,stale,VALID,1903071f,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,8,stale_only_publication,repo-data,118204,,,287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,00000000000000003128aec80755ff8eac6687f4342fa2b07bd9544188f5b606,1393144007,19015f53,1235812435,0200000006b6f5884154d97bb0a22f34f48766ac8eff5507c8ae283100000000000000009a8657b1004ecd30beab74897da3aa22f42f71de7e6121c0b93570bb33359223c7b00953535f01195300a949,03796204e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d2904d7c3e0a258832b82f77b0d7182c8959acdfead86aadbdb64cec513137efd080000000000000015b07bff700000004d696e6564206279206c616f77756b75616e67676f6e67,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,9,stale_only_publication,repo-data,118319,,,287443,00000000000000006cb09a541723399a86bc36a3ffe1624a128d88703ceb0cf6,00000000000000001142365fc27f51b079d1ca0c177d26b34ade59034839fb56,1393190980,19015f53,2375590135,0200000056fb39480359de4ab3267d170ccad179b0517fc25f364211000000000000000014a0735167ee03d4a9afff7a1434b98f3fe820a0116d50e7eef9b3208465915544680a53535f0119f7a0988d,03d36204e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d14cadcae8b263ac1a2aea19b8c8cc992041ff84afa7ab11e3f6fd46bf2b453c608000000000000008bd9eae7000000324d696e6564206279207a616f62696368616e67,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,10,stale_only_publication,repo-data,118337,,,287459,000000000000000124308a2000694ed138acfd238501d840ee7025109e4c0b54,0000000000000000d806b1a742b87a5e8eaaee29afa81228d1149a4a3100eb8e,1393198410,19015f53,2557406018,020000008eeb00314a9a14d12812a8af29eeaa8e5e7ab842a7b106d8000000000000000096dde7ca85e08c422b1aff1a491b2c90b1f11b4a7bcdf01b52506f35898907244a850a53535f011942eb6e98,03e36204e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d81a8995b37be2a309a3f4abc717c4b7fd5303eb3bdd6208a2e546cb1644a3acc08000000000000008372648a00000a5c4d696e6564206279206c697869616f71,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
groupcoin,validated_stales,data/validated-stales/groupcoin_validated_stales.csv,11,stale_only_publication,repo-data,118561,,,287728,00000000000000001e64d45c02bea16fd65e9633b7036d48721ccc974f5af2b8,0000000000000001058d82ff10304a1612b5bdace7cd1c5a0880778387ccfbc7,1393322895,19015f53,3833249601,02000000c7fbcc87837780085a1ccde7acbdb512164a3010ff828d0501000000000000008ed8e590ef9253c438f2229d2d980565b526c4c9e0fb5c20bb0589ddb51983e48f6b0c53535f011941bf7ae4,03f06304e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d5e694f7dcaf098a31957771eaaf7e7767878146b99f813269d0aa6af1ef02e740800000000000000523ee515000001154d696e656420627920737a7a68383838393939,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
