chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,2,stale_only_publication,repo-data,43156,,285130,000000000000000125976d8cae1224afb0f85b9790257032e1dd0fdc1df1357b,0000000000000000ca938692058d88810a32ba741cac193a60962d48df95a549,1392047307,1901a36e,3861042955,0200000049a595df482d96603a19ac1c74ba320a81888d05928693ca000000000000000024e1794d3453c051161ec6ed221f9d301843e6b74ba7f7e1765130a3962d8693cbf4f8526ea301190bd722e6,03ca5904e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d882e95bd43e23e8268dceeaa5a4607bfaa9d011935baec81b3666aef38c2378e080000000000000020d3a31600000d00000001274d696e65642062792068656368616f646138383939,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,1901a36e,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,3,stale_only_publication,repo-data,50905,,285818,0000000000000000f61d8b36a8642e573a81248e5d72fb479d80e14ff723c77b,0000000000000000f9b2663a59dba9cb162b5c5af9b8e6eff75da99fc5d16c22,1392390538,1901a36e,2024945988,02000000226cd1c59fa95df7efe6b8f95a5c2b16cba9db593a66b2f9000000000000000063c7fbf56b19901e88f1cceb48b2490748922e87cc1a5f4b6fa401399cec5c838a31fe526ea301194439b278,037a5c04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d69dc09f3759c2f7c5a77e972cbe97b4da4aac38e6f9ecd1691e0cf5a244c299508000000000000003f15fa6600006ab94d696e65642062792062697435636f696e,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,1901a36e,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,4,stale_only_publication,repo-data,51336,,285869,000000000000000132aaee801041431fa3ac66e61a5ffe240b08a25f32b863dd,000000000000000080fda0d11076f87896f31316261f882d13eae6a949845519,1392411945,1901a36e,867596807,0200000019558449a9e6ea132d881f261613f39678f87610d1a0fd800000000000000000edb4924a898c29ac9e7d57de1cdc4944576ec316f1e6bd4d1c696a12471512fe2985fe526ea30119077ab633,03ad5c04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6df43f1fa6c771658caa14990e6da1964e50d9474ac295be691cce59098d809153080000000000000017ff4bac000001244d696e65642062792077616e676861696c6f6e67,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,1901a36e,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,5,stale_only_publication,repo-data,54861,,286299,00000000000000000114468c1ca7d0a4fba19ba0f7f9e87e9841374e31d7cfcc,00000000000000015d3d9b5d102155811614b190ccb143cf77873da1d7606f9b,1392610121,19015f53,3744136136,020000009b6f60d7a13d8777cf43b1cc90b11416815521105d9b3d5d0100000000000000c26b725cf5cdfca6909705fbe08c30f70e21add535e83e36ad7ea1e1a328002d498b0153535f0119c8fb2adf,035b5e04e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d42465c4384c0403f8a5fa130693353476d3c1ae16e8df09297a6fcce3e62c2e40800000000000000aa84a34300003bf64d696e65642062792073757065726c7463776f726b6572,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,6,stale_only_publication,repo-data,63678,,287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,00000000000000003128aec80755ff8eac6687f4342fa2b07bd9544188f5b606,1393144007,19015f53,1235812435,0200000006b6f5884154d97bb0a22f34f48766ac8eff5507c8ae283100000000000000009a8657b1004ecd30beab74897da3aa22f42f71de7e6121c0b93570bb33359223c7b00953535f01195300a949,03796204e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d2904d7c3e0a258832b82f77b0d7182c8959acdfead86aadbdb64cec513137efd080000000000000015b07bff700000004d696e6564206279206c616f77756b75616e67676f6e67,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,7,stale_only_publication,repo-data,69694,,288064,00000000000000013b382f4dbe4aa4284de70311467860ab31245223856ac159,000000000000000018ec387a7e79fbacdf875382b4ed1574a4630ef357e8509b,1393488320,19015f53,2697110754,020000009b50e857f30e63a47415edb4825387dfacfb797e7a38ec1800000000000000005fe1b87c511b3ef96e6098f3de4637b2473ebf9c30af77e7e21703b0d5030af0c0f10e53535f0119e2a4c2a0,03406504e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d437b4a48724d8a0ec281daa5f0cb33732d47190acac4e44179641bb40304fc2d0800000000000000fde712b900007c184d696e6564206279206632706f6f6c79636a756e,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,stale,VALID,19015f53,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,8,stale_only_publication,repo-data,71026,,288225,00000000000000003e51e196ad803e5dfd21c2598721ff3e929b9432b3f30cfe,0000000000000000fe1f6d01e645c8796bc21273e4b84454ade90ab404993d2e,1393567239,19015f53,1291898218,020000002e3d9904b40ae9ad5444b8e47312c26b79c845e6016d1ffe00000000000000009331730c87ed7d7fa02620498fde12b4b08715baeeb551c072572b1e99ed985107261053535f01196acd004d,03e165040e00456c6967697573005310260701fabe6d6d714540a0814863561868413ebe3d044afd01fbf455277fa316667b9259f397370400000000000000002f737333362f0010619a0b0000000037380100,76a914506fcda71d03eb16c071a3a3b68eaeb5a50a616c88ac;76a9149c92875d69c91e53220b6f43c4c7d5645abf326488ac;76a914597551fd12c48e781acbb14783b579be825705e788ac;76a914aff73a27fc6f08a5612c8147bd6eca9e16e7e2d888ac;76a9142a96f5e74afb96a90527685fbb8af0898a3c273688ac;76a914d0bd7eac395f8316129a9a68f84340cb7ab1b4c488ac;76a914b705bba641c5aace28d846cdf09ad822b4b5099c88ac;76a9146386ede2c3983259ae3836db13a4cb3d3c8eab8e88ac;76a9140e140244b5be7dd833ab77bbb0ad83eae9fa248f88ac;76a914a9e4cf54ea4ab48e9cadaf1f4ed129a116ef4c5988ac;76a9148a1ae06e5142a5645b08ea47616995ed9ba3b42f88ac;76a914c51afa6420d067a4f39b337ecea00851a070b92988ac;76a914857055e393ef6567b01ec2aba76ec64fc4b4cd2388ac;76a914845c38fdee073d194f1062b1d0b049149ab8723f88ac;76a914dc28e96990ccf0352079cd03f91b3b84c7e337b788ac;76a914f392ef0f7d564ee2c9dc7aaf3170ab2b95576e6388ac;76a9142133752f9793e92b221a6270b7a55706e79472a988ac;76a914a72cab69d8a1748729a2798834dc3408c0e0f5a288ac;76a914ec7e7c6083ac168c9ec04c56aa71d4e52833bcf888ac;76a91484d4a011b2a2174ad7f4c0c7d1a3471092fa763c88ac;76a91478c063d76020afe3f71738213ef83a1f75321e9588ac;76a914bbe21037fc51bbb44596abcf16eb103a2adf0dd588ac;76a91476b79e25a545dd67f24fac3a257aabfa05c9f41888ac;76a91469a6c0419898bf4897510dbadc2049e25de5b32688ac;76a9148399dc387f68165f38c7c88636e58bdd226f664588ac;76a9146598ce517a2d48846d1e2c51f9cec502b53a118688ac;76a914a5bb2b193c9b016a1e3a85bda91899d87d9cd81488ac;76a914352406d8b78c1075b787522050728f9fcc45ea2288ac;76a9149626dbf827ab3a839ee6cc0bffb488e9ed94d01c88ac;76a91416df91932986469172ccafe67867ff6166c93c8488ac;76a9149e05758c5cb9e9746dd58a4b27bdb25068290a5b88ac;76a914c5774de361ae26f516e1de8e59bb84996dafee6588ac;76a914403a79ee57f53d24307c38df725c43734647d68488ac;76a914d5a54ee271085b16092ccc6f73ff55d6809611b488ac;76a914e72c71fb8278abfdf9ea0016b271ae54ef2b49b088ac;76a914d0028b478f7be775c0454e0a8661053b50fca0cb88ac;76a914bccba344ee2b321388c2d309f9193af5f6931dbb88ac;76a9144d0becfe3d0515545cb2760ef11e2a9028f6772d88ac;76a914a6a62ee26d8397e84b85c0b088d7980fa86ec42e88ac;76a914e3d1b8f130e7e4ac2939a40688dfe1769a3e429088ac;76a914b40a2d3dce0e4b845faa8933338b6a9ecbfbf16288ac;76a9144b53e72abbb42cf8eed66a283e6f6a3c3d65e1d688ac;76a914be4b0a772235381657ccda9fcbc5be09d4e88ec288ac;76a914cc5f584d49afc4c419d3bb7e83de21c50d50a40588ac;76a914a8ca6a5aca0a871ddff2e2cbcd05851c5d1522db88ac;76a914bdbb5010ca2f540153e8402c0558129391aa420d88ac;76a9141480fb5c7021365061f3b599eeeb4a90609ab07e88ac;76a9149449b7ed0ba1ed2c76aaba553aa9cbeaf806a70588ac;76a9140b167279e2599ede678a44d5514c5dd7db07c7e888ac;76a914e72d2e00081c3c98d390060f1fda4d467211710e88ac;76a9146f86bf5ea47fc190dd0e73ce691f2e942a98032288ac;76a9147c9144ab747ba36cffafb4157fe0c539630990ad88ac;76a914655fb2561b61dce4c958586d564cbab8ffc9b6ef88ac;76a9143b613e66066ebc0da010926b4969eb81f6812e1988ac;76a914481308a5fe7390bd93ce4818aea8d5b24c28e4af88ac;76a914d810abcb5563f9587aaa665df6f8a5fdbdcb423c88ac;76a91492dc10b98c4e8ab6a7d73e6a45e2f22db36cd81588ac;76a9144852159f3b74036ce3066b3b3a70a3d5bf64f06388ac;76a914913c7bc4d0d432837e00f6cea07932ac41cbf78588ac;76a9149ea23893af1819e384d6ce7698a5d7d98981766c88ac;76a91449838884c0d42b1a25cb7770fb83d410bdd61cbe88ac;76a91425bfa27961a6c2998a4d106d0f71c24233d4961d88ac;76a9146acc7adf12917e664d144a4838f098fa80f824d988ac;76a9144bd665e45997eadbad66d3bb4f1790ab7802b9d088ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,19015f53,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,9,stale_only_publication,repo-data,77229,,288885,000000000000000027c9f0bdc38ec3acac09db6e4ebb43a93090bdd8960be64a,000000000000000104a4fa6d187e33b24aac41326e382020a35b25caf3ecec85,1393943768,19012026,3519782789,0200000085ececf3ca255ba32020386e3241ac4ab2337e186dfaa40401000000000000007aa35ce7238a453bb8f290b1bbfdfadf80a5ba8677c69a1593ad0f8730408704d8e4155326200119859fcbd1,037568040d00456c6967697573005315e4d8fabe6d6dadd794f6f5f189ead61693f9181bc2e9bae41fa67a23ba40e334cc042819ec420400000000000000002f73733331312f001086110d00000000a2050100,76a9145641239506687b5745685bf8df784ab4f23f8b2088ac;76a914ed6c8ff00e07823bfdf47a50cf6b7287f15d77c788ac;76a91478e77f0fd2e824854f34fef6e71d745b5c1fb7c288ac;76a9141f35726201beff7be6a9db273c50950da0f22f1a88ac;76a914af016330c2ad53b60493a26d6b7276c5fb4d4d3788ac;76a914175e124fc68fd793583c64aebea7fbadc2ee018188ac;76a914ca2e3eda11f833bb53732ae913259025853a5b4188ac;76a9148eed3424c724fd3defe0b7ec9769e86da4e1938f88ac;76a914504cc65099c20e5df6aea7338e220b1b8cadfb7a88ac;76a91444eb4e76858a1da1150f6aefe66c9638d4207eda88ac;76a914d7b411c7c5268a8e7aed69181ca81a029909deb188ac;76a91415011324e6e29b9c52e4ba52a6a1b0dd445f020888ac;76a914bbb53926b8e57640307ed9324fbda6a1885d5c2d88ac;76a914b6c3b6baec2522bcf6c3b46e6f67a78cdba07e7b88ac;76a914b1b3b5f8019177b9260a567a08a64b19ea89e8d988ac;76a91485e57393e5845b1f341e5c774e46e0fe9050934188ac;76a914d1ef01676d87d83c792a2013f3c857d2fecf718a88ac;76a9145a1d6314b9ed1e02f5d206fb2ee2715a93887aa388ac;76a9141b9a92581e705f7a71443cb5f3fe5651c653e39f88ac;76a91485870ab4239ffaaffc6067bb7f35d9a9a81e875788ac;76a9142bb47d7608e7c2d514ee8a8acd1afd1c4647842888ac;76a914d85f7ee6aab0cd4e88d58ed26dc1496f161d7bfc88ac;76a914f5aa6b67bbbe60cbd6ea025a6e63ca4c48a479cb88ac;76a9144d65167dbc0e929f0bdc82375dddf3b914e78a5f88ac;76a91489c88ee40b2e50e39e1d4ea05ca52441d546c3d188ac;76a9145927344e606061d6fed5a10feed684b596c0aeb988ac;76a914bd19fbf52987f124c960150bd01b5cd5e665926c88ac;76a91449eecc693c076c892389a4412b87519f099e551688ac;76a914da4a2a825753086eb15037e62ed2f3fb02404be588ac;76a9142e834affdbdaa56bb1def22be21152f40b2a9a5a88ac;76a91434a4bf72a9a97716c80df386767f4220f3c4fe5588ac;76a9141d5f60b443d3a2cacf7473445c7a8d09bd97a1dc88ac;76a9147334e44623b1d0656516ef0a321a9c3aa32e0f1388ac;76a914f2d364846c8280aae733eb8759ef95fe4963f03a88ac;76a914ee2d2717d709e37843a5469312a33eb6ad5a47a488ac;76a914ae4b8b44acb3a19fbfd2f0f1f233de7b07ab289088ac;76a914b8eeb12787b3603da28d51195d971678714abf6688ac;76a9140847eb2343870a24d1aaf56d534cef148d7f6dc788ac;76a914b49ae8df5d31d14120d9d8dea9c8c80dfd59f1e888ac;76a914460775096f0a70df475ce7d436838802c42630e188ac;76a9140c086471055d3984f42028596073c71dac06d4f888ac;76a914c29f1944cd3c7602fa453cfd9662d67c9ed3eb0588ac;76a914735570111c294fa5a8ebc71eadd67a05d32798af88ac;76a914987163554009867622ac06ec54e735aeb32c53fb88ac;76a9143272aa927f4d3508c6896e0e5eca890147c8f1df88ac;76a914f7bc06eae2fc521a30d59f61225f49f9f89e944d88ac;76a914ddff6d9445e145e2866911653a99487cf02c901288ac;76a9142f01cb883ffd3d0952fd8776f86edf8aa50a74e788ac;76a9147dc5b0658873d78f5ec80d7f9c0f1b05da2d5f5a88ac;76a9145179983ed6845ebd2188e0a8b436eb8a7a421c2088ac;76a9149025b2d2443848abd918509ea596e456bed6b2e488ac;76a9141f2e7abfca24fbf4a83f81d85ff4f64e4073d30588ac;76a9146a54bfd6239f248ee409195129c98eddc74257cc88ac;76a914076d4ed7bd7e854cd442addb060e9f3f3bb9166588ac;76a9148e559b599e5bf759eed7587e0c05aed9c0dc733488ac;76a914a5b444eaaff9ebb61a5e95d2769819a42c9fab8c88ac;76a914d6df8c49f4f92e98a41194eba486ea243a4c684388ac;76a914eee98abdca547a36f79eb1badcfd0cdbcc27ca4588ac;76a914c65779c9db17fadd9727f88725d5fc1087ff63ba88ac;76a914a39727d222ac2cba0a6c379b46b561b8cc7a2d9088ac;76a9148f7db53aca9e50051ab2abee81d2b55cf0ca44db88ac;76a91440422a9496fd5d5d254015cc2f53d805d505e0f188ac;76a9146491d4e2057e70a3d62515812ad095900ea191e888ac;76a914942b9ec9f5a6438ab170632f9e75dabf8a2a2fe988ac;76a9145abdf3bf2e1748dd0f38911f2fe966aa3499ccce88ac;76a9149f0f6350c1aaf7033508df1db28d46262129a6ef88ac;76a91494e91f254f9c30a36610faaaf9aa1f2be4847b7b88ac;76a914720b13f90cfb675568b99ae88bdc41e0b9612f4c88ac;76a9140d38bf0ee19143f2269e21ec730ca10f33f26d5888ac;76a9143626ebcb1c4257bf9166a8b7c5a7fd509ee2d43188ac;76a9149860ea02c9d681161c0e41b099461ce4dfcaf71f88ac;76a914ac84a476becd0b754a8ecb89005a0b08973dd9e388ac;76a9148c3b98964d5053adaa1cc2f7950319d5d2273e5788ac;76a914fcd4c30bda49a21f1a302883f61848887dee116e88ac;76a9146e3b3eec56d49020c0fa0ce9fa7aca97ca4c5c1788ac;76a91475bed242e9b2cf5b4d45ef9f052be369067eae6888ac;76a9145b6e032009e660b6efcc3be11cc00f588b71048b88ac;76a91477dfb5624e4af7147aa86a43ad4bbd7e0c793e1388ac;76a914aba3a2ebf0e7ef93051badaade71a96882628ccf88ac;76a91479b3040b059e73c4fa0ac465c782daa7e8defd0788ac;76a9145e2fc1898272fc8a9e122281fafa0e333ce8af6988ac;76a914eef27f5539e73cc31086eb3d7e76c538216176f188ac;76a914a1e02eb9303a89fc52bce380e41b06cd2253268788ac;76a91411621610607a6fbd12caaf6a17446e9690a8d5f288ac;76a914a982c0d5f7e9a383fef60ba1c78ca4e95f7b7ad788ac;76a914cdb9999099dbcb0b8a931fe5d486a833cdc9424d88ac;76a9145ec88542b09c462be0698f0e722d49d23c641ac088ac;76a9143386c699ecdbbe06b89eec52cf4673aca1c9fdbe88ac;76a914d5af3189889e514c7a9cc12ee4a11e7d239862bb88ac;76a914e1cb8e34fe82e24cf6109c4ac29e0d785b051e8088ac;76a9148a0fa65951a2a834703daac0d71daa5bee28114288ac;76a9140e140244b5be7dd833ab77bbb0ad83eae9fa248f88ac;76a9143438fb02ae3bea0c3b6b23f21154abe05b84ad3388ac;76a9149346634b05bae2b8bc4234b9c1f1bb221e44dc1088ac;76a91492dc10b98c4e8ab6a7d73e6a45e2f22db36cd81588ac;76a9144421c694cd12f6585d99570ff7bad2aad0670c3c88ac;76a914e2b78119adc7f86b5dfc370564290000647b930d88ac;76a914a70482ed65f5cca61d0e6a717cb9e94217881b4d88ac;76a91407a5963f0df842538e3e2ae98bd27d2cea62520f88ac;76a914257a2bac1713e2a95c8830480b6999f79d72fdf288ac;76a9148c6931bf276096b5cced906351c7f8e24bc1fb3c88ac;76a9148c7dd5682860ac822f8a0ae4978d0bc1b0544b4788ac;76a9146d88c1bd0469122ed849bb151a0352651dadaa6e88ac;76a914f4daf82da7339dc96facaa23244a7a50c7d8bf2f88ac;76a9148c517d1c45a8687183400ac6aac0b7758f7ea0d388ac;76a914f9f5df74be697a23fa8410413958db5fa8a2da7088ac;76a91484c40bb7c314ae506a7c7a9388039bd416d4ca5388ac;76a9145df8234be332a52d62a432f7b43bb79aac1a60a488ac;76a9149a670300324d6de7e02c6e4923ff2d45f839b89688ac;76a914cfc2ba975b5261ff0bc07579ac6eaee02987848088ac;76a9140516bcab1bfda2380e286cc6961cc688453443c288ac;76a91456b902151f9296a056f23b9bd27b453b520cf1fa88ac;76a91482dcad9d4c8cc5aa967b8216b858ce91eec7c30a88ac;76a914d3f30addfb4230140ebf720b6b0314144d1f96ed88ac;76a9144d14ff388d47a88dc24b8e14752f76ec0843813088ac;76a914f68f08aefadc6ac6bdaf38f7590163ce17e92a5c88ac;76a914ae0fbeeccab8d77b318660fdfe2869ddb79787f788ac;76a9148982a984f7d2a11aafd560ea2a3140031cc5185d88ac;76a9147f27b18ac08ce94a933641d117e087d39540128388ac;76a9143877b908e3f44445c22f7644a6618f08c8c83c9d88ac;76a9146bd70bc1d501811a9522a58f7d18edc5e8f8758288ac;76a91444edb0690ed830e69f3e1545ae8d70df73489e5088ac;76a914e0ffc260f75f5cae95f9f6dc4fb4c8262c76221b88ac;76a914f13a69963136beae1af9f5bde1cdec2f41af2ee788ac;76a914c2d7f6a5ee90da98e04d53f01b55d774b2e230bf88ac;76a914965b324332188143f64355e56d78004e63af860a88ac;76a9141ef00eb132998442c8b1b41c30d4953d3de5896a88ac;76a914817fb55106d2a485cf8aab013b4ead28adb6eb4288ac;76a914a76f96a3b79266c9e8918560220f3391a6140c5a88ac;76a9148883436ced98b8d655126d0d9be195edac8b0ab288ac;76a914caeabfcbbf06a3ddfab578d5f50f90de5b9d0ebd88ac;76a914e28b92c1d3a6cfdc4a35e24cdd3fdf7080b35eaf88ac;76a9140a223de0562e5f91be2ea34cb727200ca16941cc88ac;76a914817f65cea5e15b705c2d7bd6477807383ed609f188ac;76a9146855f15671626b49735b79b75ee7d45c9000123688ac;76a914bccba344ee2b321388c2d309f9193af5f6931dbb88ac;76a9146a231371e59eb7e625a83147308d7ba2965dcef188ac;76a914460d94904931631d5ae3f90adfcb1dc5bb05db9688ac;76a9145df1693fa1d45334003304df52b2bafcad099e2a88ac;76a91458e8d4bfe13c3f0d8ae53e54d39ba14b560d4ed288ac;76a914c172c91fea61ae05a50675fe379f5dc9cfb279df88ac;76a914bdbb5010ca2f540153e8402c0558129391aa420d88ac;76a9148041d74e20e69ebe3ec37c57434cee842ba1bd1688ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,19012026,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,10,stale_only_publication,repo-data,77259,,288887,00000000000000001e619b8262012bc801cec590937e9ae95237940df4520c05,0000000000000000a526792128ebdf08a2e23aeab27a6ea0b32aabb4c7c88947,1393946000,19012026,4271031401,020000004789c8c7b4ab2ab3a06e7ab2ea3ae2a208dfeb28217926a50000000000000000a4859077f502f647627716e96b4a098301afdbccf14133648a86505a4c41ad0690ed15532620011969c492fe,037768040d00456c6967697573005315ed90fabe6d6d2c7e686fc60d44782e0fc3d0860253f78c6d422c91bd3726bac2b591fb9e5d480400000000000000002f737332372f00108efa02000000000f2d0800,76a9140493d62912ad4ae27c4dccbbed253cbc711d31a988ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,19012026,,,valid_direct_stale
huntercoin,validated_stales,data/huntercoin_validated_stales.csv,11,stale_only_publication,repo-data,80346,,289235,000000000000000027fe47a3f48bfb6210905e5fc0ccc328592c5905e3f1669f,00000000000000004e3b78bb5bb9bf1eb78f2c538611796e462f12bbfb2315b6,1394132008,19012026,2106656044,02000000b61523fbbb122f466e791186532c8fb71ebfb95bbb783b4e000000000000000040c243e04ef7bd41885f8e89a7dfd0f20145e99d6933f8fcbaceca48a70a091928c41853262001192c05917d,03d369040d00456c6967697573005318c428fabe6d6d7f51899bfc2d97e0882d5fc7910d31e6be198fad19b5c9d5b599a36a6bce904d0400000000000000002f737333322f0090e15a0600000000ba6b0000,76a914042d92f5e973559ad0502ab52d2512264899f5b188ac;76a9148005dbf385fde39336b7ac01890cb466308e94fc88ac;76a9140af5bd863b9c9448db5789099cfe8863d2cbc15088ac;76a9147c183236d90f9fee1868a37b66b93c22c7c6b6c488ac;76a91437acb94f6a212a1ae091945b8fe7f78e01cbb4ce88ac;76a914bee5ecc57749f569f05daf1191547b074a24a81e88ac;76a9145a073a3cdc8c21856930f14596fe1a8e0152d26a88ac;76a9145f1a6dc5a0da0ad4de0ceedd2a3c3d3e7e9ae09088ac;76a914ecf0dfe07072afaed4135e99c70072cce2235a7f88ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,19012026,,,valid_direct_stale
