chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
i0coin,full_inventory,<chain-archive>/i0coin/classified/i0coin_stale_blocks.csv,1854,full_classifier_inventory,archive,1525818,,,00000000000000000cb7a20ee4e199e347ad7369936abae53a1518efa531ec61,0000000000000000155f2519d35cd5d2869900bcc5093594b27763a0315390b4,1435978124,1816418e,2769231577,03000000b4905331a06377b2943509c5bc009986d2d55cd319255f150000000000000000334590846af20915ea38e90a4f4c5cd3cd42273ac2be57c59eb132f2be40cde08c4997558e411618d91e0fa5,03d58c05e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6d08024815ae59883116796dfdf1f6c4626a66e744f25569786663a89f8a01c39010000000f09f909f4e657720486f72697a6f6e73206973203132333539353038206b6d20746f20506c75746f00,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
i0coin,full_inventory,<chain-archive>/i0coin/classified/i0coin_stale_blocks.csv,1855,full_classifier_inventory,archive,1525826,,,00000000000000001301bfd6f566a421c7eeba103d09b312032ca065cb185de7,00000000000000000966d65e0fd87d1d5a8f154a2c955816c28e2006e381aa18,1435978576,1816418e,2983296319,0300000018aa81e306208ec21658952c4a158f5a1d7dd80f5ed6660900000000000000009e932c2f6dd01e59b22d4603bae975f0c860433839a338418ebccb0b01e0db32504b97558e4116183f7dd1b1,03d78c05e4b883e5bda9e7a59ee4bb99e9b1bcfabe6d6da8c523c71a403b17048e8ecf499503fa3279a01afa9fd84b814b592fd92062df10000000f09f909f4e657720486f72697a6f6e73206973203132333533323739206b6d20746f20506c75746f00,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
i0coin,validated_stales,data/i0coin_validated_stales.csv,2,stale_only_publication,repo-data,179844,,160948,00000000000008cfe36dd6a59385e5f85540025cf5b386cbc73b32f63daa1b77,00000000000002db0b0bfd938bdd1e968270eab5a72f9ed44058a2de09eb061a,1325885242,1a0e76ba,1168215502,010000001a06eb09dea25840d49e2fa7b5ea7082961edd8b93fd0b0bdb0200000000000033bfda14acefac57eb26d094dd69e9e46e9f6436bec3602b9d2e28428a12845a3a67074fba760e1ace8da145,04ba760e1a0137522cfabe6d6deb3bf89ca2eaeb72fb03ef217e0e22afba56fa80069b24b4d7b17eced1f0f9e10100000000000000,4104655fe6ea45eb3daee86aac927f5b7980b326f62ca4df098ec615ed22496b721162093818ce231bb5b935b54b5dbe7c47323e63169e37ccd5cdfdee2f27fb9ae0ac,,stale,VALID,1a0e76ba,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,3,stale_only_publication,repo-data,185443,,161761,000000000000060f6e4816a68a5654dfa9e6ed37b214853dea9fbf0b55eaf649,00000000000009c4b8d4140b1c8cb0a2916d70653580c3c08bd8bf9abc0ba246,1326321846,1a0d69d7,3042460540,0100000046a20bbc9abfd88bc0c3803565706d91a2b08c1c0b14d4b8c409000000000000a96e4c80539e297bbf7bc3472daa135f73f69ebc94e9360e10bf97f2ec603c73b6100e4fd7690d1a7c4358b5,07456c69676975730299442cfabe6d6d7c5367132a6070f6b43a06dc4d6e03a38c68eae3a085d15c806391a23ff5e87e0800000000000000,4104537ac9f10c6e783e630e00802657a38287ad044cb4b24ba26a97bbfddd465f355d242b586d59b919d015abd60e581f0689a357ffe47bd3d3730a910a1175f9dcac;76a91478bcf62fd3995681d8d6e5a714178547850d0ddc88ac;76a914be00333c4915f72ea0b2fc6a167e980cfe660af288ac;76a914649374cde08f7ab8e306ddca97890d407e756af488ac;76a9146ad47e26a21e5c5521b76eb11a3378d5528a436988ac;76a91480d9db836764688c1317808e5c62fbbcaec662e788ac;76a914258fde04346b111f0c116b89620bf6186e72aa9088ac;76a914be0445f1cb8916e2d3d8380b5d39c0eed620e54a88ac;76a914e7353105e1dd412eb473bb981b1244aa471a304088ac;76a9143213e4e884d1dfad34a563271894ed76667abcea88ac;76a914e5673d0aaa04d7ef76cac33443c4d65f1f9d3abd88ac;76a91457476a81004cc11720974879ae084209e5121df788ac;76a914ad708c092091e9541e62f84212e16a425998538b88ac;76a91479dcd42edef81cae93ca4321537fa2a431ef0e5a88ac;76a91417217c04436a5ea3f6648aa3287bde544435ac3688ac;76a9140a1f4b80a6f6709cc8539e0af61f9b2acfd803c488ac;76a91427826db76f38ceae4b1eeabbd2efc8b222d3d80f88ac;76a914cac51e198e50f78b352b7543450d4adb19a1ecb588ac;76a914e8ff106e7bc09d6a230e6c59438d601814e1062f88ac;76a914fc31f9e640ff5aa7334fdc181bc0fb342f2fce2388ac;76a9141ba5c1c3c0916014ee18f35b2c8972d974e0c2c688ac;76a91449f283b876a0952ac8a974d4e17bd1d82893929288ac;76a914260a878df095dd1d3c7107494e9e7d577814a88888ac;76a91417ad6ac1056d12cc67661a24f4b30cf989dfff3488ac;76a9149d7ec767cea1a4f3d0de81ee223d00d91555138c88ac;76a91486d38036e66911b8a2f66d22efafd62189ed2ac988ac;76a9142f9df4e19b8473b9345755e29829e801baba01ff88ac;76a91415b7c62564484644a8af02767d41a7cb1e4dc4b888ac;76a9142de17c20ad4acd2eb0a6113b16a296e91dbed2e088ac;76a914c784d5639cba9cac3ee83b8419d0df127f814dac88ac;76a914abc5ef57aae67bb72627fbb58ecac658a066283b88ac;76a914602c4f1859b751edad211a223b9a5f3976ad008588ac;76a9146e56ee785925e6b8c70af1b4891f439986b6ec5b88ac;76a914c37af1c8acd52f69c1583777007078288729bbaa88ac;76a9142dbd943fa4480987fba00463944234550a6d94d188ac;76a9149c25ab671101eddf030fc91183ec15ae7fa48e2288ac;76a9142777969c44603d882a064e693276be0b2a552b9088ac;76a9148e49dc353c3d09ddd992925066a80486ce79a5f988ac;76a914d70b855169965501963aca763799f01b110a755388ac;76a9145c75f2bda4853b40e66d73330d716f9e29fdec5488ac;76a91441612d65fddff0f2f82af01676f033ebaee9ce1d88ac;76a91467cec2520fd4a12f815f6b69601a30ba95e4e1d888ac;76a91476ea1118754fe1c7bd7e6e5a3bbf0a58bb50793e88ac;76a9146284a45230cf59afc7014972809b33fcd697feae88ac;76a9141c0320b4b7d9f4462176b099412804a75ce1b0c288ac;76a9145dc4028d9b34d6d7ead793d9c655e91401f421e488ac;76a9147ac2b007faf68d60460f26884f41630a0c84bb1f88ac;76a91471556a3df90c4bfe9e3b0dc1d17b96bef721c15088ac;76a914e2623bc4fb3cf9d65042ac3b87078257037fa81d88ac;76a9149465fdac29b5c47b99c8d17379d0fc6d99c1e4a688ac;76a914cc48bc094901e59d9f696b4d8b5c6045006bd33188ac;76a9149eb551c3924ed46408b3616242db21b7fcc7f9a288ac;76a914959ccd483cd07cb7ab9c63ae088d36833e52a29388ac,,stale,VALID,1a0d69d7,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,4,stale_only_publication,repo-data,196129,,163226,000000000000004bea0f213d7a35de50c18a865088c48d1b48fb61c5c02ec4fa,00000000000006ce4d139f5019593729287c90f7f609df80dcd1c4c13d659c2b,1327161211,1a0d69d7,3471661631,010000002b9c653dc1c4d1dc80df09f6f7907c2829375919509f134dce06000000000000f4d9e6ad46d7ef391b0a4b90f4cc491040060d29043a9c8d5c8a198add5cbed17bdf1a4fd7690d1a3f5aedce,07456c6967697573025f272cfabe6d6d2bda981425630396c2844863efca47fc5643db1e94e760813356ec18bd8b827308000000000000000f4e4f5032534800703273682f434856,4104b564da62393ecc445dadce9fe49686e7180db43ef0172a15e6ecc1cf8936cc9f17982db674f7c8497d1dcfe34647783a647360407d091e8c9d61325c053ed0abac;76a914a3124b940eaef5647ec4cedff4f355f1044680ad88ac;76a914be00333c4915f72ea0b2fc6a167e980cfe660af288ac;76a9147b57cfe0a1e0ad8af7858ec66625e8b6abb18b2888ac;76a91449f283b876a0952ac8a974d4e17bd1d82893929288ac;76a914f7a41345a67089da2f15840b04cdcbf03e6de93a88ac;76a914d15f121295a634b9768c9afd46e9823f772b758788ac;76a9146ad47e26a21e5c5521b76eb11a3378d5528a436988ac;76a914cedd74a429273018a836fcc9fd74d1c92563262e88ac;76a914f89644e8a778cd74c77d79060c3d2eecba75ddb588ac;76a9147f05ce804cc6bf3db216edc2986d4e6730c1933688ac;76a914a9e01ae5f2e882d018ca6c9c0b62805f419f678488ac;76a914fa12f5fb7d320bfd5c61f55db12cc2758d02a82588ac;76a9146c24516d3f3c68e4993ce348ab503a3255e34eb488ac;76a914cb33057b4c93851a5fbeb3c8e4db30576219793788ac;76a914232fb83bfc9be92121c22307bccec9465ef3a0b988ac;76a91407c72230d9e5f8c49e1fc8f6cb07951def37ee9888ac;76a9149d12f0ec7526463e4dbbbc69ea634f88ff3092a088ac;76a91421882a0d4375bcc0cbf90cfe3dd0c197311901f988ac;76a9146a483671974e73e6fde58ec88e08a2e3bbb79cad88ac;76a91475bd605cc2ee3974d54578b8af803d0a9351df4088ac;76a914d54804da3e32dffe6ca6be97291f3c76e62040a588ac;76a9141b498a462cafb9ffd0e420634f35c47cf509b87c88ac;76a914559d6989c909b59b20bf10935d052fcd63daf86e88ac;76a9142f9df4e19b8473b9345755e29829e801baba01ff88ac;76a91476149be8c761ab96b633c5e7a68bffec940de11688ac;76a914405b2acc3c986d49b57c92a7965c6174ee13eaec88ac;76a914d4fa97df413d36a61dcb39df168a6953e60969d388ac;76a914abc5ef57aae67bb72627fbb58ecac658a066283b88ac;76a914fd411f1b093ee9464a07155dc40f6fecfcb7a65688ac;76a914f8159668b1e026c4390e39567c6805b3669643cf88ac;76a914e7093805e2b766448dabe64d639b6e0118611aae88ac;76a914c8e9eac50f100e2782ed0ca2315c061acd229e1888ac;76a914f1b64d8bb1c051089692a28c7ee111ac70652cd188ac;76a914c37af1c8acd52f69c1583777007078288729bbaa88ac;76a9144b91bf67e11a5d9b8d0c7f30f0cd1c39994c803d88ac;76a9140d37f0f7edeae22e7ab7524db57b3885c0a1844f88ac;76a9142777969c44603d882a064e693276be0b2a552b9088ac;76a9148e49dc353c3d09ddd992925066a80486ce79a5f988ac;76a914d70b855169965501963aca763799f01b110a755388ac;76a914b2a932169f84f59bc0f8430ff3fe512a0c5556d488ac;76a914012eebc0d3353bbd8b7982fded3d9790f2f42bd688ac;76a91476ea1118754fe1c7bd7e6e5a3bbf0a58bb50793e88ac;76a914a0824ac2c44bb2291357f37fc2a3fc5fc3d047a088ac;76a9144ff8472b4bf4482dd19dd530e8f6bae3c337241b88ac;76a9147ac2b007faf68d60460f26884f41630a0c84bb1f88ac;76a9145acc17baa7814a453b8de815585958085ceeea5f88ac;76a914e6e55e2991742ece883b5dc084efc46552e9378588ac;76a91485f62c1b8e6632e0febc9f80bcc5e04e5bfa026988ac;76a914cc48bc094901e59d9f696b4d8b5c6045006bd33188ac,,stale,VALID,1a0d69d7,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,5,stale_only_publication,repo-data,202750,,164032,000000000000031b86a32d857b1cfa41cfe6e18ede8fc667739a48a33edd9bba,00000000000003681f58b2c595c682e891470897eb0f394f133569792454d66f,1327638446,1a0cd43f,3596647940,010000006fd65424796935134f390feb97084791e882c695c5b2581f6803000000000000c01b0ed154840fdfd6b38e571cf764be6b5dcfcdbde2bb3e368530f894d1f2cfae27224f3fd40c1a047e60d6,00456c6967697573004f2227ad0a85fabe6d6da02b7212b0ad2c51979653489c335cbed4e8b99da06860f54b4a037085f919540800000000000000004e4f5032534800703273682f43485600,76a9144cca3bb1f64401d292fe2f90e6d568780b3e17fe88ac;76a914fa12f5fb7d320bfd5c61f55db12cc2758d02a82588ac;76a914175921ee734bff7ac37880ac5a3b90b77401e1dd88ac;76a91456e7c36968114af0393dda6b404ba897d97bd0aa88ac;76a914612c126a1840253df9998e762036deb08209cea788ac;76a914833baf3424cc944ea343edffc96139716694af1888ac;76a91482320c828b544b8cebaea0e84c9a594f3704651d88ac;76a914e78627375e2d9e8d61772283b525de1c24965b7588ac;76a914ba133d57275c45340df72defa1e829723dd9798788ac;76a914f54d374d9d3fd0082889c8db062c80e482572b4888ac;76a914ce725887fa245bb204539b6b588ba3525f40ae4b88ac;76a914e7093805e2b766448dabe64d639b6e0118611aae88ac;76a914f39580c298ea1673d629aa9b569e17332959d3d788ac;76a91411ac6255b7d51df0d707df0546e6274ebc1e55d288ac;76a9142e451f91e9f756bb77a8a4c19b89106a72d56e2888ac;76a9141e871138c9fb861f832b0be41a4e402233d81c1e88ac;76a914ffd6e9827d705bc36b4746e4d4cc6365ca60d3af88ac;76a91443f5f79a3b2c806235db2d9fac59b88b40dac49e88ac;76a914c3dd52845bfba22107c21501138a0c8b04a0347588ac;76a9144b8dd99194ae1887826edce17d0998875c89c81b88ac;76a9145ffb72262cfd9e5e11076246c4fe51655658946188ac;76a914037e2f7584b016c53d3ee9728458ac4b265bbd1788ac;76a914ea4c73185fb4c779ab4d869a55863102f19d567a88ac;76a914a954a14818bcfd39358dc48999cf6a973fbed1a988ac;76a91488318312130117d09acb1b8cb5a0c409cb8bf0c388ac;76a914b8ce3757dc532f40ed2d40fc92d008f0f0a8a27588ac;76a914d225030e127be48532677cb075a21584e421a40188ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,1a0cd43f,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,6,stale_only_publication,repo-data,203862,,164147,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,00000000000009a627f5968068b2da7cedbbb1d166cf172cbbb1898a3b78de59,1327709383,1a0cd43f,2377660924,0100000059de783b8a89b1bb2c17cf66d1b1bbed7cdab2688096f527a6090000000000000f862c3fe03463df441d41cca8f881d24a7289c9d017aad090b6a3e5c279849dc73c234f3fd40c1afc39b88d,00456c6967697573004f233cba0336fabe6d6de9d02f4a94065e929db2b8f379c2ef7bf7dd3b9dd9c10c8b49ae0621224526680800000000000000004e4f5032534800703273682f43485600,76a9142838ae835c52722010adf4452eb5d7d1e6d9040088ac;76a914a3124b940eaef5647ec4cedff4f355f1044680ad88ac;76a9146df4d16e43f3f727f1968c3c09f1bfbba46fc5d288ac;76a9140ca870e016dff04bc37436a79605d9afa265055e88ac;76a914d15f121295a634b9768c9afd46e9823f772b758788ac;76a914ce78709ffffb5746849c6324743ff14095f55d6d88ac;76a91480d9db836764688c1317808e5c62fbbcaec662e788ac;76a914e7353105e1dd412eb473bb981b1244aa471a304088ac;76a9143213e4e884d1dfad34a563271894ed76667abcea88ac;76a91427f4762929a384c51b16acb06e7d40e4f9199d8c88ac;76a914e585e43722bd736c312d9df99d6c586021ba6ddb88ac;76a9143a09f5a89272cf58974258d3cad7bb5bbe07daa688ac;76a91415b7c62564484644a8af02767d41a7cb1e4dc4b888ac;76a9147de940f91c3b526d77d8f7589f11172ef47286a488ac;76a914833baf3424cc944ea343edffc96139716694af1888ac;76a914cb3ecc087f55de91945a4136e8e0a7903dc5475688ac;76a914d549d339550e3071411206e77c8fe4e54c982be288ac;76a914538ac595329454920b7fe3df3a25f431255fbad988ac;76a9141b498a462cafb9ffd0e420634f35c47cf509b87c88ac;76a914f54d374d9d3fd0082889c8db062c80e482572b4888ac;76a9142f9df4e19b8473b9345755e29829e801baba01ff88ac;76a9146692cce99ba078578ca8b50e5f8291212ba2998988ac;76a914c7ca973a8d09f191b058ac4428a5fd46c09d39d588ac;76a914b3a90d8323696dadf9331193410db125431f3e9588ac;76a9149bc7fd00183f8007edb836e54aaa43fa7093564b88ac;76a914d4fa97df413d36a61dcb39df168a6953e60969d388ac;76a91469ccc192c7eebf7a22f3e7b33ac544b2ed8962a688ac;76a914c784d5639cba9cac3ee83b8419d0df127f814dac88ac;76a914fd411f1b093ee9464a07155dc40f6fecfcb7a65688ac;76a9147d77644135406aed397d143720fc5703332a3b2f88ac;76a914a535ed3657878e267eab5cc75f0cc530aed6713088ac;76a9145ffb72262cfd9e5e11076246c4fe51655658946188ac;76a9148f73f5c8bd9956e223866b4e8cfc6e7a17cadbb788ac;76a914cd5813b9e4b38eae5c99eeabd76d09d346bd9c2688ac;76a9146ad47e26a21e5c5521b76eb11a3378d5528a436988ac;76a9148e49dc353c3d09ddd992925066a80486ce79a5f988ac;76a914d70b855169965501963aca763799f01b110a755388ac;76a914ceaf6e741dbf3f22a8abe938b1ebae0632dff16a88ac;76a914b44ff1af7c613f6d2af30b5e31114345c783e3c388ac;76a914012eebc0d3353bbd8b7982fded3d9790f2f42bd688ac;76a91476ea1118754fe1c7bd7e6e5a3bbf0a58bb50793e88ac;76a914a0824ac2c44bb2291357f37fc2a3fc5fc3d047a088ac;76a9148eafb1970e427d4d6ebb213b737b7dcdc96791e988ac;76a914520d85cd9ebd9e5fb0c907cb54123adf9973249488ac;76a9145dc4028d9b34d6d7ead793d9c655e91401f421e488ac;76a914bdc8359f2f3ae6444354c8020536bac4538e882088ac;76a9142cb49a50debfbd2a567c5aa34392a57f7d8f0ab588ac;76a914ffd6e9827d705bc36b4746e4d4cc6365ca60d3af88ac;76a914cc48bc094901e59d9f696b4d8b5c6045006bd33188ac;76a914fb88abad80357042f0d834105a0c96e558270da388ac;76a9141fed5b3bffd76ecc742257286befccf4a561ac6788ac;76a9149eb551c3924ed46408b3616242db21b7fcc7f9a288ac;76a914037e2f7584b016c53d3ee9728458ac4b265bbd1788ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,1a0cd43f,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,7,stale_only_publication,repo-data,211476,,165264,0000000000000b4fc28a511bc34d2cef9f5e72f02560435cae18e8df9e209a83,0000000000000522176e576c081ab2977f548e37bae352807305f59e027cf07a,1328329361,1a0cd43f,1978173313,010000007af07c029ef505738052e3ba378e547f97b21a086c576e172205000000000000e7f639087dc7874339274cad8903e70ca5741981d4a4c3657363ac2df556e2fe91b22c4f3fd40c1a8187e875,043fd40c1a017c522cfabe6d6d2c0fe57b9db196f5ca89702eeeda64e69fff6132741e650912868cc40b70b9770800000000000000,410466b3e93f4b0bc20424c872676a6adc0f1b8fe94e137c638e530f87e9d9230aec248b5275ab58934e3a984ee5caf8371c9c7f54fad8362eae8b3ab385085fb13dac,,stale,VALID,1a0cd43f,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,8,stale_only_publication,repo-data,219346,,166343,000000000000048bbf1d28adbd2a0b7058444619371afee50e6e9c2a1f9f9200,00000000000004882d60fa31bb49c19dfa882ffbf3e7949a88643afb45c901ad,1328975781,1a0c290b,3801791631,01000000ad01c945fb3a64889a94e7f3fb2f88fa9dc149bb31fa602d880400000000000021e3b1f41c2431a9a5648150d24556b54ba740027557a96e13067d4ed62d74f9a58f364f0b290c1a8fbc9ae2,040b290c1a51522cfabe6d6d2366f0f25ee3f199609e7dc25d78f412650cbd453f941022ce7eac5ce3ee1c6a0800000000000000,4104bc1a0338ef928fb0426ffa071ac865027417d6de13f692a72c74b764df6eb3c036189a964906ee4c6477f642b97f7a1da348f494b6b65f62d0b1e4b782aed698ac,,stale,VALID,1a0c290b,,,valid_direct_stale
i0coin,validated_stales,data/i0coin_validated_stales.csv,9,stale_only_publication,repo-data,229692,,167742,0000000000000685275697d11c869d2b71e4cf62cb651763530dc653f79092a1,0000000000000233bd4e90d72cea1efaf6318daf5e3728397d3ce8ada401052c,1329799601,1a0c309c,424409779,010000002c0501a4ade83c7d3928375eaf8d31f6fa1eea2cd7904ebd3302000000000000532e858eccff4a431ea7b540dc123ba5f3b5559401ad6956ff795ca1b2ec567eb121434f9c300c1ab3fa4b19,00456c6967697573004f4321b10e13fabe6d6dd3ab0363883de4100a5a34374b49476168049562779f68e3e51fd08fe75475100800000000000000004e4f5032534800703273682f43485600,76a9142838ae835c52722010adf4452eb5d7d1e6d9040088ac;76a9149ce9bf27b15d0045795c3275b7325482fb4f59e288ac;76a9140d0608df1844e1ada0ef543d41b9a5f65f8fe4c088ac;76a9146ad47e26a21e5c5521b76eb11a3378d5528a436988ac;76a914e7353105e1dd412eb473bb981b1244aa471a304088ac;76a9141d8501a4d186338c7aa7828ac04a458d97055bcb88ac;76a91469ccc192c7eebf7a22f3e7b33ac544b2ed8962a688ac;76a9141a1e386a452bb71d03cd583e5f33049ea5d0fe0888ac;76a914c17600f6c81ffb1ba0ece3218e65b352d35409ba88ac;76a914cac51e198e50f78b352b7543450d4adb19a1ecb588ac;76a9141ba5c1c3c0916014ee18f35b2c8972d974e0c2c688ac;76a914878a6c1072e7c7ccca8686270b228e6fdae5468f88ac;76a9140a09ed18efba15eb5b75f3ee41154cbae03c796988ac;76a91424874579edf133c19d44154aff5f5b26989dcd5588ac;76a9140ff1bafb167b28c933e9b822a16c815997567b6f88ac;76a914b0c2567ecc75a6748d44bc7022035eff3b56455a88ac;76a914d4fa97df413d36a61dcb39df168a6953e60969d388ac;76a914a167bc84e7d85c2f097cd27c0de4585ded03993a88ac;76a914286c7d6a5cbdd61784d14f2283c2115411b0b0b388ac;76a914e7093805e2b766448dabe64d639b6e0118611aae88ac;76a914a535ed3657878e267eab5cc75f0cc530aed6713088ac;76a91411ac6255b7d51df0d707df0546e6274ebc1e55d288ac;76a9141e871138c9fb861f832b0be41a4e402233d81c1e88ac;76a9148e3b80cf80dbb51d052ae6567d3c788c1b8a024e88ac;76a9147bb4830e7efd707e59b18adfe14e9ae55342e1b288ac;76a91477397095495856a401642f94124e2a267746731988ac;76a91443f5f79a3b2c806235db2d9fac59b88b40dac49e88ac;76a914012eebc0d3353bbd8b7982fded3d9790f2f42bd688ac;76a9142f2f21afdf4d621983d6ec1a2e605c46141ccc5488ac;76a91427bebce9cb90bbec782ad680c27642c90ea6623b88ac;76a914ac430a35c8d98f5bbce45ee41debe31047e2eccd88ac;76a9145399c3093d31e4b0af4be1215d59b857b861ad5d88ac,,stale,VALID,1a0c309c,,,valid_direct_stale
