chain,source_kind,artifact_scope,artifact_path,source_path,canonical,stale,stale_descendant,strict_btc_orphan,weak_btc_orphan,monitor_rows,source_rows,canonical_evidence_status,notes
namecoin,full_inventory,full_classifier_inventory,results/monitor-evidence/namecoin_monitor_evidence.csv,<chain-archive>/namecoin/classified/namecoin_stale_blocks.csv,0,1625,19,11,10,1665,344675,no_canonical_rows_in_discovered_artifact,reclassified_stale_descendant_observations=1; namecoin_header_hydration=hydrated:268/still_missing:0/hash_mismatch_rejected:0; child_identity_hydration=hydrated:1665
geistgeld,full_inventory,full_classifier_inventory,results/monitor-evidence/geistgeld_monitor_evidence.csv,<chain-archive>/geistgeld/classified/geistgeld_stale_blocks.csv,1,0,0,0,0,1,2291,canonical_retained,
i0coin,full_inventory,full_classifier_inventory,results/monitor-evidence/i0coin_monitor_evidence.csv,<chain-archive>/i0coin/classified/i0coin_stale_blocks.csv,16958,166,0,2,0,17126,103373,canonical_retained,child_height=unavailable
coiledcoin,full_inventory,full_classifier_inventory,results/monitor-evidence/coiledcoin_monitor_evidence.csv,<chain-archive>/coiledcoin/classified/coiledcoin_stale_blocks.csv,608,27,0,0,0,635,13943,canonical_retained,child_height=unavailable
ixcoin,full_inventory,full_classifier_inventory,results/monitor-evidence/ixcoin_monitor_evidence.csv,<chain-archive>/ixcoin/classified/ixcoin_stale_blocks.csv,46808,465,3,3,0,47279,301247,canonical_retained,
devcoin,full_inventory,full_classifier_inventory,results/monitor-evidence/devcoin_monitor_evidence.csv,<chain-archive>/devcoin/classified/devcoin_stale_blocks.csv,54100,468,3,1,0,54572,129709,canonical_retained,
groupcoin,full_inventory,full_classifier_inventory,results/monitor-evidence/groupcoin_monitor_evidence.csv,<chain-archive>/groupcoin/classified/groupcoin_stale_blocks.csv,2123,30,0,0,0,2153,4866,canonical_retained,
huntercoin,full_inventory,full_classifier_inventory,results/monitor-evidence/huntercoin_monitor_evidence.csv,<chain-archive>/huntercoin/classified/huntercoin_stale_blocks.csv,857,13,0,0,0,870,899,canonical_retained,
unobtanium,full_inventory,full_classifier_inventory,results/monitor-evidence/unobtanium_monitor_evidence.csv,<chain-archive>/unobtanium/classified/unobtanium_stale_blocks.csv,14958,43,0,0,0,15001,445932,canonical_retained,
crown,full_inventory,full_classifier_inventory,results/monitor-evidence/crown_monitor_evidence.csv,<chain-archive>/crown/classified/crown_stale_blocks.csv,5483,23,0,0,0,5506,389128,canonical_retained,
myriadcoin,full_inventory,full_classifier_inventory,results/monitor-evidence/myriadcoin_monitor_evidence.csv,<chain-archive>/myriadcoin/classified/myriadcoin_stale_blocks.csv,14705,40,0,0,0,14745,181589,canonical_retained,
sixeleven,full_inventory,full_classifier_inventory,results/monitor-evidence/sixeleven_monitor_evidence.csv,<chain-archive>/sixeleven/classified/sixeleven_stale_blocks.csv,7,0,0,0,0,7,80364,canonical_retained,
argentum,full_inventory,full_classifier_inventory,results/monitor-evidence/argentum_monitor_evidence.csv,<chain-archive>/argentum/classified/argentum_stale_blocks.csv,27,2,0,0,0,29,634306,canonical_retained,
emercoin,full_inventory,full_classifier_inventory,results/monitor-evidence/emercoin_monitor_evidence.csv,<chain-archive>/emercoin/classified/emercoin_stale_blocks.csv,45595,96,0,0,0,45691,62236,canonical_retained,
terracoin,full_inventory,full_classifier_inventory,results/monitor-evidence/terracoin_monitor_evidence.csv,<chain-archive>/terracoin/classified/terracoin_stale_blocks.csv,11257,35,0,0,0,11292,534607,canonical_retained,
rsk,full_inventory,full_classifier_inventory,results/monitor-evidence/rsk_monitor_evidence.csv,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,0,298,2,3,0,303,37330,no_canonical_rows_in_discovered_artifact,reclassified_stale_descendant_observations=1; child_identity_hydration=hydrated:303
doichain,full_inventory,full_classifier_inventory,results/monitor-evidence/doichain_monitor_evidence.csv,<chain-archive>/doichain/classified/doichain_stale_blocks.csv,0,0,0,0,0,0,50621,no_canonical_rows_in_discovered_artifact,
bitmark,full_inventory,full_classifier_inventory,results/monitor-evidence/bitmark_monitor_evidence.csv,<chain-archive>/bitmark/classified/bitmark_stale_blocks.csv,897,1,0,0,0,898,82819,canonical_retained,
xaya,full_inventory,full_classifier_inventory,results/monitor-evidence/xaya_monitor_evidence.csv,<chain-archive>/xaya/classified/xaya_stale_blocks.csv,20801,40,0,0,0,20841,38483,canonical_retained,
elastos,full_inventory,full_classifier_inventory,results/monitor-evidence/elastos_monitor_evidence.csv,<chain-archive>/elastos/classified/elastos_stale_blocks.csv,175053,177,2,3,0,175235,184234,canonical_retained,child_identity_hydration=hydrated:182/canonical_unhydrated:175053
syscoin,full_inventory,full_classifier_inventory,results/monitor-evidence/syscoin_monitor_evidence.csv,<chain-archive>/syscoin/classified/syscoin_stale_blocks.csv,98613,98,1,1,0,98713,116993,canonical_retained,child_identity_hydration=hydrated:100/canonical_unhydrated:98613
hathor,validated_stales,stale_only_publication,results/monitor-evidence/hathor_monitor_evidence.csv,data/validated-stales/hathor_validated_stales.csv,0,6,0,0,0,6,6,canonical_rows_not_represented_stale_only_publication_path,child_identity_hydration=hydrated:6
bitcoin-vault,full_inventory,full_classifier_inventory,results/monitor-evidence/bitcoin-vault_monitor_evidence.csv,<chain-archive>/bitcoin-vault/classified/bitcoin-vault_stale_blocks.csv,2566,9,0,0,0,2575,2575,canonical_retained,
elcash,full_inventory,full_classifier_inventory,results/monitor-evidence/elcash_monitor_evidence.csv,<chain-archive>/elcash/classified/elcash_stale_blocks.csv,2426,3,0,0,0,2429,5140,canonical_retained,
lyncoin,full_inventory,full_classifier_inventory,results/monitor-evidence/lyncoin_monitor_evidence.csv,<chain-archive>/lyncoin/classified/lyncoin_stale_blocks.csv,11,0,0,0,0,11,56653,canonical_retained,
fractal,full_inventory,full_classifier_inventory,results/monitor-evidence/fractal_monitor_evidence.csv,<chain-archive>/fractal/classified/fractal_stale_blocks.csv,58980,31,0,0,0,59011,59504,canonical_retained,child_identity_hydration=hydrated:31/canonical_unhydrated:58980
vcash,wayback_canonical_hydration,partial_canonical_subset,results/monitor-evidence/vcash_monitor_evidence.csv,<chain-archive>/vcash/classified/vcash_canonical_blocks.csv,68,0,0,0,0,68,68,canonical_retained,partial_canonical_subset_not_complete_coverage
stale-descendants,stale_descendant_sidecar,stale_descendant_sidecar,results/monitor-evidence/stale-descendants_monitor_evidence.csv,data/stale_descendants.csv,0,0,21,0,0,21,25,not_applicable,child_height=unavailable; child_identity=represented_by_source_chain_observations; represented_source_chain_observations=30
