chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,10326,full_classifier_inventory,archive,2954542,,,0000000000000000000404bc39fdc580154c6f70966acdd7d8808fee3865fe26,b62e35e6e382a534674babd949d7ac1d1f07ebd500092bf10000000000000000,1608350069,170f1372,718876546,00e0ff7f0000000000000000f12b0900d5eb071f1dacd749d9ab4b6734a582e3e6352eb65143d79b852b4afd67a2839aa7657dc0958e10d5bfd5f080e1afd372aa8345e47579dd5f72130f17822fd92a,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,25432,full_classifier_inventory,archive,5019768,,,00000000000000000002761b955201609da7fec57f93ba6f1971d60868860f7d,0000000000000000011846eb0386c120b19ad90e4ebab559292dab563bc3ee36,1675330031,17072720,1671821318,0040ef2636eec33b56ab2d2959b5ba4e0ed99ab120c18603eb4618010000000000000000d660f12f2da5fe82e009f75f6c980c93842b98228b6ed4a3cc9d1f68806b96aaef81db632027071706f8a563,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
rsk,full_inventory,<chain-archive>/rsk/classified/rsk_stale_blocks.csv,28833,full_classifier_inventory,archive,5814419,,,00000000000000000002519abcdc0b85977087bae63a36cd4a13638c22721ebd,00000000000000000003bccb5c7ff759adc174d474053dc4eb14bb1bdc67895b,1700080312,17045a12,3794945228,00a0a0295b8967dc1bbb14ebc43d0574d474c1ad59f77f5ccbbc0300000000000000000018bfec3da2b3a1a8e5ac8278e584863e7769c53dde9df7e0a7268e1ce5dafd4cb82a5565125a0417cc4432e2,,,,unknown,,,,strict_btc_orphan,strict_height_nbits_match
rsk,validated_stales,data/rsk_validated_stales.csv,2,stale_only_publication,repo-data,263443,,514235,00000000000000000025c54fa42d8d92ba7267a90a858451716f89ecae79244c,0000000000000000000faa5f786357a24ab1fdaf2538f12b0ebc4cd11565306f,1521456595,17514a49,1383250774,000000206f306515d14cbc0e2bf13825affdb14aa25763785faa0f000000000000000000781ed21b07c5fc05a9c46c0153372364af031f13882d9cd4f5aaf13e304951b0d395af5a494a511756bb7252,,,,stale,VALID,17514a49,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,3,stale_only_publication,repo-data,417922,,523738,00000000000000000038dc4e4202ca390cc9b0164f38e757dab05b019e062750,00000000000000000028ba2318243af3f32d54f50b25d42befe127aa6c3d6427,1526933953,1743eca9,637988005,0000002027643d6caa27e1ef2bd4250bf5542df3f33a241823ba280000000000000000004d209213717184dac8c62aa615b84fb38724af04017e5fa63c6635bdbd681e34c129035ba9ec4317a5ec0626,,,,stale,VALID,1743eca9,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,4,stale_only_publication,repo-data,550920,,530707,000000000000000000180f14805b550bcc1395a5458de8ac4f2405d989d55c1d,000000000000000000116bfb5a0a75771230626107b915b38fe716209c4d94e3,1530872300,17347a28,2867909478,00000020e3944d9c2016e78fb315b9076162301277750a5afb6b11000000000000000000a1828b8e34e952947d3b2f3d18b4c7c13cba2a73695c859663685d34a1c42908ec413f5b287a341766d3f0aa,,,,stale,VALID,17347a28,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,5,stale_only_publication,repo-data,578005,,532060,00000000000000000004ea2972668618586f47b9b237c931a05ac5638ae64ba3,0000000000000000001332efcba77e8633d43b2b596b4fef0807a4f0c6267cf3,1531684000,17347a28,998503548,00000020f37c26c6f0a40708ef4f6b592b3bd433867ea7cbef32130000000000000000004843e50377cb47ca394a7ad08ed1a36b5d2da3770678fa651d869904aa4b6038a0a44b5b287a34177cf4833b,,,,stale,VALID,17347a28,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,6,stale_only_publication,repo-data,582221,,532257,0000000000000000000d151d626c3c3ee7892a0223ecdb0ecb0b89608557020e,00000000000000000021fac4295c4415fbee1dcf36c812be5481cf55b6178cdc,1531814741,17365a17,615385094,00000020dc8c17b655cf8154be12c836cf1deefb15445c29c4fa21000000000000000000d3b682ae60ea7d74e524455434d48c65ca6445a916edb3ce9d0f93bdacfd715d55a34d5b175a36170608ae24,,,,stale,VALID,17365a17,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,7,stale_only_publication,repo-data,606536,,533648,0000000000000000000cb756d90a21fa23ef67d27596d78d8abd5b0554dcbe36,0000000000000000000a205ff8afd212bc9a840c43aec5a58b613b3b6c53c5da,1532545515,17365a17,842975821,00000020dac5536c3b3b618ba5c5ae430c849abc12d2aff85f200a000000000000000000aa981c7ada5cb35f5a5e1ca02075b95db74134b0e797505316cb34642bb70790ebc9585b175a36174dca3e32,,,,stale,VALID,17365a17,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,8,stale_only_publication,repo-data,735940,,540801,0000000000000000001b934f570a5a225aa47f7f127ec13456e0871ec10b9a8f,00000000000000000007e8c8592700b2d473edcc707969b616b7ccfd85ba4bb3,1536585805,172819a1,3088025417,00e00020b34bba85fdccb716b6697970cced73d4b2002759c8e807000000000000000000cb4bdbc5a23a69edcba9e42de4d3b64076d6abb5b3e67902cf573558fddd84ab4d70965ba119281749870fb8,,,,stale,VALID,172819a1,,,valid_direct_stale
rsk,validated_stales,data/rsk_validated_stales.csv,9,stale_only_publication,repo-data,791386,,543892,000000000000000000082fd7cff6b97ba03405ec723b3649658d270a4ff12a9b,000000000000000000155d265a245ccda4d3f544d34cd0d1474976a2a6856c93,1538382476,17275a1f,1481952821,00e0ff3f936c85a6a2764947d1d04cd344f5d3a4cd5c245a265d15000000000000000000ca05b37f0e74eee1b215bb4e79064a41398459be7b8ad98ad3c12bc5acadc0848cdab15b1f5a271735ce5458,,,,stale,VALID,17275a1f,,,valid_direct_stale
