chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
syscoin,validated_stales,data/syscoin_validated_stales.csv,2,stale_only_publication,repo-data,62165,,585083,0000000000000000001d52005a757e38b370dfe86a952f17a1647578546b0635,00000000000000000014223d70882226cdfafb0fa2241d9884adeafbda9f747b,1562940150,171f0d9b,41517264,000000207b749fdafbeaad84981d24a20ffbfacd262288703d22140000000000000000005fef3e51239caf393eb76bf3f95013fd5b17a5926944c7a5faa420de3117b3fdf692285d9b0d1f17d0807902,037bed082cfabe6d6da809e33e16f24e0fe39dcc1052af227c24b0a4d905fab5037a5e44b1916ff1bb10000000f09f909f000f4d696e6564206279206b656e6e7967000000000000000000000000000000000000000000000000000000000500ec030000,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:13.10709468|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,171f0d9b,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,3,stale_only_publication,repo-data,75642,,586441,0000000000000000000ca6c919cc4015d50bf60fd38b1e10422aa1d792a9c861,0000000000000000000b0b5a47de57479b5129d92a1fccfbaec37d777c4efb6c,1563752764,171f0d9b,2787211680,0000c0206cfb4e7c777dc3aefbcc1f2ad929519b4757de475a0b0b000000000000000000cd24175aed570e12bc5565e7edb04d342b4f0e635999a1a813b3459e6c1e837a3cf9345d9b0d1f17a07921a6,03c9f2082cfabe6d6d8f081c2aa78faae1fd9a9140b391a814b68614969d3be66c0a02640bde36b56d10000000f09f909f00144d696e656420627920783135353031363536333900000000000000000000000000000000000000000000000500dc1a0000,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.63911706|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,171f0d9b,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,4,stale_only_publication,repo-data,118772,,591031,0000000000000000000c0ca13721964a48358c5e1ed8119b5e2de20ab7d9048e,00000000000000000017393d6381464474890d31425fca4b96f3799e2a983573,1566350267,171ba3d1,1935044144,000080207335982a9e79f3964bca5f42310d8974444681633d3917000000000000000000b0b65dc3ef9670bd499e450ffb84119c1adce04e536495f38665fd7e97558bf0bb9b5c5dd1a31b17306e5673,03b704091a2f5669614254432f4d696e656420627920706972656d6172642f2cfabe6d6d162a6f2edc1226a96d222bd72030383d3dc88fa044923cb8ce6b3631f4492442100000000000000010211c800c383722c4d02b9424d3820000,SUuBGCD7Ff3C2ozR6osYguPeXNho98S5qR:12.8754082|OP_RETURN:0.0,,stale,VALID,171ba3d1,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,5,stale_only_publication,repo-data,132497,,592449,0000000000000000001a4f3ad036ff22bc0de8292a5738fa4dde3de604f52e7a,000000000000000000125dffde35ac9b00f78b08a3a1e375d9481f7af337d182,1567176529,171ba3d1,327292556,0000002082d137f37a1f48d975e3a1a3088bf7009bac35deff5d12000000000000000000d443f27c30b837eb289e95bbbd037ebb757e3eb8506c94f85fb7a513646ebf965137695dd1a31b178c168213,03410a092cfabe6d6d7ba7c52cfec91d2b9163d3ef9d0fbd158ca9b6936748fb01bb06b68d8ce381cd10000000f09f909f00144d696e6564206279206b75616e676a69313932370000000000000000000000000000000000000000000000050027dd0000,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.8334632|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,171ba3d1,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,6,stale_only_publication,repo-data,199571,,599604,00000000000000000007cab2644261df83f039cf75ee21eb761cd26f4cec79a6,00000000000000000009ce8df8596512cca1beba127b668701094e703354bd30,1571225643,1715a35c,2168953570,0000002030bd5433704e090187667b12babea1cc126559f88dce09000000000000000000afdfede9732627ff4bb02004f2ac95acca288e9a98a44393b7ef5f31616726df2b00a75d5ca31517e29a4781,033426092cfabe6d6d262d0a203654fac31dbd89933363d9f18b7308272e07109f0fb083d862455eda10000000f09f909f00124d696e6564206279206c7363626d79743274000000000000000000000000000000000000000000000000000500b0cb0000,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.70108277|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,1715a35c,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,7,stale_only_publication,repo-data,206367,,600308,00000000000000000012cd51c80d0799f2203524258a8211a70e5b98ea6c8789,000000000000000000024bb45c88bc0ab3ca444211543183206734c9e1bdebee,1571631145,1715a35c,1429208466,00000020eeebbde1c9346720833154114244cab30abc885cb44b02000000000000000000758f810229399dcee5838c89b4a451231b97e0cc0ad0e708906f6c7c8005f6d62930ad5d5ca3151792fd2f55,03f428091b2f5669614254432f4d696e6564206279206461766964343030622f2cfabe6d6d20349e5225923490b93b931249725b0c6372e399b4783e6ba7fdd11f33b6ccb51000000000000000103901d00759a65c62ae584a7c08080000,SUuBGCD7Ff3C2ozR6osYguPeXNho98S5qR:12.57739528|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,1715a35c,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,8,stale_only_publication,repo-data,341791,,614207,0000000000000000000305f9d4c42f2b52ff4fbdbcc6465f38082467aa31b78e,000000000000000000028a774f203dd848acf80c9c5d0b0bf3f75812861549d5,1579807653,17130c78,3240340198,00e0ff3fd54915861258f7f30b0b5d9c0cf8ac48d83d204f778a020000000000000000001c22774742c209c678881aa8950471d7ac3165dc8967da9044221a443fb3ca9ba5f3295e780c1317e6aa23c1,033f5f092cfabe6d6d339770986173c76ec853d76d7693d8a74f0ff80b4881baff4abf55e9a3f7199a10000000f09f909f00134d696e656420627920737a77777568616931380000000000000000000000000000000000000000000000000500fbb2d45d,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.67453983|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,17130c78,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,9,stale_only_publication,repo-data,368183,,616960,000000000000000000108f0e774fe41d100725f0ca3eea0b205d3c5912dbe7f3,0000000000000000000ddf49d8ae918c80f31611afed035a9761f7d6b678240e,1581447243,17121ad4,1814084298,000000200e2478b6d6f761975a03edaf1116f3808c91aed849df0d00000000000000000016eb8f4d059fb382bb9bfe1e0653d00943df8d9be2e6b1ebbddc6be1f2ae8fcd4bf8425ed41a1217caba206c,03006a092cfabe6d6d9d9810f748e2e243ef33f25a1fe1ec12d4ab048ec8d813bb64cdd5c6e160074510000000f09f909f00144d696e6564206279206d6f68616d61647368697200000000000000000000000000000000000000000000000500965a2900,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.79205494|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,17121ad4,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,10,stale_only_publication,repo-data,390003,,619141,0000000000000000000afb64a255edf537c7c90e5d10d62a7743f2d189e9bbc3,0000000000000000001067bb9fb2aac46e14982a4f8594eacce35102bf60a54b,1582767243,17122cbc,1398096028,000000204ba560bf0251e3ccea94854f2a98146ec4aab29fbb6710000000000000000000b8e26202721f9c139b058c7fb5ce7d5fc449f30b30d42e037a89a826bdfd39878b1c575ebc2c12179c405553,038572091a2f5669614254432f4d696e6564206279207a6a6d62746330322f2cfabe6d6d011c924a8ad492cd7bf57f1ea917caad3e136d90a428b2fddb4d5e9a6fb6ef6510000000000000001007714c0409cde3fc7a2637d54dc30000,SUuBGCD7Ff3C2ozR6osYguPeXNho98S5qR:12.83771544|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,17122cbc,,,valid_direct_stale
syscoin,validated_stales,data/syscoin_validated_stales.csv,11,stale_only_publication,repo-data,411611,,621425,00000000000000000008d9cc7e483ac336aaa8f792250f17264b948ab9398a2f,0000000000000000000160a7bf348fc4960898be32d009d8a7050275d684f3bf,1584065465,17110119,233909469,00200020bff384d6750205a7d809d032be980896c48f34bfa760010000000000000000007f2023053eedf41781d2ade02a7e28487b21f520d2a40780b50bc670b244ffdab9eb6a5e19011117dd2cf10d,03717b092cfabe6d6d83864392741dbad32b855ece95ddc6f7da10ee95b230e125685796339f62092110000000f09f909f00134d696e656420627920686173683533333030310000000000000000000000000000000000000000000000000500420a0000,SfYHFxiGv4mRtUfQVHxfMWknEt53Bjj286:12.73348181|OP_RETURN:0.0|OP_RETURN:0.0|OP_RETURN:0.0,,stale,VALID,17110119,,,valid_direct_stale
