chain,source_kind,source_path,source_row_number,artifact_scope,provenance,child_height,child_block_hash,btc_height,btc_header_hash,btc_prev_hash,btc_time,btc_bits,btc_nonce,btc_header_hex,coinbase_scriptsig_hex,coinbase_outputs,full_coinbase_hex,classification,validation_status,expected_nbits,rejection_reason,btc_stale_relevance,relevance_reason
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,2,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,99903,3f7542054abb6213c7b90f96279f28c0cefefe88833d6655632ae05e4a5cbe14,648541,0000000000000000000afd77ee7a451a41076cb64f447f7f052b4791e1beaa9e,00000000000000000007e64efc9e7c4dc6c69838e39caa3a62d0f6f7966f4f6d,1600241969,17103a12,604235396,00e0ff276d4f6f96f7f6d0623aaa9ce33898c6c64d7c9efc4ee607000000000000000000c2370c475f04b75da35fdae0625252618ba3095ac256f580603fb2d555aae62631c1615f123a101784e60324,035de5090432c1615f7669702f7777772e6f6b65782e636f6d2ffabe6d6dd5e60fb1256749fdd564b4312a096318c48777ad283358ff541e821f092c363a020000004204cb9a04cd3b536fc2600000000000,a914804afd8b3479267b0cd0bb2fa2e217096005fb8d87;6a24aa21a9edf2b211831e7c458d6eaf2ac8d961fb2db72ba0cd9d2130759a5327aac609c8ab;6a24b9e11b6d14be5c4a5ee02a6355663d8388fefecec0289f27960fb9c71362bb4a0542753f,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff52035de5090432c1615f7669702f7777772e6f6b65782e636f6d2ffabe6d6dd5e60fb1256749fdd564b4312a096318c48777ad283358ff541e821f092c363a020000004204cb9a04cd3b536fc2600000000000ffffffff037c4ed0280000000017a914804afd8b3479267b0cd0bb2fa2e217096005fb8d870000000000000000266a24aa21a9edf2b211831e7c458d6eaf2ac8d961fb2db72ba0cd9d2130759a5327aac609c8ab0000000000000000266a24b9e11b6d14be5c4a5ee02a6355663d8388fefecec0289f27960fb9c71362bb4a0542753f0120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,3,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,99913,02ce126c0934d053815b11ff824a4b0c7171c400d42d16514ee5f2182cc14f39,648543,00000000000000000004f805a2704d4424d72e174b7bac26022702b0a307e234,00000000000000000003f85e6ffa7b0049167ce9b5822cfb5c71df3203ff676f,1600242697,17103a12,2416617201,00e0ff376f67ff0332df715cfb2c82b5e97c1649007bfa6f5ef8030000000000000000007d40cef9f757d87009e74458b4bd512b81340636d718c79446aa556085a67baf09c4615f123a1017f1a60a90,035fe509202f5669614254432f4d696e656420627920796d67686f6e676b6f6e676274632f2cfabe6d6de392c5af09d2aee9749ba57d02ac2383a41521efcf7cbdc450b94f542fbdce6a1000000000000000108162490d1320d95220e3afd259ad1700,76a914536ffa992491508dca0354e52f32a3a7a679a53a88ac;6a2952534b424c4f434b3ae62b4cb1a382025a9c66df8c16d9488a14aaa9a3085057861f1ff01e00294501;6a24b9e11b6d394fc12c18f2e54e51162dd400c471710c4b4a82ff115b8153d034096c12ce02;6a24aa21a9eddeea34498742ddcd626aa80c36068fc2b27e2b7cbaf4466bc4dbc55d5ffd037d,010000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff63035fe509202f5669614254432f4d696e656420627920796d67686f6e676b6f6e676274632f2cfabe6d6de392c5af09d2aee9749ba57d02ac2383a41521efcf7cbdc450b94f542fbdce6a1000000000000000108162490d1320d95220e3afd259ad1700ffffffff0488314426000000001976a914536ffa992491508dca0354e52f32a3a7a679a53a88ac00000000000000002b6a2952534b424c4f434b3ae62b4cb1a382025a9c66df8c16d9488a14aaa9a3085057861f1ff01e002945010000000000000000266a24b9e11b6d394fc12c18f2e54e51162dd400c471710c4b4a82ff115b8153d034096c12ce020000000000000000266a24aa21a9eddeea34498742ddcd626aa80c36068fc2b27e2b7cbaf4466bc4dbc55d5ffd037d0120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,4,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,100603,32dc057838c8612caa6780d54e00efca1d7a4e5f4ed23126cd2a354fe14a45a5,648680,000000000000000000057cf566e6864197fe8f621a78dc94fafd77bcea7a8223,000000000000000000077ea755b01b9650e06d94f422709da0b99f66a38b3370,1600316179,17103a12,216298073,0000002070338ba3669fb9a09d7022f4946de050961bb055a77e07000000000000000000cd3cc56eda7b39cc9559b2c827326a09005d48b1f55385dcfc383ab1787d947413e3625f123a10175972e40c,03e8e50904ffe2625f65752f4254432e636f6d2ffabe6d6d0457cf29b0a0046ff69bffeb1bdc625b79de39a1d68bbabe6116d27b34d1a10f0200000076090e7001054f54d50a000000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9edc1caa6be3ed1db86ca4d677998815759b40cfac230e0e53a895409cc5599b054;6a24b9e11b6da5454ae14f352acd2631d24e5f4e7a1dcaef004ed58067aa2c61c8387805dc32,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff4c03e8e50904ffe2625f65752f4254432e636f6d2ffabe6d6d0457cf29b0a0046ff69bffeb1bdc625b79de39a1d68bbabe6116d27b34d1a10f0200000076090e7001054f54d50a000000000000ffffffff034ab69e260000000016001497cfc76442fe717f2a3f0cc9c175f7561b6619970000000000000000266a24aa21a9edc1caa6be3ed1db86ca4d677998815759b40cfac230e0e53a895409cc5599b0540000000000000000266a24b9e11b6da5454ae14f352acd2631d24e5f4e7a1dcaef004ed58067aa2c61c8387805dc320120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,5,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,100615,c13aca6661b16eb32e31b060f4d5c9dd37e6a90f5dad6f40a75eeb7837d53706,648682,000000000000000000003970a6ebb593101a30c1b19c20bec09fef8c646ebe71,0000000000000000000c0288d303ed7ae9d053457238cba2f2f65d94f219ac08,1600317774,17103a12,2130151573,0000002008ac19f2945df6f2a2cb38724553d0e97aed03d388020c000000000000000000c740edc48beb5d9994621976319acfeb8206ed071dba9754e739b2936a36eccc4ee9625f123a10179588f77e,03eae5090457e9625f485a2f48756f42692ffabe6d6da926dc7f538ed9732d9fba86ea42ad004cf86c9c4d2789c834e552ff840c101a0200000090fed218132aaec080a2000000000000,76a914e582933875bedfdc448473c00b474f8f053a467588ac;6a24aa21a9ed854ccbc6ba338d9666fa9b33154efc0b8eb5dc8f4fe13c2801475b54c4f6713f;6a24b9e11b6d0637d53778eb5ea7406fad5d0fa9e637ddc9d5f460b0312eb36eb16166ca3ac1,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff4a03eae5090457e9625f485a2f48756f42692ffabe6d6da926dc7f538ed9732d9fba86ea42ad004cf86c9c4d2789c834e552ff840c101a0200000090fed218132aaec080a2000000000000ffffffff034ff65027000000001976a914e582933875bedfdc448473c00b474f8f053a467588ac0000000000000000266a24aa21a9ed854ccbc6ba338d9666fa9b33154efc0b8eb5dc8f4fe13c2801475b54c4f6713f0000000000000000266a24b9e11b6d0637d53778eb5ea7406fad5d0fa9e637ddc9d5f460b0312eb36eb16166ca3ac10120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,6,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,100618,e34d1f48e8baf055c0b41dadccc607053196a2241a21c0f672f08831b50998d1,648683,00000000000000000008afb1bfeb97ffa5e589eeb70a29d4d088e574e81d166e,000000000000000000003970a6ebb593101a30c1b19c20bec09fef8c646ebe71,1600317954,17103a12,2178309185,00e0ff3f71be6e648cef9fc0be209cb1c1301a1093b5eba67039000000000000000000000a1520829544a73114d9c7bcb8b43fef77d320a93e4900f4a57b98bc8d9cedd002ea625f123a1017415cd681,03ebe5092cfabe6d6d8d3ec0e4eef23def24dcbf6a954451254336c6451e9c4acdc8bd58011ccf0e4f10000000f09f909f082f4632506f6f6c2f104d696e6564206279207a776b79303031000000000000000000000000000000000000000500dd040000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9ed720d26972859e12543d28eadfc904c806d525563397a0e9c945f18a25d081ab1080000000000000000;6a4c2952534b424c4f434b3a5694d8d3623faa4bc8f26d9106b41279236333a2a900d9c41265472600294e38;6a24b9e11b6dd19809b53188f072f6c0211a24a296310507c6ccad1db4c055f0bae8481f4de3,010000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff6403ebe5092cfabe6d6d8d3ec0e4eef23def24dcbf6a954451254336c6451e9c4acdc8bd58011ccf0e4f10000000f09f909f082f4632506f6f6c2f104d696e6564206279207a776b79303031000000000000000000000000000000000000000500dd0400000000000004bdf43e26000000001976a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac00000000000000002f6a24aa21a9ed720d26972859e12543d28eadfc904c806d525563397a0e9c945f18a25d081ab108000000000000000000000000000000002c6a4c2952534b424c4f434b3a5694d8d3623faa4bc8f26d9106b41279236333a2a900d9c41265472600294e380000000000000000266a24b9e11b6dd19809b53188f072f6c0211a24a296310507c6ccad1db4c055f0bae8481f4de301200000000000000000000000000000000000000000000000000000000000000000da22ba38,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,7,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,125864,6d1663f1f3241b6d7c20fecdfe2a1c17aa686b46d793479948b5cee292a8825e,653227,00000000000000000000b7a9f4e34c447f3913537eee30be4bfbd9007ebd3376,00000000000000000002b00db4d1a6aee86da10c23250c7214e10155a9b61879,1602973370,170e134e,2072056365,0000c0207918b6a95501e114720c25230ca16de8aea6d1b40db002000000000000000000ca3a04b318f0f2d13b5452d0aa2a98634a33323c5edf49248eff2b8ec19f1359ba6e8b5f4e130e172d12817b,03abf7092cfabe6d6d01be63a7cbac8a3a954ca228252fee538252951613ec96c8aaddc29cd8fc3b3210000000f09f909f082f4632506f6f6c2f124d696e6564206279206c696e3233357461690000000000000000000000000000000000050050ce0000,76a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac;6a24aa21a9ede2809ae5c2438d3d9699533a4fed6a2f70c282456bcf3754b23895ac54ba2fb4080000000000000000;6a4c2952534b424c4f434b3ae5e0ad02172818326ef7259fe959c617bef6a9cdc8fe03a1cf8a1323002a8d5c;6a24b9e11b6d5e82a892e2ceb548994793d7466b68aa171c2afecdfe207c6d1b24f3f163166d,010000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff6403abf7092cfabe6d6d01be63a7cbac8a3a954ca228252fee538252951613ec96c8aaddc29cd8fc3b3210000000f09f909f082f4632506f6f6c2f124d696e6564206279206c696e3233357461690000000000000000000000000000000000050050ce0000000000000476ce8c25000000001976a914c825a1ecf2a6830c4401620c3a16f1995057c2ab88ac00000000000000002f6a24aa21a9ede2809ae5c2438d3d9699533a4fed6a2f70c282456bcf3754b23895ac54ba2fb408000000000000000000000000000000002c6a4c2952534b424c4f434b3ae5e0ad02172818326ef7259fe959c617bef6a9cdc8fe03a1cf8a1323002a8d5c0000000000000000266a24b9e11b6d5e82a892e2ceb548994793d7466b68aa171c2afecdfe207c6d1b24f3f163166d01200000000000000000000000000000000000000000000000000000000000000000eb1ad13e,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,8,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,125872,2dda25c796ec6a1800d62bf4bddc687e16ceb46d5e2c864710ee1260191fa0a4,653228,00000000000000000009dabc4c7890c9595b5e401493bb27c9cf36d7311243bb,00000000000000000000b7a9f4e34c447f3913537eee30be4bfbd9007ebd3376,1602974198,170e134e,2123805083,000080207633bd7e00d9fb4bbe30ee7e5313397f444ce3f4a9b7000000000000000000005efbe37f7e70d6ea84826f7b9df889514d65168b9853e5feb482631d6cf8ee8cf6718b5f4e130e179bb1967e,03acf70904f7718b5f737a2f4254432e636f6d2ffabe6d6d630eba699448e0ce703dd62dff8cc6233b0f7ba97df9b268c9ea6995954050e2020000000ca3d3af0328bee36f3f030000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9edbadf5f53ef3d9fae5b475bfcafe405f628d2a327e1821f9fc35dcda333344908;6a24b9e11b6da4a01f196012ee1047862c5e6db4ce167e68dcbdf42bd600186aec96c725da2d,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff4c03acf70904f7718b5f737a2f4254432e636f6d2ffabe6d6d630eba699448e0ce703dd62dff8cc6233b0f7ba97df9b268c9ea6995954050e2020000000ca3d3af0328bee36f3f030000000000ffffffff031641dc260000000016001497cfc76442fe717f2a3f0cc9c175f7561b6619970000000000000000266a24aa21a9edbadf5f53ef3d9fae5b475bfcafe405f628d2a327e1821f9fc35dcda3333449080000000000000000266a24b9e11b6da4a01f196012ee1047862c5e6db4ce167e68dcbdf42bd600186aec96c725da2d0120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,9,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,125874,9e6b95277fe96c3d933e98886201c4bad132f982e1fe9fb36b5a900e40aec24a,653229,00000000000000000009245e3bc19ca2f0f450eec8f7fdbc92621e4e3ed2b2b4,00000000000000000009dabc4c7890c9595b5e401493bb27c9cf36d7311243bb,1602974485,170e134e,2520185408,0000ff3fbb431231d736cfc927bb9314405e5b59c990784cbcda090000000000000000006c0ec91d98f374be2271925630d3199226fba196137aa9df2cf5ca463eff990615738b5f4e130e1740fa3696,03adf7091a4d696e656420627920416e74506f6f6c20b2005b02202865afabfabe6d6ddd9c5de85aab18248e4871b24dac6c1fa96cb85415f141edab763ccfd499efe602000000000000006b120000919f0000,76a91411dbe48cc6b617f9c6adaf4d9ed5f625b1c7cb5988ac;6a24aa21a9ed5dad31af3b07fb504f8a4350cd6a8bd8550e751bfb3c5d81ec2ecf6906dacf87;6a24b9e11b6d4ac2ae400e905a6bb39ffee182f932d1bac4016288983e933d6ce97f27956b9e,010000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff5303adf7091a4d696e656420627920416e74506f6f6c20b2005b02202865afabfabe6d6ddd9c5de85aab18248e4871b24dac6c1fa96cb85415f141edab763ccfd499efe602000000000000006b120000919f0000ffffffff037894c125000000001976a91411dbe48cc6b617f9c6adaf4d9ed5f625b1c7cb5988ac0000000000000000266a24aa21a9ed5dad31af3b07fb504f8a4350cd6a8bd8550e751bfb3c5d81ec2ecf6906dacf870000000000000000266a24b9e11b6d4ac2ae400e905a6bb39ffee182f932d1bac4016288983e933d6ce97f27956b9e0120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,10,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,125879,86a3f1deeb1ef38876d2b78d3d790ac773e09f20fa2fa955e34618cd97366a03,653230,000000000000000000076e961670fd063e48c1a2d8d3dcf9bb425f8d37f97ee5,00000000000000000009245e3bc19ca2f0f450eec8f7fdbc92621e4e3ed2b2b4,1602974925,170e134e,1352357079,00e0ff37b4b2d23e4e1e6292bcfdf7c8ee50f4f0a29cc13b5e24090000000000000000001a45026a3e08715d780e5694e562640d062fde74877e75499e67fc445a8e8d41cd748b5f4e130e17d7549b50,03aef70904ce748b5f737a2f4254432e636f6d2ffabe6d6d11ff89024f022cb54e765bc85ce31118088b546481554ae6d1aa78abb249c88d020000000ca3d3af10dc31e2957c2c0000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9ed4b7387c2463be57fc64398483e6b6651c43d533812c3a014bfaa1885376e98d2;6a24b9e11b6d036a3697cd1846e355a92ffa209fe073c70a793d8db7d27688f31eebdef1a386,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff4c03aef70904ce748b5f737a2f4254432e636f6d2ffabe6d6d11ff89024f022cb54e765bc85ce31118088b546481554ae6d1aa78abb249c88d020000000ca3d3af10dc31e2957c2c0000000000ffffffff037e5518260000000016001497cfc76442fe717f2a3f0cc9c175f7561b6619970000000000000000266a24aa21a9ed4b7387c2463be57fc64398483e6b6651c43d533812c3a014bfaa1885376e98d20000000000000000266a24b9e11b6d036a3697cd1846e355a92ffa209fe073c70a793d8db7d27688f31eebdef1a3860120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
vcash,wayback_canonical_hydration,<chain-archive>/vcash/wayback_scrape/results.tsv,11,partial_canonical_subset,wayback:vcash.tech/block + bitcoin-core:canonical,125883,281340cda2639ca3272ded31b600582b6c4a343f8d1d69d6658fd21e4985a2ce,653231,0000000000000000000019d1787cd846b1588206ce141b0dc499599082bb0519,000000000000000000076e961670fd063e48c1a2d8d3dcf9bb425f8d37f97ee5,1602975213,170e134e,72051716,00000020e57ef9378d5f42bbf9dcd3d8a2c1483e06fd7016966e07000000000000000000e110ed7b2903ba3dab6f7f7e0e271632987468a4de8a433a72c46c81c0a66e47ed758b5f4e130e17046c4b04,03aff70904ed758b5f737a2f4254432e636f6d2ffabe6d6d45f598d9b109a6a4e0d19acd14050ff5062f7b94e02f50016614cc05b28ab31c020000000ca3d3af1268e45e8878000000000000,001497cfc76442fe717f2a3f0cc9c175f7561b661997;6a24aa21a9ed21f2b8d8cd9069370c280176605e57acea1751e9ad331101380c06302f713053;6a24b9e11b6dcea285491ed28f65d6691d8d3f344a6c2b5800b631ed2d27a39c63a2cd401328,020000000001010000000000000000000000000000000000000000000000000000000000000000ffffffff4c03aff70904ed758b5f737a2f4254432e636f6d2ffabe6d6d45f598d9b109a6a4e0d19acd14050ff5062f7b94e02f50016614cc05b28ab31c020000000ca3d3af1268e45e8878000000000000ffffffff03d5b301260000000016001497cfc76442fe717f2a3f0cc9c175f7561b6619970000000000000000266a24aa21a9ed21f2b8d8cd9069370c280176605e57acea1751e9ad331101380c06302f7130530000000000000000266a24b9e11b6dcea285491ed28f65d6691d8d3f344a6c2b5800b631ed2d27a39c63a2cd4013280120000000000000000000000000000000000000000000000000000000000000000000000000,canonical,CANONICAL_CONFIRMED,,,,
