btc_height,btc_hash,in_upstream,first_seen_chain
161761,000000000000060f6e4816a68a5654dfa9e6ed37b214853dea9fbf0b55eaf649,no,i0coin
163226,000000000000004bea0f213d7a35de50c18a865088c48d1b48fb61c5c02ec4fa,no,i0coin
164032,000000000000031b86a32d857b1cfa41cfe6e18ede8fc667739a48a33edd9bba,no,i0coin
164147,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,yes,namecoin
165096,0000000000000a798c817e2907930a32e130a8b2e9202055f4197169f5519817,no,ixcoin
167742,0000000000000685275697d11c869d2b71e4cf62cb651763530dc653f79092a1,no,i0coin
171554,0000000000000a801c26db2f242341a67e1c93b43f6d87a0541e6a848cbafdac,no,i0coin
172001,00000000000005967d3415adca0881346c67d26209e687305cf1538aba21c231,yes,namecoin
176075,000000000000023806df33791c26d1bf118fad76dfcc8735a3c8d1572100aff6,yes,namecoin
178120,000000000000044ae40e8427e0cda60220070ebaac9f60cd781cca792e4996eb,yes,namecoin
178807,0000000000000a5a15e5475a70496116c1700e083c535b047b229bfc94ea39ff,no,i0coin
178842,00000000000001409f470ad86fb9d6ae2f3199894b402009025747f9343d15d9,yes,namecoin
179029,00000000000004a1d0ae12b691d7d0cf00878e30fbef3890f2d421d0f6b2d9ba,yes,namecoin
179047,0000000000000ab98c3485d3cb10b4558fc11bf7984c387918612051bc3be62d,yes,namecoin
179486,00000000000007680fbfdd8a3e045f666ad6bfc5b808f876005574967a97d99d,yes,namecoin
180334,00000000000005b2c608d2e7bd7651b1132afd1cab20061ecd92b814d7ae619a,yes,namecoin
180914,00000000000002ef88e92350a1f7d790125ac34ab8041831fd4842dbfc9fc5b4,yes,namecoin
181492,00000000000001a8ef912df01104fbaf49a658405c1203aaba9670e1e5e43fe6,yes,namecoin
182687,00000000000002cf7ea6652f18b07544b26388e7c32a5c62bb806b4770f8aa21,yes,namecoin
182997,00000000000008e7f65ce77dc399eb5dd01ad5afa6f037af79a7a0103b0d5ca4,yes,namecoin
183565,000000000000041d007d54209eb1915216bbc7f3cc16e6a7c3f13306dbcb7cd8,yes,i0coin
184329,000000000000030200a49fd70bcc4bb988fc1dd380ae02dc5a37bd8e455fb85e,yes,namecoin
184757,0000000000000556136b45aab2e8af650d592a59e497fac30ffb7c4a2c568231,yes,namecoin
184771,000000000000025c0813b34a11b6488b403586b3aafe3d121ddff17e1be3de15,yes,namecoin
184836,000000000000053d2cef80a0c301917a41f4176346968414d31e1f8a61b88300,no,ixcoin
184932,00000000000004a76fce2a2512b4c82efc6e87f1461520cc22fbb26f6c132ad9,yes,i0coin
187452,0000000000000995627a52c5ea0372d926539a615c972a80455eeffce444f6af,yes,namecoin
