btc_height,btc_hash,in_upstream,first_seen_chain
470447,0000000000000000018b2dbe2f0a2531eabfe41721f452fffa2052775e6e30e3,no,
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
481180,00000000000000000046ec34684798780becaceb4f393dabb071f89206236998,no,i0coin
482910,000000000000000000ccafc5477e199fb98ebf501a258cfc246a989160b52a5f,yes,namecoin
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,no,i0coin
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,yes,i0coin
484431,000000000000000000ecb95232f1b6c3c4fb8569b2559f7d37936343e069895f,no,i0coin
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,no,unobtanium
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,yes,namecoin
487620,00000000000000000010f39ece8463f3e54a1da969c591c0afd1196dbccf339c,no,
495171,000000000000000000808eb41dd47d57aef25374b3c248b2b91ca9b5d97ff51f,yes,i0coin
503806,000000000000000000841bfca4eb3f5b4c028d78a8af8dd0e0fcdd2774d9b8b3,yes,namecoin
503839,000000000000000000604325382f569da26fca365c7bdbb0de8bd12da4c86d4f,yes,namecoin
505705,000000000000000000520a6174197bca28e864f13dd76db5ea8c9787b8ab5f62,yes,namecoin
508270,00000000000000000035e3e4cb727262a51f2e814914d2b2fcd4e89dd1b0f4bd,yes,
509677,000000000000000000412393430df277b1c5210db7f33bb1bf1babdce10e2034,no,
509842,000000000000000000552622fa1e15a2c85c6563bd7b66098965804cef3358e0,no,
515256,0000000000000000003f46592dc0e914390890be733769416e3d82b7009ea8f8,yes,
535495,000000000000000000115e2f370fad2516f8c847f339044ddd3e2da8555ad168,yes,namecoin
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,no,devcoin
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,yes,namecoin
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,no,
555155,0000000000000000002fa73d58dbc421939796bc370af1ece833f2d1ff2fdca3,no,devcoin
