btc_height,btc_hash,in_upstream,first_seen_chain
572333,0000000000000000000528b13b09f842b428401ca02f44be163868a8e719bb69,no,emercoin
578123,00000000000000000010fe8e49ae527e56b127f60b9e3135fd4499adb900025a,yes,namecoin
578141,0000000000000000001253a5f37d3763dbe928d21f7d72a708f05268c044179c,yes,emercoin
579169,0000000000000000000705b5fb5ffadd8bb33bb8e7b0cfd6c9c295fe9267e992,yes,namecoin
579715,00000000000000000012074f5c5506ca0fe5fd10f6b0e67533b2d62c143e7823,no,
581839,00000000000000000015f55314db07fbebd61747a8f6534d32b2ea765cbb4342,yes,namecoin
584327,000000000000000000160d6c64bba17309eab4221b959cf188452d458b69b7e3,yes,namecoin
584501,0000000000000000000cec2040cd2a8b80ec7d4434a9aa5ac0fbb7ab57d24037,yes,namecoin
584596,00000000000000000022fafd684ddaa824619a8ba09fad39771662133ba9fdae,yes,namecoin
584719,00000000000000000013f5cbd74ef44673d13f424fe96ef65ce21b6fb9b09d2d,yes,namecoin
584802,0000000000000000000b47042b90c6a893e6e5cdef70c92beefb88f4c5fa5a69,yes,
585083,0000000000000000001d52005a757e38b370dfe86a952f17a1647578546b0635,yes,namecoin
588206,0000000000000000000b4b3daf230a489c3afc7238c1ae788c611e1c6c448ad9,no,devcoin
589999,00000000000000000014026826002017f841bbbd60384be2cd562dc9b6e96624,yes,namecoin
591031,0000000000000000000c0ca13721964a48358c5e1ed8119b5e2de20ab7d9048e,yes,namecoin
592449,0000000000000000001a4f3ad036ff22bc0de8292a5738fa4dde3de604f52e7a,yes,emercoin
595045,0000000000000000000d3d23e861fe0f8615320c42ccb263a8e8dd1b807a76d1,yes,namecoin
596591,000000000000000000136de8d19fe5c250b396233959c0f024db53185e28b1ea,no,
598793,00000000000000000003042ad7a7ca619a209e386f16209adea5001e5183a827,no,
599604,00000000000000000007cab2644261df83f039cf75ee21eb761cd26f4cec79a6,no,emercoin
600132,0000000000000000000cbde2cd379631dca3e115b137eebe619f70f801ddabe6,no,
600308,00000000000000000012cd51c80d0799f2203524258a8211a70e5b98ea6c8789,yes,namecoin
602714,0000000000000000000154625d1aaddb007c78fd2dedd6720413f8de0d5af00d,no,
603084,00000000000000000003f157f664d073add98ab0ad49b2d56da8b93ee870a854,yes,namecoin
604939,0000000000000000000704ee0d64be5764b22536ae0ce616c0c6e1b5dcfc2e29,yes,namecoin
613646,0000000000000000000217205d4aad05b44e1658b83c17fce5ad70e8ca2b4482,yes,namecoin
