btc_height,btc_hash,in_upstream,first_seen_chain
865079,0000000000000000000075ee83d26deb2f74777eb011df6f18d20bba6aefa639,yes,
866719,0000000000000000000114d1f1c1ddf51e83d6c0d660b2c1fa9f9a345f36624a,yes,namecoin
877770,00000000000000000000451bdfb9fbd0b836ee62da952e68bbb7c5a3ceb191df,yes,namecoin
881780,00000000000000000002745046f0bb6fab9fd306b5df8afea25e5a4cc80f9282,yes,namecoin
883183,00000000000000000002585e763064d66b3f2554ef9dfb8603a2251ae16439e2,yes,namecoin
883335,00000000000000000000d714fe269dd411cbf80b8971dafbd9edfedca401adc6,yes,namecoin
885796,00000000000000000001509b28e96d4eba8508a8885e78dc83b60cacdeb985ea,yes,namecoin
901939,000000000000000000019cbab2c3b04f56a5da85e28a55fa8ec5e7d793d4ad19,yes,rsk
902598,00000000000000000000ec5356968a01c439fcd8e3e3a0a4f24c1e76db2c201b,yes,namecoin
903259,0000000000000000000030f07b4fcf25075703864456c652d50fbdb2628585fe,no,rsk
907051,00000000000000000001aad53cc3e15fcf36766a25b15ac8c6d84fe2c2055e82,yes,rsk
909879,0000000000000000000176b1c0bb5631744070241315d3f5b630861c51c0e632,yes,rsk
912698,000000000000000000000cdf5d7f499305261f6fadab837f94a3e5acb28795b8,yes,namecoin
914282,00000000000000000001f6d6612ed8d40c023858249952fdee7d7d99c081f0cf,no,rsk
914301,00000000000000000000a4b0e87728228afec5a5333d32c1de4631708be29e5f,no,rsk
914318,00000000000000000001de4957ebb1c9e08d28fd604f017cb288bed2481455ed,no,rsk
914319,000000000000000000008223e92e8a65a3400761c5307b01f0b87270bd24bafa,no,rsk
914331,00000000000000000000439817c63926873f46ca396974268b1f9f6eae84b1c1,no,rsk
914332,0000000000000000000122a9c97762f507cc57df067f07b826ab0a81cb4e787f,no,rsk
914334,0000000000000000000092003874d2b869e8b986339f5bcf8c3a03f5dddd972c,no,rsk
914342,00000000000000000000ba485fa4bbba0416890572ff6b5853cdc24e92d7434f,no,rsk
914344,0000000000000000000075bdcb14ab9b07e87c6c5a43addb81ff6dd74c14d16e,no,rsk
914344,000000000000000000020806ba231682bab800c757366c169b2e17259a5e3aaf,no,rsk
914360,00000000000000000001c7664aeb6f4ce7f29e3f799eb3aafb924255d6643573,no,rsk
914362,0000000000000000000170e712b2da3ba73fb618753fc44d0e4b6b1db3e3fc4b,no,rsk
914373,00000000000000000000a4a5644ce7e315feeeb1c586903c077993bb5f7825a2,no,rsk
925605,0000000000000000000080824aaf3e9614116f4c5901b89220e515babed61b69,yes,namecoin
927487,000000000000000000010a516b693679cbd0f9c07e3d385e8b7033684428c515,yes,namecoin
928455,00000000000000000000398ead6702380e49e5e872d194a35cbd64c066a3d47f,no,
946470,00000000000000000000e2ea2b4b3b594a6806d35319b85bc12c418dbbe2b566,yes,rsk
947985,00000000000000000000d2d5e9921302d07911ad35d2d9253028a0fcc3d5b151,no,rsk
