btc_height,btc_hash,in_upstream,first_seen_chain
181492,00000000000001a8ef912df01104fbaf49a658405c1203aaba9670e1e5e43fe6,yes,namecoin
251268,000000000000004c4218e72fd5f74b37ea974c9c390a67bc1fa5076dea62c757,yes,namecoin
255882,000000000000002b4597ebd23e8ddcd97f3d730ade26148e65c390e55408eaae,yes,namecoin
259422,000000000000002586bafdd0588f69684ea95df931f15571e6944bfa406e5ecd,no,i0coin
269699,0000000000000000297d4b57222904867a480b967aea07677aac23a5f124df6d,no,
280012,00000000000000002299e21538b221248f62cc3565b6616043241dca752d127c,no,i0coin
287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,no,i0coin
287443,00000000000000006cb09a541723399a86bc36a3ffe1624a128d88703ceb0cf6,no,i0coin
287459,000000000000000124308a2000694ed138acfd238501d840ee7025109e4c0b54,yes,namecoin
287728,00000000000000001e64d45c02bea16fd65e9633b7036d48721ccc974f5af2b8,no,i0coin
288064,00000000000000013b382f4dbe4aa4284de70311467860ab31245223856ac159,yes,i0coin
290000,0000000000000000e2c6f3b07de737386c0692c58b5ee1c3620cd121607fb736,no,i0coin
292405,0000000000000000d7601b93cbeffd1d6e39da19e8234bb4ed8f4502c8d81cf7,no,i0coin
293684,00000000000000004e086956d305d0f22f1cfbd97cc5953792421d088231f442,no,i0coin
294003,00000000000000002d968f98996f40b11db1b2409be709b332fb3c08bd48028f,yes,namecoin
294275,00000000000000007c6f67a470de29ce2a93928b426d5ff1dec96d66706b3be4,no,i0coin
294674,0000000000000000a2cc5b9427289b9f1b6aad41d6ede145c20300412d04d073,yes,namecoin
295112,00000000000000000adcc73e8c62f817aa7b896ff21d48c36fd529701b741d5b,yes,namecoin
295817,00000000000000002c3cddfe33230124c930bdd880bb7b8095bdfa9ae87d29b9,yes,i0coin
297295,00000000000000000e83c18d7d7d26761e66186c763fd908d6f70155cf32eb49,yes,namecoin
297469,00000000000000001bb1e7050f0a7c3285a13367b155792f5ded9763e7b8045a,yes,namecoin
298036,0000000000000000953037bbfd2ad63cbe1c08c957f530aea03016b695cba8a6,yes,namecoin
299334,00000000000000001f64a823735f212b3d8d09740d1a4b8b82531ac04b416f0f,yes,namecoin
299426,00000000000000002dc88dbbefaa1dd6a0f195bfd8a97bff0fe10e66d2518638,yes,namecoin
300518,00000000000000001449094123442064af9fb3ea9a2c5958416da95ca1ef5c7c,no,i0coin
301337,000000000000000038f5f0e13b2c3308d82132cca6815e525caf54134036767b,yes,namecoin
302038,00000000000000001d629af772354236bff162ec744d6905fb99b7621ece3123,no,i0coin
302478,000000000000000060bf719adc4dd47a364e03348dedc3b53831e4fdc9df6986,no,i0coin
302550,000000000000000003e81411059d48dffac2ce17b1c78982aecabe4b6a113cdb,no,ixcoin
312238,00000000000000001c0176302d6479bf444f4e0e606b00e0e940daa14b2e802a,no,i0coin
