btc_height,btc_hash,in_upstream,first_seen_chain
285130,000000000000000125976d8cae1224afb0f85b9790257032e1dd0fdc1df1357b,no,i0coin
285818,0000000000000000f61d8b36a8642e573a81248e5d72fb479d80e14ff723c77b,yes,namecoin
285869,000000000000000132aaee801041431fa3ac66e61a5ffe240b08a25f32b863dd,yes,i0coin
286299,00000000000000000114468c1ca7d0a4fba19ba0f7f9e87e9841374e31d7cfcc,yes,namecoin
287353,000000000000000026bc9230a1e7c23787bf0b0a525b9fb1706c5fbd21bcf5e8,no,i0coin
288064,00000000000000013b382f4dbe4aa4284de70311467860ab31245223856ac159,yes,i0coin
288225,00000000000000003e51e196ad803e5dfd21c2598721ff3e929b9432b3f30cfe,no,
288885,000000000000000027c9f0bdc38ec3acac09db6e4ebb43a93090bdd8960be64a,yes,namecoin
288887,00000000000000001e619b8262012bc801cec590937e9ae95237940df4520c05,no,
289235,000000000000000027fe47a3f48bfb6210905e5fc0ccc328592c5905e3f1669f,yes,namecoin
290000,0000000000000000e2c6f3b07de737386c0692c58b5ee1c3620cd121607fb736,no,i0coin
290091,0000000000000000fbb4218a78acd3ea9941e1d48fd85d30f76876b31691eda5,no,ixcoin
290178,000000000000000072cf00ee6784478d9f1c8c07f9d31385a4b9b95b6074f690,yes,namecoin
