btc_height,btc_hash,in_upstream,first_seen_chain
160948,00000000000008cfe36dd6a59385e5f85540025cf5b386cbc73b32f63daa1b77,no,
161761,000000000000060f6e4816a68a5654dfa9e6ed37b214853dea9fbf0b55eaf649,no,
163226,000000000000004bea0f213d7a35de50c18a865088c48d1b48fb61c5c02ec4fa,no,
164032,000000000000031b86a32d857b1cfa41cfe6e18ede8fc667739a48a33edd9bba,no,
164147,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,yes,namecoin
165264,0000000000000b4fc28a511bc34d2cef9f5e72f02560435cae18e8df9e209a83,no,
166343,000000000000048bbf1d28adbd2a0b7058444619371afee50e6e9c2a1f9f9200,yes,namecoin
167742,0000000000000685275697d11c869d2b71e4cf62cb651763530dc653f79092a1,no,
171554,0000000000000a801c26db2f242341a67e1c93b43f6d87a0541e6a848cbafdac,no,
172001,00000000000005967d3415adca0881346c67d26209e687305cf1538aba21c231,yes,namecoin
176075,000000000000023806df33791c26d1bf118fad76dfcc8735a3c8d1572100aff6,yes,namecoin
176493,00000000000009653a1c9f797b0e6d7e2c9f7055fce08bbd644cee1c1b65d699,no,
178120,000000000000044ae40e8427e0cda60220070ebaac9f60cd781cca792e4996eb,yes,namecoin
178446,000000000000025f106292750b4d3c5813a56c8f31620a7393b59a444c67d966,yes,namecoin
178807,0000000000000a5a15e5475a70496116c1700e083c535b047b229bfc94ea39ff,no,
178842,00000000000001409f470ad86fb9d6ae2f3199894b402009025747f9343d15d9,yes,namecoin
179029,00000000000004a1d0ae12b691d7d0cf00878e30fbef3890f2d421d0f6b2d9ba,yes,namecoin
179047,0000000000000ab98c3485d3cb10b4558fc11bf7984c387918612051bc3be62d,yes,namecoin
179486,00000000000007680fbfdd8a3e045f666ad6bfc5b808f876005574967a97d99d,yes,namecoin
180334,00000000000005b2c608d2e7bd7651b1132afd1cab20061ecd92b814d7ae619a,yes,namecoin
180914,00000000000002ef88e92350a1f7d790125ac34ab8041831fd4842dbfc9fc5b4,yes,namecoin
182997,00000000000008e7f65ce77dc399eb5dd01ad5afa6f037af79a7a0103b0d5ca4,yes,namecoin
183565,000000000000041d007d54209eb1915216bbc7f3cc16e6a7c3f13306dbcb7cd8,yes,
184329,000000000000030200a49fd70bcc4bb988fc1dd380ae02dc5a37bd8e455fb85e,yes,namecoin
