btc_height,btc_hash,in_upstream,first_seen_chain
161761,000000000000060f6e4816a68a5654dfa9e6ed37b214853dea9fbf0b55eaf649,no,i0coin
162012,000000000000026807a77b351e969c4c9ff1b95158c013214e05c3ac09ed623c,yes,namecoin
162831,00000000000009a42ab9a6c0f245b30bae4d96052b95ee7be2288971fced6afc,no,
163060,0000000000000b0d3300b680fe724150cc49071a71110f9b6eb94631a8d3445e,yes,namecoin
163226,000000000000004bea0f213d7a35de50c18a865088c48d1b48fb61c5c02ec4fa,no,i0coin
163462,00000000000002c39239b7c3b107f4e9142f568bb9d237391c7744b53c2f8525,no,
164032,000000000000031b86a32d857b1cfa41cfe6e18ede8fc667739a48a33edd9bba,no,i0coin
164147,00000000000001ed4ce670fcce22309805dcfa6b6166e036d5f201cfee026854,yes,namecoin
165096,0000000000000a798c817e2907930a32e130a8b2e9202055f4197169f5519817,no,
165264,0000000000000b4fc28a511bc34d2cef9f5e72f02560435cae18e8df9e209a83,no,i0coin
166343,000000000000048bbf1d28adbd2a0b7058444619371afee50e6e9c2a1f9f9200,yes,namecoin
166890,000000000000032bcff32b408bdc97928a74202b085c1a6130bf7f2b8a33a8d0,yes,namecoin
167742,0000000000000685275697d11c869d2b71e4cf62cb651763530dc653f79092a1,no,i0coin
171554,0000000000000a801c26db2f242341a67e1c93b43f6d87a0541e6a848cbafdac,no,i0coin
171906,0000000000000263feae36698a5b03cbbe0e587956f35692500de49ee42b2d6c,yes,namecoin
172001,00000000000005967d3415adca0881346c67d26209e687305cf1538aba21c231,yes,namecoin
172221,00000000000008783a8f964121f87586c2dcf74c4c699f4de55555434043ff3d,yes,namecoin
172476,00000000000004737bb0c5aed4181fcda65c5177862817626edcb0d2c5d88784,yes,namecoin
176075,000000000000023806df33791c26d1bf118fad76dfcc8735a3c8d1572100aff6,yes,namecoin
176493,00000000000009653a1c9f797b0e6d7e2c9f7055fce08bbd644cee1c1b65d699,no,i0coin
178120,000000000000044ae40e8427e0cda60220070ebaac9f60cd781cca792e4996eb,yes,namecoin
178446,000000000000025f106292750b4d3c5813a56c8f31620a7393b59a444c67d966,yes,namecoin
178807,0000000000000a5a15e5475a70496116c1700e083c535b047b229bfc94ea39ff,no,i0coin
178842,00000000000001409f470ad86fb9d6ae2f3199894b402009025747f9343d15d9,yes,namecoin
179029,00000000000004a1d0ae12b691d7d0cf00878e30fbef3890f2d421d0f6b2d9ba,yes,namecoin
179047,0000000000000ab98c3485d3cb10b4558fc11bf7984c387918612051bc3be62d,yes,namecoin
179253,00000000000006f4017519eaf2ba8c7f87a3864e9cabdb0ee4ca0d1159d2dd09,yes,namecoin
179486,00000000000007680fbfdd8a3e045f666ad6bfc5b808f876005574967a97d99d,yes,namecoin
180013,000000000000068cc91c704e12031841f8579a572a0f46a7e528fff494166e73,yes,namecoin
180072,0000000000000597487c914c1768f9f93099bca1b6fb7190076b68bd5319a900,no,
180334,00000000000005b2c608d2e7bd7651b1132afd1cab20061ecd92b814d7ae619a,yes,namecoin
180689,0000000000000181874b5e5d6e2fff0c9233b0df8fdfad37ea1fd1961d27a91e,yes,namecoin
180914,00000000000002ef88e92350a1f7d790125ac34ab8041831fd4842dbfc9fc5b4,yes,namecoin
181492,00000000000001a8ef912df01104fbaf49a658405c1203aaba9670e1e5e43fe6,yes,namecoin
182687,00000000000002cf7ea6652f18b07544b26388e7c32a5c62bb806b4770f8aa21,yes,namecoin
