btc_height,btc_hash,in_upstream,first_seen_chain
467186,00000000000000000014ff91181fe426c7d68fa10d333d4349b1a0b519d0863c,yes,namecoin
472975,00000000000000000067a24962827bc94d347066a2acec324625da67a0b10168,yes,namecoin
483261,00000000000000000091d8cba329aa16472e90dfa76ee0eff3e964be46a8a402,no,i0coin
483897,000000000000000000756ed2241bdeb4a4b35dce547d9c4a4b1751326b1080ac,yes,i0coin
484218,0000000000000000011025958789cdd9a8dd8382eae174a9b1d307e6b21faa28,no,i0coin
485016,0000000000000000001076eba0a97af193920f60a46e8fd5096029b6bad7655e,no,unobtanium
486411,0000000000000000006a21312b5297e69fe375fb42d8832ce6fdec4b373f275f,yes,namecoin
495139,000000000000000000c4aacfe36721d1f10358cfb42e69e732ffa2543ba1662f,no,i0coin
495171,000000000000000000808eb41dd47d57aef25374b3c248b2b91ca9b5d97ff51f,yes,i0coin
504461,0000000000000000001705879f3be92385abd12b026e3b12cafb326a90fb261c,yes,namecoin
504952,00000000000000000015c30099593e9b5e974af1d27b7b49910856e3434401cc,yes,namecoin
505705,000000000000000000520a6174197bca28e864f13dd76db5ea8c9787b8ab5f62,yes,namecoin
508169,00000000000000000000344049294a84262d660afba88297c770a5c183c4db4a,no,
508270,00000000000000000035e3e4cb727262a51f2e814914d2b2fcd4e89dd1b0f4bd,yes,crown
509239,00000000000000000044f109cd547566f3b756538d80b5b7017a584ef812ba87,no,
509677,000000000000000000412393430df277b1c5210db7f33bb1bf1babdce10e2034,no,crown
515256,0000000000000000003f46592dc0e914390890be733769416e3d82b7009ea8f8,yes,crown
525268,00000000000000000019e18acffaaf455b9553d73fadc7ab4a610ab0952b369c,no,devcoin
529428,0000000000000000002f9d1ae00af4ac8777469a029de1c770fe6e2f4f59aeb7,yes,namecoin
532489,00000000000000000002c993cd9e9b3af3da6c921b5f61765406e1e4c980e674,no,devcoin
536375,0000000000000000001b28064cfbc118875239f2f9f8dbd82f60fb6055029e61,no,devcoin
537859,0000000000000000000c734e8e9ac497113aa2419f6bfbf0a5046d8187e137eb,no,devcoin
540230,00000000000000000007a67525e5243b8606ca058bbc767604011fa147f89c32,yes,namecoin
545312,0000000000000000000f1faa71a8fe7544556a2d89bbc0ddafd57c2350fa8114,no,crown
556976,00000000000000000004b7c8cd40132c94085abc0bf2448c1696788fb1ac5460,no,devcoin
565104,000000000000000000201914202cee0fff4d2c320618c7bd5515a9cda49f7354,no,devcoin
565106,00000000000000000028f07e327704f901b4235cd5ca5dbb1cda979e2bc091cd,yes,unobtanium
573380,0000000000000000001cadc54b0486649ddb0e2b7e36c97ae4e1e6a26e1e05df,no,devcoin
574287,00000000000000000020d41cb0805977d7f4446684867183f2baf8f0c10ce867,no,devcoin
579169,0000000000000000000705b5fb5ffadd8bb33bb8e7b0cfd6c9c295fe9267e992,yes,namecoin
586151,00000000000000000017a3d0245aaf6ea57a78d4cb2f7f61c4e07664105e3407,no,devcoin
588206,0000000000000000000b4b3daf230a489c3afc7238c1ae788c611e1c6c448ad9,no,devcoin
597567,00000000000000000001426527cb1d50ef29977ee242330a6b5149e1bceea29f,no,devcoin
607673,0000000000000000000fac4555d885511f322497c2f44c6e3db90057f5cfb463,no,devcoin
614601,0000000000000000000cd4fe0479cad63e7eb6df154c28dec9d7ed37a510bfbf,no,devcoin
623024,000000000000000000071cf6bc3703bb4dc24d4a43ceff3a0e6ac86cb74b1b91,no,devcoin
633898,00000000000000000006e4f72bf9dda0ee692a4f36bc3562eeae3c259ea449e6,yes,devcoin
641922,00000000000000000006392caf6a894d98483b36f1e057e2a2377ef9db367d23,yes,namecoin
642522,000000000000000000036f762effd9c6879299d358ac41ceb0f445ddb1eda495,no,devcoin
642669,00000000000000000007959607cb8aa17386a665f0caabdb4e8b69deb635d259,no,devcoin
