btc_height,btc_hash,in_upstream,first_seen_chain
149589,0000000000000540c611e8062b4a59c5b844ac40c5dd00a061178f6e263b0cc5,yes,
150351,000000000000029e4e5ea17bfc7cfc0018e1379580a662f1ba6c08275604aaca,yes,
150881,0000000000000b5dddb9173003b3e3674abc37bf9db2b825c81b7e85b245a497,yes,
151002,0000000000000a6bac17f421028e27cc1fa5ba3b983198c2f1ebb6ff102ff6fc,yes,
151805,0000000000000c624fd4b0ad690f0a628e3ace0c210a2116e036d29c6774a08d,yes,
151888,00000000000001f0d7cfd94cb36c135c3e27df88cc525bb440e933181eec7270,yes,
152012,0000000000000766a5054b5205b5820ab32c0a8798c0d334b7bee58b340ff57a,yes,
153211,000000000000001a96111ffa1f7b03e03309a390d520c76e4bd8b0adf3dfdd34,yes,
153211,0000000000000022e96ad66d9de209f1971c0c1cab004fbd8f9d1162b9ac7125,yes,
153211,00000000000000325e60dbf484c7796416ff0ca7b31b208607bb40e8a090ff7e,yes,
153211,00000000000000b839c3ce4039c0f29753b24069fb06c0aa8e0bcd1356b7f167,yes,
153211,00000000000000f3ec5c1ea18cd3baf62e738cd7b8b71955d0cc8d83192861dc,yes,
153211,0000000000000158080186e96d9061b20e650f62d0c3c5156110c06ef6699538,yes,
153211,000000000000021d02b51e77ff53cea9d3ec3ca249d85809ffcaaefc8b953f63,yes,
153211,0000000000000318413875fda21f6f2546b23c5d7774593460a43164ac4bb496,yes,
153211,0000000000000364ff584a81aff5f3383413c9737c077d0e931ece2efba42b9a,yes,
153211,0000000000000578c83a60c91f7836483a21c818570ae5d7c84a6d4b84751039,yes,
153211,0000000000000681551e642ecc0344ff5cf8a8f553da7849879008dc39a0b412,yes,
153211,00000000000006e15476ca3481051acdba585b798b71873495078dd76bd3a811,yes,
153211,000000000000077eee96b46b9b4438931e267765d2778714a36a6abe5e27d594,yes,
153211,0000000000000801d4e86527c61b946823234262c637eaabcdf8a9d383c6a4b6,yes,
153211,000000000000089430a8d8ef5f580ca85437eb300ee46e9c51281ce8cc6250e7,yes,
153211,0000000000000a5390f91542baf381da8595c188f4115c4db11d4114ee7cfd7a,yes,
153211,0000000000000aff6b9ec0a722984d5a3976f82f5a4cf3f1f6d568feaba02b03,yes,
153211,0000000000000d331fe03597a9cd3a841359affafc6c602466540cc466e315cc,yes,
153376,0000000000000842237d58f04ff445ba09da4c84ddbeb5f9df50bd5f8b4d2644,yes,
153548,00000000000006bbed5da8d2cf9a98c75fb856d379b65c1b5b2f3c49fb6d2403,yes,
153710,0000000000000655868ae14c1a53860addde0aa4478fa273924265d85eb16677,yes,
153715,000000000000003b1aa4d6d6171b6a6973471139a7cfaa6897b7501104c089c0,yes,
153913,00000000000003dccc904c9adee917a4788d37154bfb8cb797d2a04ca7976465,yes,
154146,00000000000002d2a996b791b235f27d653d4996ec40e7e08e106dd30bda6ce8,yes,
154500,0000000000000c59a95abe73ed16ed7855f5638b17e177c88f781c7b7b77b579,yes,
154602,0000000000000a17145926ee084587481899783a23a9f2ca0de8d3c53f2d0ef1,yes,
154920,00000000000007fa2a841c44ec2c123a3fdd3218846028c14b6c746f4d86d811,yes,
154993,000000000000027929ec38163c86e51c4af22c9e5e4f34f68f461dc41ec1947d,yes,
155243,00000000000002a50afc4d3212fde0470f7d7d0b4d4f0433a7ad1e41cd92ccb4,yes,
