btc_height,btc_hash,in_upstream,first_seen_chain
514235,00000000000000000025c54fa42d8d92ba7267a90a858451716f89ecae79244c,no,
523738,00000000000000000038dc4e4202ca390cc9b0164f38e757dab05b019e062750,yes,namecoin
530707,000000000000000000180f14805b550bcc1395a5458de8ac4f2405d989d55c1d,yes,namecoin
532060,00000000000000000004ea2972668618586f47b9b237c931a05ac5638ae64ba3,no,
532257,0000000000000000000d151d626c3c3ee7892a0223ecdb0ecb0b89608557020e,no,
533648,0000000000000000000cb756d90a21fa23ef67d27596d78d8abd5b0554dcbe36,no,
540801,0000000000000000001b934f570a5a225aa47f7f127ec13456e0871ec10b9a8f,yes,namecoin
543892,000000000000000000082fd7cff6b97ba03405ec723b3649658d270a4ff12a9b,no,emercoin
544765,000000000000000000020180eb022e923f5ed5750a3d235a7c855cc431711326,no,emercoin
547031,00000000000000000025f54e8fd24d284ab17aac3e6848d13a8f3c0c8c0df3cb,no,
547182,0000000000000000000b1d1a9322fae2af88977762a548dc5c3d9b0dd6a88142,no,emercoin
550431,00000000000000000008b5e0da2d67dbeaa5ac4ac9344a8a9c14510491b5671d,no,emercoin
553457,000000000000000000209e2da61daf786ab8b1cc74011a50885c63aeeadd4698,yes,namecoin
553769,00000000000000000016eea2d3241be96f3ab3614ca92176f94fb8745abcb4fc,no,
554610,00000000000000000012acb8e7bb492657450339ee1d3d3cc18c975ccfb9eb6b,no,
555745,0000000000000000002b283a6038cbe5885ab0a0bdcb8b9885a7fa6c7329bdfb,yes,namecoin
558228,0000000000000000001bfb4bbbd481a16bdacfa83156334b5294786f8029e4c6,no,
558348,000000000000000000136da07c3034e34e360c7b2f32fb88aa7dfa3edd14ad57,no,emercoin
559371,00000000000000000026059ae3f61fbd77f16d8c7a8c6b9c61f46ec9e8e86097,yes,namecoin
561560,0000000000000000001a5108e954cb0c1be3727da56c6b5ad0a8d5315cc878f9,no,
562876,0000000000000000000e524cefa493d62262900dea32792064d84d4ceff3f924,no,
564906,0000000000000000002a5fffc63ded44e8beacafaed88906cffd63bd1c1c7456,yes,namecoin
565036,00000000000000000016ef1749615972a4598c67259d5114450cd5a09d99042b,no,emercoin
565106,00000000000000000028f07e327704f901b4235cd5ca5dbb1cda979e2bc091cd,yes,unobtanium
565437,0000000000000000000a83718716c6257674624f9a8e36c426de63ace038f765,yes,namecoin
570069,000000000000000000214b7d19ea458da8f8e80bc437587a02eb418b5fd8b3aa,yes,
570345,00000000000000000018a68b84ee2457362c3761a149e85b1976f401d7518b70,yes,namecoin
571486,000000000000000000231ef103e6b509c969f3ed0ceb809de3e5441a0789fe83,yes,namecoin
572333,0000000000000000000528b13b09f842b428401ca02f44be163868a8e719bb69,no,emercoin
573313,0000000000000000000883f9f6eb9a459426f715ee3895a4dbb6e51e9237eceb,yes,namecoin
578123,00000000000000000010fe8e49ae527e56b127f60b9e3135fd4499adb900025a,yes,namecoin
580710,00000000000000000003a307259262d59513248a16a7912a2a152d1a2bfadb66,yes,namecoin
584327,000000000000000000160d6c64bba17309eab4221b959cf188452d458b69b7e3,yes,namecoin
584719,00000000000000000013f5cbd74ef44673d13f424fe96ef65ce21b6fb9b09d2d,yes,namecoin
585083,0000000000000000001d52005a757e38b370dfe86a952f17a1647578546b0635,yes,namecoin
586096,0000000000000000001df8594ebf79a3c813569d71f82f4f433bb14e0dfbb8ef,no,
586441,0000000000000000000ca6c919cc4015d50bf60fd38b1e10422aa1d792a9c861,no,emercoin
589477,000000000000000000171da08c19fe27f9fc8a68e80aad56c1b26e969c497025,no,emercoin
592449,0000000000000000001a4f3ad036ff22bc0de8292a5738fa4dde3de604f52e7a,yes,emercoin
597171,00000000000000000006580101db2eec7471baea27f3ab6dd3ac2bd4e6fa0f08,yes,namecoin
599604,00000000000000000007cab2644261df83f039cf75ee21eb761cd26f4cec79a6,no,emercoin
600308,00000000000000000012cd51c80d0799f2203524258a8211a70e5b98ea6c8789,yes,namecoin
602597,0000000000000000000c4ce7ca2b431b84aafc2d31fe66fbbcd59f41fff3d904,no,
603084,00000000000000000003f157f664d073add98ab0ad49b2d56da8b93ee870a854,yes,namecoin
604939,0000000000000000000704ee0d64be5764b22536ae0ce616c0c6e1b5dcfc2e29,yes,namecoin
611945,000000000000000000144ddd08a0785fb6802efef84351c516792f208cc1b25a,no,
612057,0000000000000000000a7f4a86f8383e8c77ccf2c71c99e1019bf8751fd89171,no,
612798,000000000000000000052c40aacc9320e993f0a15f6eef1e17ae249cdec0e636,yes,emercoin
614207,0000000000000000000305f9d4c42f2b52ff4fbdbcc6465f38082467aa31b78e,yes,namecoin
614732,0000000000000000000e879312e640f33750e5497491424c618345c0531e6e00,yes,
