btc_height,btc_hash,in_upstream,first_seen_chain
585083,0000000000000000001d52005a757e38b370dfe86a952f17a1647578546b0635,yes,namecoin
586441,0000000000000000000ca6c919cc4015d50bf60fd38b1e10422aa1d792a9c861,no,emercoin
591031,0000000000000000000c0ca13721964a48358c5e1ed8119b5e2de20ab7d9048e,yes,namecoin
592449,0000000000000000001a4f3ad036ff22bc0de8292a5738fa4dde3de604f52e7a,yes,emercoin
599604,00000000000000000007cab2644261df83f039cf75ee21eb761cd26f4cec79a6,no,emercoin
600308,00000000000000000012cd51c80d0799f2203524258a8211a70e5b98ea6c8789,yes,namecoin
614207,0000000000000000000305f9d4c42f2b52ff4fbdbcc6465f38082467aa31b78e,yes,namecoin
616960,000000000000000000108f0e774fe41d100725f0ca3eea0b205d3c5912dbe7f3,yes,namecoin
619141,0000000000000000000afb64a255edf537c7c90e5d10d62a7743f2d189e9bbc3,yes,namecoin
621425,00000000000000000008d9cc7e483ac336aaa8f792250f17264b948ab9398a2f,no,emercoin
625964,0000000000000000000b15f6475c47a75b03ede17498e5075f654c597f57f5f2,yes,emercoin
632064,0000000000000000001102d5c5e3891ffb14ff61600ba21eeff7d40f3c122459,no,rsk
635287,0000000000000000000b3fe84e2318e025e10cfa086c4eeeb7a86a72a19be0ca,no,emercoin
637749,00000000000000000007754fa29bb63a7d28460f0be2987f1901f3156aac3c29,no,emercoin
638572,000000000000000000096134e3d9ef56272a4239491c1bb9b411c7ea205963b9,yes,emercoin
642120,000000000000000000025367e5c14831322ad37e82cab461e2d21b7348c051d3,yes,namecoin
651874,00000000000000000008df8e70e629348353dfa586492f91dcec31229dbd1eea,yes,namecoin
656477,0000000000000000000457df9961a123212340daf566b899aaa54197d0648d1b,yes,namecoin
657053,00000000000000000000049605d9582b95a7e746c41d56d16550e476e7be3673,yes,namecoin
657730,000000000000000000015311bc1807d4e7a68226b69a3785dbc1a0aa61e80b9d,yes,namecoin
660903,000000000000000000095fe6785b8572b933b9d9fda4649cbe33068e743a714c,yes,emercoin
