btc_height,btc_hash,in_upstream,first_seen_chain
547182,0000000000000000000b1d1a9322fae2af88977762a548dc5c3d9b0dd6a88142,no,emercoin
565036,00000000000000000016ef1749615972a4598c67259d5114450cd5a09d99042b,no,emercoin
565437,0000000000000000000a83718716c6257674624f9a8e36c426de63ace038f765,yes,namecoin
572333,0000000000000000000528b13b09f842b428401ca02f44be163868a8e719bb69,no,emercoin
585083,0000000000000000001d52005a757e38b370dfe86a952f17a1647578546b0635,yes,namecoin
586096,0000000000000000001df8594ebf79a3c813569d71f82f4f433bb14e0dfbb8ef,no,rsk
586441,0000000000000000000ca6c919cc4015d50bf60fd38b1e10422aa1d792a9c861,no,emercoin
592449,0000000000000000001a4f3ad036ff22bc0de8292a5738fa4dde3de604f52e7a,yes,emercoin
597171,00000000000000000006580101db2eec7471baea27f3ab6dd3ac2bd4e6fa0f08,yes,namecoin
612798,000000000000000000052c40aacc9320e993f0a15f6eef1e17ae249cdec0e636,yes,emercoin
614207,0000000000000000000305f9d4c42f2b52ff4fbdbcc6465f38082467aa31b78e,yes,namecoin
616960,000000000000000000108f0e774fe41d100725f0ca3eea0b205d3c5912dbe7f3,yes,namecoin
621425,00000000000000000008d9cc7e483ac336aaa8f792250f17264b948ab9398a2f,no,emercoin
632064,0000000000000000001102d5c5e3891ffb14ff61600ba21eeff7d40f3c122459,no,rsk
642120,000000000000000000025367e5c14831322ad37e82cab461e2d21b7348c051d3,yes,namecoin
656477,0000000000000000000457df9961a123212340daf566b899aaa54197d0648d1b,yes,emercoin
657053,00000000000000000000049605d9582b95a7e746c41d56d16550e476e7be3673,yes,namecoin
657730,000000000000000000015311bc1807d4e7a68226b69a3785dbc1a0aa61e80b9d,yes,namecoin
661983,00000000000000000006d890e1147294bf6d34bff9028d0567f2d48105c7b56a,yes,namecoin
663043,000000000000000000019a6273252cd334c21baf6cbf727bb3d3e23fe44dbaf1,yes,emercoin
663426,000000000000000000000d691e98e804dcfd8772e6af1bbc63b62d895bbc533c,no,emercoin
666833,00000000000000000005e086e9e74aae37139ba27c5ba8b50ba5c773e22c6b61,yes,emercoin
675815,000000000000000000052677c72ed5786a84fc841125b207e68410fb5084032b,yes,namecoin
679823,000000000000000000000f0d7742e6cd22da819b59af361224f452baee8d31c4,yes,
710226,0000000000000000000299304196510f9f40d0e640a94258a473009efe587516,yes,rsk
737130,00000000000000000006975197c02823e9104076cc682a2151871f88d2965418,yes,namecoin
761335,000000000000000000053a15fb7aeca2e399a9ef15375c1255d15ce42ce8721b,no,rsk
769575,000000000000000000000871bb09533dfc2c9ce5bd8eae0fc80a9a815944d716,yes,namecoin
769710,000000000000000000025bc9698bd43a720a55a27a17347366ca7d608d5bfeb6,yes,namecoin
776941,00000000000000000004cc87382e38118248ec926716565d50d63f0637c22c07,yes,namecoin
783426,00000000000000000002ec935e245f8ae70fc68cc828f05bf4cfa002668599e4,yes,
784121,000000000000000000046a2698233ed93bb5e74ba7d2146a68ddb0c2504c980d,yes,
789147,000000000000000000044390f8c5e9cfec8b27ba6d876d3cb7986b961f0eb30d,yes,
792379,000000000000000000032956cbfd8721abe0572d81542e75e38e6185312bee09,yes,namecoin
802617,00000000000000000003cde17280f9c458ef226f5a77271ee82489daa6ac1819,yes,namecoin
810631,00000000000000000004a2b31c38cd724c92d3b33f9dcbe99bfb50ad167ab2ee,no,rsk
813210,000000000000000000021c9f203786c0adcd7ae9a68a25d5e430d2a3dba613d5,yes,rsk
826152,00000000000000000000d4e6d4c176163b6c0608aee462ada8dd95b2e694dea1,yes,
843741,000000000000000000009186f08b48d2a0dce51df8c0dac593286a8981675eb2,no,rsk
853120,000000000000000000019066a8be0724175e18539db741579622738f1ce1f2ee,yes,
