rsk_miner,rsk_block_count,pct_of_total,pool_label
12d3178a62ef1f520944534ed04504609f7307a1,4239089,23.6141,F2Pool
4e5dabc28e4a0f5e5b19fcb56b28c5a1989352c1,2750645,15.3226,AntPool
32dfc7a84f24b10a5dded1d8b24f48b96ab77373,2546556,14.1857,Braiins Pool
1b7a75ef070ff49e6b9491a26403d799f2099ebd,1476375,8.2242,AntPool
8afad2f417e5132ee983b74d28600c0dedcc3e07,1125563,6.2700,ViaBTC
ce7864a8b5bf360b01099502a163810cec845d4a,1021167,5.6885,Foundry USA
07c5446adb392be116f4859a722589f3fa8223e4,892339,4.9708,BTC.com
08f6c90cfc462db10d4dd41fb1f2162ff854a462,756426,4.2137,ViaBTC
31fe561eb2c628cd32ec52573d7c4b7e4c278bfa,710968,3.9605,Poolin
512bfa2264b89b91406fff40f32f90f02d79d452,595587,3.3178,Poolin
0523e90dc41b6d1942cd0e0e2df270e520254612,362077,2.0170,BTC.com
93293a100338f54242f05652e137a52e0acdccf0,340610,1.8974,ViaBTC
5aee2975e2ed688f231ccb40e20ee6c10a98d507,225462,1.2559,SecPool
8e8056f7913685d0d95a6c4c6db0455255930855,205451,1.1445,AntPool
e03d99f3d8cbdc0018e0c26ea4fefc76bfc8f834,121256,0.6755,Unknown
cf5072f792246690c75c63638e3d98bb2554ff2c,102769,0.5725,Luxor
0fd9b9b567a459c6c9645ab0847785aef13dfe1b,95315,0.5310,Unknown
464f8d70b2e71a7d81fe48554bbdd3e0e21010b8,74471,0.4148,Unknown
b9237bce6b0364cf0ca9c74b55b7526d380d4bee,63752,0.3551,Unknown
0539c4278803dd8991d8239d6c8d05fcf0a6fe91,50809,0.2830,Unknown
4459e141163c34f34cdf2c7d479e9950410d8974,49460,0.2755,Unknown
b9a8702ffed8b939cc53239fcd55df3e20469064,45257,0.2521,Unknown
efae094629a4717100094e13d0caa4531a2b08fb,33234,0.1851,Unknown
98028961dc62f6b028a1d547f2a070ba391e1f25,13624,0.0759,Unknown
30a7a718dfad645011326724ed031df24bd4926d,12422,0.0692,Unknown
efa39fc73ec4c17fdf0753061897d66ded09357b,10743,0.0598,Unknown
fd61e17c981b8f80b40f0c60830779a6ce8473d3,10015,0.0558,Unknown
c329d89c770ee7d0bd14cea018bb5064557285c7,8204,0.0457,Unknown
ccacbd8455b9c683e13fe55786fbf445738159b5,5549,0.0309,Unknown
0e2ab9c9639dfbe6ea7483433ef2e8eb633de00b,3771,0.0210,Unknown
304b2cd760e3e0d5d4f31a05d1cf70a5378d88e4,1153,0.0064,Unknown
36c04b83c19af39899bed11f8df0d6df968b1ac4,641,0.0036,Unknown
8f74202e66092e503779e1e2bd371ab4faa3da77,312,0.0017,Unknown
130c7188d6590218675dfdf6d8255fe8a19525d4,256,0.0014,Unknown
cde95add786cbb8061afdb3781f26f6ccfeb2063,59,0.0003,Unknown
1c070e00b0d3739795b22e0ee036a3ef9cc7cdc0,45,0.0003,Unknown
09892438a4cb81ef2d9ce920175f29882ea9ec10,44,0.0002,Unknown
85ea5181633f9b27e82cb9d213589be44de4adb6,41,0.0002,Unknown
7742db20aab5c4cee3e69d0e4031add888bc7508,5,0.0000,Unknown
3c4290d155772bafa3a045cea69c56e53b2208d6,3,0.0000,Unknown
78e35ffc90dea9b914510c91c553c7dfb874e6ad,1,0.0000,Unknown
